id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
onlyap599230b08a46554edf884665684,https://www.only-apartments.es/_/640570,2.1624116,41.3815683,2018-03-31 17:55:00.902000,2018-05-09 07:20:51.354000,onlyap640570,Apartamento,,6,,4,
onlyap599230b08a46554edf884665685,https://www.only-apartments.es/_/640572,2.1624116,41.3815683,2018-03-31 17:55:00.902000,2018-05-09 07:09:53.462000,onlyap640572,Apartamento,,6,,4,
onlyap599230b08a46554edf884665686,https://www.only-apartments.es/_/503048,2.16225829999996,41.3831531,2018-03-31 17:55:09.507000,2018-05-09 14:43:25.527000,onlyap503048,Apartamento,,6,,3,
onlyap599230b08a46554edf884665687,https://www.only-apartments.es/_/911584,2.16244,41.38446,2018-03-31 17:55:09.509000,2018-05-09 11:44:04.110000,onlyap911584,Apartamento,,6,,3,
onlyap599230b08a46554edf884665688,https://www.only-apartments.es/_/409988,2.16287,41.38411,2018-03-31 17:52:43.659000,2018-04-18 13:18:41.161000,onlyap409988,Apartamento,,4,3,2,
onlyap599230b08a46554edf884665689,https://www.only-apartments.es/_/491440,2.163926,41.383469,2018-03-31 17:54:19.058000,2018-05-07 21:32:47.072000,onlyap491440,Apartamento,,4,,2,
onlyap599230b08a46554edf884665690,https://www.only-apartments.es/_/9681,2.161857,41.38502,2017-11-30 19:56:22.193000,2018-05-10 08:52:37.954000,onlyap9681,Apartamento,,15,5,7,
onlyap599230b08a46554edf884665691,https://www.only-apartments.es/_/700085,2.16019119427108,41.3844977405593,2017-11-30 19:56:22.193000,2018-04-14 18:52:47.096000,onlyap700085,Apartamento,,6,,3,
onlyap599230b08a46554edf884665692,https://www.only-apartments.es/_/501966,2.16002320000007,41.3849697,2018-03-31 17:54:40.512000,2018-05-08 16:33:24.794000,onlyap501966,Apartamento,,5,,3,
onlyap599230b08a46554edf884665693,https://www.only-apartments.es/_/412988,2.16002,41.385,2018-03-31 17:52:50.504000,2018-04-14 22:40:31.939000,onlyap412988,Apartamento,,4,,1,
onlyap599230b08a46554edf884665694,https://www.only-apartments.es/_/412438,2.16002,41.385,2018-03-31 17:54:06.906000,2018-04-15 00:21:07.478000,onlyap412438,Apartamento,,4,,2,
onlyap599230b08a46554edf884665695,https://www.only-apartments.es/_/415152,2.15988,41.38624,2018-03-31 17:55:14.199000,2018-05-09 15:16:48.374000,onlyap415152,Apartamento,,9,47,4,
onlyap599230b08a46554edf884665696,https://www.only-apartments.es/_/481957,2.160911,41.386015,2018-04-17 11:30:17.500000,2018-05-06 23:23:42.550000,onlyap481957,,,,,,
onlyap599230b08a46554edf884665697,https://www.only-apartments.es/_/961135,2.160093,41.387689,2018-04-22 22:46:28.373000,2018-05-09 11:26:55.183000,onlyap961135,Apartamento,,6,,2,
onlyap599230b08a46554edf884665698,https://www.only-apartments.es/_/700112,2.15983982489013,41.3879006782884,2017-11-30 19:56:22.193000,2018-04-14 19:18:05.726000,onlyap700112,Apartamento,,7,,3,
onlyap599230b08a46554edf884665699,https://www.only-apartments.es/_/749892,2.16020030000004,41.3884406,2018-03-31 17:55:27.547000,2018-05-10 02:20:52.994000,onlyap749892,Apartamento,,8,,3,
onlyap599230b08a46554edf884665700,https://www.only-apartments.es/_/916634,2.161409,41.387984,2018-04-17 11:31:58.408000,2018-05-07 13:13:27.473000,onlyap916634,,,,,,
onlyap599230b08a46554edf884665701,https://www.only-apartments.es/_/316603,2.161054,41.386032,2018-03-31 17:52:50.501000,2018-05-06 18:59:12.478000,onlyap316603,Apartamento,,4,1,1,
onlyap599230b08a46554edf884665702,https://www.only-apartments.es/_/316609,2.161054,41.386032,2018-03-31 17:54:06.908000,2018-05-07 14:05:23.154000,onlyap316609,Apartamento,,4,,1,
onlyap599230b08a46554edf884665703,https://www.only-apartments.es/_/316596,2.161054,41.386032,2018-03-31 17:55:00.902000,2018-05-09 06:46:30.398000,onlyap316596,Apartamento,,6,,2,
onlyap599230b08a46554edf884665704,https://www.only-apartments.es/_/316618,2.161075,41.386016,2018-03-31 17:52:43.659000,2018-05-06 18:11:35.301000,onlyap316618,Apartamento,,4,5,2,
onlyap599230b08a46554edf884665705,https://www.only-apartments.es/_/707039,2.1610749999999825,41.3860365,2018-03-31 17:54:19.058000,2018-05-07 22:20:36.947000,onlyap707039,Apartamento,,4,,1,
onlyap599230b08a46554edf884665706,https://www.only-apartments.es/_/655366,2.1610749999999825,41.3860365,2018-03-31 17:55:00.901000,2018-05-09 06:24:58.755000,onlyap655366,Apartamento,,6,,2,
onlyap599230b08a46554edf884665707,https://www.only-apartments.es/_/22483,2.164377,41.387756,2017-11-30 19:56:22.193000,2018-05-10 09:32:42.249000,onlyap22483,Apartamento,,16,5,6,
onlyap599230b08a46554edf884665708,https://www.only-apartments.es/_/483350,2.162319,41.389637,2018-04-17 11:34:30.308000,2018-05-08 07:21:56.986000,onlyap483350,,,,,,
onlyap599230b08a46554edf884665709,https://www.only-apartments.es/_/411928,2.16253,41.38922,2018-03-31 17:54:29.298000,2018-05-08 07:48:51.021000,onlyap411928,Apartamento,,4,,1,
onlyap599230b08a46554edf884665710,https://www.only-apartments.es/_/412383,2.16253,41.38922,2018-03-31 17:54:32.474000,2018-05-08 10:29:59.546000,onlyap412383,Apartamento,,5,2,1,
onlyap599230b08a46554edf884665711,https://www.only-apartments.es/_/411198,2.16253,41.38922,2018-03-31 17:54:36.971000,2018-05-08 12:04:15.006000,onlyap411198,Apartamento,,6,2,2,
onlyap599230b08a46554edf884665712,https://www.only-apartments.es/_/411758,2.16253,41.38922,2018-03-31 17:55:27.544000,2018-05-10 04:18:34.172000,onlyap411758,Apartamento,,7,2,2,
onlyap599230b08a46554edf884665713,https://www.only-apartments.es/_/667789,2.1643770000000586,41.390207,2017-11-30 19:56:22.193000,2018-01-04 15:13:02.262000,onlyap667789,Edificio,,8,1,1,
onlyap599230b08a46554edf884665714,https://www.only-apartments.es/_/667790,2.1643770000000586,41.390207,2017-11-30 19:56:22.193000,2018-01-04 15:13:41.377000,onlyap667790,Edificio,,6,,1,
onlyap599230b08a46554edf884665715,https://www.only-apartments.es/_/667787,2.1643770000000586,41.390207,2018-03-31 17:54:10.131000,2018-05-07 13:08:30.368000,onlyap667787,Edificio,,4,,1,
onlyap599230b08a46554edf884665716,https://www.only-apartments.es/_/642495,2.16236400000003,41.3900705,2018-03-31 17:54:22.588000,2018-05-08 00:02:06.187000,onlyap642495,Apartamento,,4,,2,
onlyap599230b08a46554edf884665717,https://www.only-apartments.es/_/252291,2.161912,41.38997,2018-03-31 17:52:43.661000,2018-05-06 18:14:07.374000,onlyap252291,Apartamento,,4,4,1,
onlyap599230b08a46554edf884665718,https://www.only-apartments.es/_/551732,2.16221,41.38975,2018-03-31 17:55:31.689000,2018-05-10 09:44:53.664000,onlyap551732,Apartamento,,16,1,6,
onlyap599230b08a46554edf884665719,https://www.only-apartments.es/_/755202,2.16193709999993,41.3896306,2018-03-31 17:54:22.584000,2018-05-07 23:20:50.085000,onlyap755202,Apartamento,,2,,1,
onlyap599230b08a46554edf884665720,https://www.only-apartments.es/_/481201,2.160768,41.38952,2018-04-17 11:31:35.265000,2018-05-07 10:28:47.488000,onlyap481201,,,,,,
onlyap599230b08a46554edf884665721,https://www.only-apartments.es/_/726441,2.15979,41.38853,2018-03-31 17:54:06.908000,2018-05-07 13:45:34.245000,onlyap726441,Apartamento,,4,,2,
onlyap599230b08a46554edf884665722,https://www.only-apartments.es/_/553827,2.158846,41.38944,2018-04-17 11:34:30.312000,2018-05-08 08:55:08.891000,onlyap553827,,,,,,
onlyap599230b08a46554edf884665723,https://www.only-apartments.es/_/481240,2.159264,41.386885,2018-04-17 11:27:43.665000,2018-05-06 17:25:22.210000,onlyap481240,,,,3,,
onlyap599230b08a46554edf884665724,https://www.only-apartments.es/_/513957,2.15894,41.38711,2017-11-30 19:56:22.193000,2018-05-09 06:14:25.869000,onlyap513957,Apartamento,,6,,3,
onlyap599230b08a46554edf884665725,https://www.only-apartments.es/_/917424,2.15780159999997,41.3883122,2018-03-31 17:54:06.909000,2018-05-07 14:41:13.040000,onlyap917424,Apartamento,,4,,1,
onlyap599230b08a46554edf884665726,https://www.only-apartments.es/_/917423,2.15780159999997,41.3883122,2018-03-31 17:55:00.898000,2018-05-09 06:28:49.602000,onlyap917423,Apartamento,,6,,2,
onlyap599230b08a46554edf884665727,https://www.only-apartments.es/_/917422,2.15780159999997,41.3883122,2018-03-31 17:55:09.507000,2018-05-09 11:09:50.372000,onlyap917422,Apartamento,,6,,2,
onlyap599230b08a46554edf884665728,https://www.only-apartments.es/_/481164,2.157812,41.388334,2018-04-17 11:34:22.015000,2018-05-08 05:58:19.992000,onlyap481164,,,,,,
onlyap599230b08a46554edf884665729,https://www.only-apartments.es/_/22493,2.156792,41.38778,2018-03-31 17:54:43.980000,2018-05-08 20:00:03.609000,onlyap22493,Apartamento,,8,7,3,
onlyap599230b08a46554edf884665730,https://www.only-apartments.es/_/89009,2.1556924999999865,41.3870932,2018-03-31 17:54:26.003000,2018-05-06 19:36:18.405000,onlyap89009,Apartamento,,5,7,3,
onlyap599230b08a46554edf884665731,https://www.only-apartments.es/_/550071,2.1554077000001,41.3860936,2018-03-31 17:54:26.003000,2018-05-08 07:07:49.124000,onlyap550071,Apartamento,,4,,3,
onlyap599230b08a46554edf884665732,https://www.only-apartments.es/_/561466,2.155349,41.386836,2018-03-31 17:55:31.689000,2018-05-10 04:42:30.469000,onlyap561466,Apartamento,,9,,5,
onlyap599230b08a46554edf884665733,https://www.only-apartments.es/_/712384,2.156738,41.390214,2018-03-31 17:54:10.131000,2018-05-07 13:01:00.430000,onlyap712384,Apartamento,,4,,2,
onlyap599230b08a46554edf884665734,https://www.only-apartments.es/_/278537,2.1559821,41.3944957,2018-03-31 17:54:06.906000,2018-05-07 09:21:09.890000,onlyap278537,Apartamento,,5,3,3,
onlyap599230b08a46554edf884665735,https://www.only-apartments.es/_/727444,2.155816133,41.394667769,2018-03-31 17:55:23.403000,2018-05-10 00:19:47.802000,onlyap727444,Apartamento,,8,,4,
onlyap599230b08a46554edf884665736,https://www.only-apartments.es/_/729279,2.159469947218895,41.394119672477245,2018-04-17 11:33:14.690000,2018-05-07 22:08:04.580000,onlyap729279,,,,,,
onlyap599230b08a46554edf884665737,https://www.only-apartments.es/_/642494,2.15881319999994,41.392057,2018-03-31 17:55:27.546000,2018-05-10 02:11:24.143000,onlyap642494,Apartamento,,8,,4,
onlyap599230b08a46554edf884665738,https://www.only-apartments.es/_/482826,2.159216,41.391172,2018-04-17 11:30:54.487000,2018-05-07 04:55:26.814000,onlyap482826,,,,,,
onlyap599230b08a46554edf884665739,https://www.only-apartments.es/_/727441,2.160322244,41.392993664,2018-03-31 17:55:14.198000,2018-05-09 15:35:34.072000,onlyap727441,Apartamento,,8,1,5,
onlyap599230b08a46554edf884665740,https://www.only-apartments.es/_/651352,2.160455700000057,41.3923843,2017-11-30 19:56:22.193000,2018-05-09 14:17:06.866000,onlyap651352,Apartamento,,6,,2,
onlyap599230b08a46554edf884665741,https://www.only-apartments.es/_/554002,2.16176,41.393359,2018-03-31 17:52:43.659000,2018-05-06 18:35:45.176000,onlyap554002,Apartamento,,4,1,1,
onlyap599230b08a46554edf884665742,https://www.only-apartments.es/_/749371,2.16163890000007,41.391692,2018-03-31 17:54:40.510000,2018-05-08 15:52:47.847000,onlyap749371,Apartamento,,5,,2,
onlyap599230b08a46554edf884665743,https://www.only-apartments.es/_/642487,2.16145519999998,41.3910416,2017-11-30 19:56:22.193000,2018-05-09 11:57:14.382000,onlyap642487,Apartamento,,6,,4,
onlyap599230b08a46554edf884665744,https://www.only-apartments.es/_/292313,2.163074,41.391068,2018-03-31 17:54:36.974000,2018-05-08 12:07:30.367000,onlyap292313,Apartamento,,6,3,3,
onlyap599230b08a46554edf884665745,https://www.only-apartments.es/_/481995,2.1646074580729224,41.39260844644319,2018-04-17 11:33:14.690000,2018-05-07 22:17:36.539000,onlyap481995,,,,,,
onlyap599230b08a46554edf884665746,https://www.only-apartments.es/_/485895,2.164468,41.392932,2018-03-31 17:54:19.058000,2018-05-07 21:29:00.298000,onlyap485895,Apartamento,,2,,1,
onlyap599230b08a46554edf884665747,https://www.only-apartments.es/_/498023,2.164468,41.392932,2018-03-31 17:54:19.059000,2018-05-07 21:38:04.591000,onlyap498023,Apartamento,,4,,2,
onlyap599230b08a46554edf884665748,https://www.only-apartments.es/_/727539,2.1639747096469364,41.39340895905852,2018-04-17 11:30:54.486000,2018-05-07 05:07:12.561000,onlyap727539,,,,,,
onlyap599230b08a46554edf884665749,https://www.only-apartments.es/_/690661,2.16396,41.39317,2018-03-31 17:54:43.980000,2018-04-18 18:33:43.604000,onlyap690661,Apartamento,,5,,3,
onlyap599230b08a46554edf884665750,https://www.only-apartments.es/_/496403,2.163942704762674,41.39317667789352,2018-04-17 11:31:39.572000,2018-05-07 10:26:28.103000,onlyap496403,,,,,,
onlyap599230b08a46554edf884665751,https://www.only-apartments.es/_/501994,2.16332260000002,41.393062,2018-03-31 17:54:06.907000,2018-05-07 14:29:39.649000,onlyap501994,Apartamento,,4,,1,
onlyap599230b08a46554edf884665752,https://www.only-apartments.es/_/501968,2.16305160000002,41.3926347,2018-03-31 17:54:06.908000,2018-05-07 14:19:35.197000,onlyap501968,Apartamento,,4,,2,
onlyap599230b08a46554edf884665753,https://www.only-apartments.es/_/740881,2.162362700000017,41.3928052,2018-03-31 17:55:31.687000,2018-05-10 08:20:36.593000,onlyap740881,Apartamento,,10,,3,
onlyap599230b08a46554edf884665754,https://www.only-apartments.es/_/485440,2.163734,41.394726,2017-11-30 19:56:22.193000,2018-05-10 02:30:16.487000,onlyap485440,Apartamento,,8,,3,
onlyap599230b08a46554edf884665755,https://www.only-apartments.es/_/485439,2.163734,41.394726,2018-03-31 17:55:27.546000,2018-05-10 02:20:55.085000,onlyap485439,Apartamento,,8,,3,
onlyap599230b08a46554edf884665756,https://www.only-apartments.es/_/13173,2.163759,41.394783,2017-11-30 19:56:22.193000,2018-05-08 20:08:17.498000,onlyap13173,Apartamento,,8,13,3,
onlyap599230b08a46554edf884665757,https://www.only-apartments.es/_/749374,2.16341569999997,41.395689,2018-03-31 17:54:10.128000,2018-05-07 13:27:24.798000,onlyap749374,Apartamento,,4,,2,
onlyap599230b08a46554edf884665758,https://www.only-apartments.es/_/749384,2.16287069999998,41.3954994,2018-03-31 17:54:40.511000,2018-05-08 15:57:51.438000,onlyap749384,Apartamento,,5,,2,
onlyap599230b08a46554edf884665759,https://www.only-apartments.es/_/481325,2.16206,41.394437,2018-04-17 11:30:17.501000,2018-05-06 23:51:01.249000,onlyap481325,,,,,,
onlyap599230b08a46554edf884665760,https://www.only-apartments.es/_/674395,2.162037,41.393506,2018-03-31 17:54:06.908000,2018-05-07 14:33:53.772000,onlyap674395,Apartamento,,4,,1,
onlyap599230b08a46554edf884665761,https://www.only-apartments.es/_/517287,2.16033360000006,41.3953712,2018-03-31 17:54:06.905000,2018-05-07 14:27:25.022000,onlyap517287,Apartamento,,4,,1,
onlyap599230b08a46554edf884665762,https://www.only-apartments.es/_/18273,2.1617964,41.39724,2018-03-31 17:55:14.200000,2018-05-09 15:11:20.877000,onlyap18273,Apartamento,,10,11,3,
onlyap599230b08a46554edf884665763,https://www.only-apartments.es/_/518292,2.161543,41.397224,2018-04-17 11:34:47.850000,2018-05-08 10:26:43.701000,onlyap518292,,,,,,
onlyap599230b08a46554edf884665764,https://www.only-apartments.es/_/345144,2.1613965000000235,41.3972286,2018-03-31 17:55:31.688000,2018-05-10 09:09:22.770000,onlyap345144,Apartamento,,10,4,4,
onlyap599230b08a46554edf884665765,https://www.only-apartments.es/_/961103,2.161073,41.396681,2018-04-22 22:42:27.672000,2018-05-08 01:08:16.472000,onlyap961103,Apartamento,,4,,1,
onlyap599230b08a46554edf884665766,https://www.only-apartments.es/_/961108,2.161073,41.396681,2018-04-22 22:42:27.675000,2018-05-08 01:10:52.940000,onlyap961108,Apartamento,,4,,1,
onlyap599230b08a46554edf884665767,https://www.only-apartments.es/_/961106,2.161073,41.396681,2018-04-22 22:42:27.676000,2018-05-08 01:11:35.671000,onlyap961106,Apartamento,,4,,1,
onlyap599230b08a46554edf884665768,https://www.only-apartments.es/_/961105,2.161073,41.396681,2018-04-22 22:45:55.529000,2018-05-09 06:41:01.588000,onlyap961105,Apartamento,,6,,2,
onlyap599230b08a46554edf884665769,https://www.only-apartments.es/_/961110,2.161073,41.396681,2018-04-22 22:46:28.328000,2018-05-09 10:59:27.410000,onlyap961110,Apartamento,,6,,2,
