id,source,target
"252",5479844,"d180412"
"253",6137494,"d180412"
"254",1241068,"d180412"
"255",2082868,"d180412"
"256",3097333,"d180412"
"257",4525053,"d180412"
"258",957918,"d180412"
"259",1775920,"d180412"
"260",5458198,"d180412"
"261",5093340,"d180412"
"262",437886,"d180412"
"263",659469,"d180412"
"264",2073924,"d180412"
"265",590259,"d180412"
"266",851800,"d180412"
"267",3496538,"d180412"
"268",474669,"d180412"
"269",898486,"d180412"
"270",4539074,"d180412"
"271",893052,"d180412"
"272",4398914,"d180412"
"273",3556368,"d180412"
"274",3846956,"d180412"
"275",1169191,"d180412"
"276",1406158,"d180412"
"277",3543365,"d180412"
"278",787218,"d180412"
"279",3195806,"d180412"
"280",5716415,"d180412"
"281",2845569,"d180412"
"282",4438712,"d180412"
"283",1916455,"d180412"
"284",4339658,"d180412"
"285",936734,"d180412"
"286",1125212,"d180412"
"287",4467935,"d180412"
"288",213296,"d180412"
"289",770453,"d180412"
"290",5352747,"d180412"
"291",896337,"d180412"
"292",1331957,"d180412"
"293",3561658,"d180412"
"294",2535510,"d180412"
"295",2348604,"d180412"
"296",3748233,"d180412"
"297",3865561,"d180412"
"298",2967668,"d180412"
"299",776388,"d180412"
"300",5322583,"d180412"
"301",5101904,"d180412"
"302",2758891,"d180412"
"303",4381172,"d180412"
"304",234109,"d180412"
"305",180293,"d180412"
"306",92425,"d180412"
"307",2098294,"d180412"
"308",1057394,"d180412"
"309",31377,"d180412"
"310",5275404,"d180412"
"311",1351980,"d180412"
"312",1653089,"d180412"
"313",821330,"d180412"
"314",563971,"d180412"
"315",915823,"d180412"
"316",4766850,"d180412"
"317",753322,"d180412"
"318",884420,"d180412"
"319",5842366,"d180412"
"320",2700709,"d180412"
"321",359841,"d180412"
"322",842389,"d180412"
"323",922332,"d180412"
"324",6018066,"d180412"
"325",123746,"d180412"
"326",2224719,"d180412"
"327",1674445,"d180412"
"328",1421725,"d180412"
"329",1448815,"d180412"
"330",1670235,"d180412"
"331",18674,"d180412"
"332",3746653,"d180412"
"333",482630,"d180412"
"334",759016,"d180412"
"335",5183056,"d180412"
"336",44868,"d180412"
"337",4946158,"d180412"
"338",2638769,"d180412"
"339",1005775,"d180412"
"340",1580586,"d180412"
"341",2925168,"d180412"
"342",568185,"d180412"
"343",5986369,"d180412"
"344",1307420,"d180412"
"345",4610380,"d180412"
