"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","barrio","distrito"
14725828,"Studio with parking nearby, close to train station",3399123,"Eberhard&Aurélie@Es-Flats","Sants-Montjuïc","Sants",41.3740381319451,2.13850803750213,"Entire home/apt",85,2,56,"2018-07-13",2.42,12,313,"Sants","Sants-Montjuïc"
14729603,"Double Private Room Near to Plaza Espanya",32701988,"Paco","Eixample","la Nova Esquerra de l'Eixample",41.3820469771203,2.14853209269669,"Private room",29,2,1,"2018-08-07",1,1,12,"la Nova Esquerra de l'Eixample","Eixample"
14729848,"Habitación en Barcelona muy calida",91715684,"Alina","Nou Barris","el Turó de la Peira",41.4315556713314,2.16694173972043,"Private room",55,1,24,"2018-06-10",1.01,1,364,"el Turó de la Peira","Nou Barris"
14736188,"Luminous and comfy flat in the heart of Bcn!",56820880,"Jonathan","Ciutat Vella","el Barri Gòtic",41.3863494292438,2.17373159608582,"Private room",32,2,30,"2017-10-30",1.27,1,51,"el Barri Gòtic","Ciutat Vella"
14736869,"Nice room near Sants and Plaza España",4397402,"Yenny","Eixample","la Nova Esquerra de l'Eixample",41.3859455548013,2.14333902736073,"Private room",25,2,43,"2018-07-08",1.8,1,10,"la Nova Esquerra de l'Eixample","Eixample"
14737939,"Comfortable room for couples in historical area.",91804489,"Gustavo","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3864847472433,2.18108804613812,"Private room",30,1,154,"2018-07-28",6.58,1,243,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella"
14738467,"Lighted room with balcony",91809774,"Maite","Sants-Montjuïc","Hostafrancs",41.3746897712749,2.14281720175238,"Private room",37,1,174,"2018-07-23",7.33,1,21,"Hostafrancs","Sants-Montjuïc"
14740246,"Art House Borrell A",21483975,"Apartments Toni Space Barcelona","Eixample","Sant Antoni",41.3788797316049,2.16037937503064,"Entire home/apt",90,3,77,"2018-07-30",3.5,11,320,"Sant Antoni","Eixample"
14741950,"City Center Studio Gracia 3",1391607,"Aline","Gràcia","la Vila de Gràcia",41.398908458697,2.15926532320511,"Entire home/apt",70,4,26,"2018-06-17",1.13,105,306,"la Vila de Gràcia","Gràcia"
14742228,"Comfy and sunny room in the center",91629405,"Marc","Eixample","l'Antiga Esquerra de l'Eixample",41.3881999547678,2.15732083772948,"Private room",31,2,96,"2018-07-28",4.01,1,9,"l'Antiga Esquerra de l'Eixample","Eixample"
14752297,"chill room",6405346,"L. Felipe","Eixample","la Nova Esquerra de l'Eixample",41.3781415785665,2.14694998531371,"Private room",41,2,8,"2016-10-31",0.34,5,365,"la Nova Esquerra de l'Eixample","Eixample"
14756825,"Private room in the heart of BCN",4077942,"Jose","Eixample","la Nova Esquerra de l'Eixample",41.3820855947008,2.15393057896234,"Private room",25,52,3,"2017-09-18",0.14,3,242,"la Nova Esquerra de l'Eixample","Eixample"
14756831,"City Center Studio Gracia 4",1391607,"Aline","Gràcia","la Vila de Gràcia",41.4004574661944,2.15778367144481,"Entire home/apt",80,4,14,"2018-07-23",0.64,105,315,"la Vila de Gràcia","Gràcia"
14757179,"Private room in the heart of BCN",4077942,"Jose","Eixample","la Nova Esquerra de l'Eixample",41.3833301739658,2.15276840398034,"Private room",24,52,3,"2018-06-24",0.13,3,347,"la Nova Esquerra de l'Eixample","Eixample"
14757413,"habitación individual. Muy cerca del metro",90614068,"Mercé","Sant Martí","la Verneda i la Pau",41.4238775279987,2.20282871935869,"Private room",25,1,8,"2018-07-29",0.39,3,209,"la Verneda i la Pau","Sant Martí"
14765045,"BARCELONA PLAYA Y CENTRO GRUPOS Y FAMILIAS! *PISO",52847952,"Ana Maria","Sant Martí","el Poblenou",41.4046336662449,2.20491382470915,"Entire home/apt",48,5,16,"2018-08-04",0.7,1,340,"el Poblenou","Sant Martí"
14766072,"Fantastic flat with nice view, near Plaza España",19825066,"Miguel","Sants-Montjuïc","Hostafrancs",41.3717724281551,2.14416175381094,"Entire home/apt",41,32,6,"2018-08-03",0.36,1,254,"Hostafrancs","Sants-Montjuïc"
14777611,"Bright room with private bathroom. Beach&downtown",2902134,"Jose","Ciutat Vella","la Barceloneta",41.3833306945989,2.18921476445182,"Private room",60,4,56,"2018-08-04",2.36,1,17,"la Barceloneta","Ciutat Vella"
14778581,"Sagrada Familia View monthly rental, Wifi, A/C",491007,"Inobooking","Eixample","la Sagrada Família",41.4041192955448,2.17575787834248,"Entire home/apt",50,32,4,"2018-01-08",0.19,11,76,"la Sagrada Família","Eixample"
14780250,"Magnifico piso en el Eixample.",91831708,"Ramiro","Eixample","la Sagrada Família",41.4058697673489,2.17899088743988,"Entire home/apt",49,32,0,"",NA,1,318,"la Sagrada Família","Eixample"
14784094,"Room in a cozy apartment",17205988,"Gabriela","Les Corts","les Corts",41.3854796722601,2.1379148456375,"Private room",30,2,0,"",NA,1,0,"les Corts","Les Corts"
14792937,"Fantastic Attic 2 bedrooms amazing views",75620994,"Sabrina","Eixample","l'Antiga Esquerra de l'Eixample",41.3915707615452,2.15323067285549,"Entire home/apt",100,32,0,"",NA,13,342,"l'Antiga Esquerra de l'Eixample","Eixample"
14793276,"Seno's House",92392823,"Daniele","Horta-Guinardó","el Guinardó",41.4157264379834,2.17665737174225,"Private room",100,3,0,"",NA,1,173,"el Guinardó","Horta-Guinardó"
14794128,"City Center Studio Gracia 5",1391607,"Aline","Gràcia","la Vila de Gràcia",41.4004370170869,2.15862073269848,"Entire home/apt",80,4,4,"2018-06-25",0.18,105,316,"la Vila de Gràcia","Gràcia"
14797272,"Doble room in historic center city",12570486,"Francisco","Ciutat Vella","el Raval",41.3811960470352,2.16474312271505,"Private room",30,1,216,"2018-08-09",9.14,1,191,"el Raval","Ciutat Vella"
14799774,"Double room on flat with amazing views",40355042,"Sergi","Sarrià-Sant Gervasi","el Putxet i el Farró",41.4091435007786,2.14048549483598,"Private room",40,4,5,"2018-05-31",0.38,1,0,"el Putxet i el Farró","Sarrià-Sant Gervasi"
14800584,"H. individual ( sagrada familia)",26469710,"Nigel","Eixample","la Sagrada Família",41.4056029158444,2.17667747700883,"Private room",20,1,24,"2018-08-08",1.01,1,309,"la Sagrada Família","Eixample"
14800802,"Loft muy agradable en el Casco Antiguo",92460963,"Jose","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.389849197873,2.18137229116581,"Entire home/apt",50,35,0,"",NA,1,87,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella"
14804782,"The room with barthroom prive por one persone",42906962,"Luis","Ciutat Vella","el Raval",41.3791321960367,2.1704486497757,"Private room",35,31,6,"2018-05-06",0.27,9,163,"el Raval","Ciutat Vella"
14807234,"Room in Barceloneta by the beach",92523651,"Elda","Ciutat Vella","la Barceloneta",41.37695173058,2.19029948263595,"Private room",35,2,17,"2018-07-18",0.72,3,358,"la Barceloneta","Ciutat Vella"
14813152,"City, Park, Tranquility, Sea View, Well Connected",37976387,"Tobias","Sarrià-Sant Gervasi","Sarrià",41.4098406298583,2.11368054299042,"Private room",39,1,29,"2018-08-05",1.24,2,42,"Sarrià","Sarrià-Sant Gervasi"
14813836,"Centric apartment and a very quiet neighborhood an",86690735,"Carlos","Sant Martí","el Camp de l'Arpa del Clot",41.4109342719538,2.18650961394416,"Private room",48,2,103,"2018-07-27",4.4,1,326,"el Camp de l'Arpa del Clot","Sant Martí"
14814872,"Comfortable double room in ¡Gothic center!",45472359,"Juan Facundo","Ciutat Vella","el Barri Gòtic",41.3813696825202,2.17652415759749,"Private room",55,3,75,"2018-07-19",3.26,2,47,"el Barri Gòtic","Ciutat Vella"
14817921,"Nice room for 4",39357860,"Ettore","Ciutat Vella","el Barri Gòtic",41.3808571758442,2.18082606517308,"Private room",20,1,97,"2018-08-06",4.27,3,304,"el Barri Gòtic","Ciutat Vella"
14819632,"Charming downtown apartment",92639462,"Gemma","Eixample","Sant Antoni",41.3820117232483,2.16284059318608,"Entire home/apt",101,1,96,"2018-08-09",4.09,1,148,"Sant Antoni","Eixample"
14824931,"Room withview to  harbour Barceloneta bythe beach",92523651,"Elda","Ciutat Vella","la Barceloneta",41.3750621894428,2.18773294456941,"Private room",45,2,10,"2017-09-28",0.42,3,365,"la Barceloneta","Ciutat Vella"
14825545,"single room with private bath by the beach",92523651,"Elda","Ciutat Vella","la Barceloneta",41.3771458227443,2.188090475847,"Private room",35,2,12,"2018-07-24",0.52,3,361,"la Barceloneta","Ciutat Vella"
14831213,"Triple studio next to the port",43259405,"Silvia","Sants-Montjuïc","el Poble Sec",41.3739630205778,2.16801348794947,"Entire home/apt",105,3,23,"2018-06-06",1.2,9,280,"el Poble Sec","Sants-Montjuïc"
14833563,"Single room with doorlock, 30 min center, WiFi",46219024,"Natasha","Sant Martí","Provençals del Poblenou",41.4189981700869,2.20785278511368,"Private room",20,2,13,"2018-08-03",0.56,2,350,"Provençals del Poblenou","Sant Martí"
14833952,"Nice big room in Gracia, Barcelona",37675018,"Gandom","Sarrià-Sant Gervasi","el Putxet i el Farró",41.4067273953365,2.1490261546547,"Private room",19,1,4,"2016-10-01",0.17,5,343,"el Putxet i el Farró","Sarrià-Sant Gervasi"
14836082,"Best Location in the best neighborhood ¨EL BORNE´´",10986070,"Vicente","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3866348545673,2.18365876304783,"Private room",60,3,110,"2018-08-06",4.84,1,316,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella"
14836805,"Habitacion individual en bonito apartamento",7093663,"Nadia","Eixample","la Dreta de l'Eixample",41.3990838199391,2.16931958085474,"Private room",25,2,22,"2018-07-27",1.53,2,225,"la Dreta de l'Eixample","Eixample"
14837165,"Grande habitación con balcón, escritorio y sofá",5559536,"Ivy & Javi","Eixample","l'Antiga Esquerra de l'Eixample",41.3874795333345,2.16147778518635,"Private room",34,2,10,"2018-08-05",0.45,4,2,"l'Antiga Esquerra de l'Eixample","Eixample"
14837537,"Habitación individual II. Cerca del metro",90614068,"Mercé","Sant Martí","la Verneda i la Pau",41.425761713019,2.20252363541648,"Private room",25,1,3,"2017-10-08",0.18,3,318,"la Verneda i la Pau","Sant Martí"
14838313,"New apartment (4rooms) in Barcelona center",78591611,"Aida","Ciutat Vella","el Raval",41.3858078218878,2.16499931635397,"Entire home/apt",70,40,1,"2018-07-07",0.77,4,225,"el Raval","Ciutat Vella"
14840961,"2 Habitaciónes Barcelona centro",92852092,"Sofia","Sants-Montjuïc","la Font de la Guatlla",41.3704709325156,2.14577649279685,"Private room",40,3,4,"2017-04-28",0.18,3,355,"la Font de la Guatlla","Sants-Montjuïc"
14842232,"Lovely room, authentic neighborhood in Barcelona",92873591,"Raúl","Nou Barris","la Trinitat Nova",41.4477969768519,2.1840011217707,"Private room",35,2,20,"2018-06-04",0.87,2,365,"la Trinitat Nova","Nou Barris"
14845453,"BIG ROOM IN THE CENTRE OF BARCELONA",92915364,"Simona","Ciutat Vella","el Raval",41.3804558492472,2.16478985273359,"Private room",19,2,47,"2018-08-01",1.99,2,228,"el Raval","Ciutat Vella"
14845940,"Single room, private bathroom, lovely view of city",54848814,"Anne-Emmanuelle","Nou Barris","les Roquetes",41.4482566715742,2.17702817150757,"Private room",23,2,27,"2018-08-01",1.17,1,146,"les Roquetes","Nou Barris"
14847034,"Sagrada Familia View  for long stay, Wifi, A/C",491007,"Inobooking","Eixample","la Sagrada Família",41.4057610245902,2.17434683918834,"Entire home/apt",50,32,4,"2018-02-06",0.24,11,34,"la Sagrada Família","Eixample"
14847372,"Private room and bath 10 minutes from Las Ramblas",92932700,"Juan Ezequiel","Ciutat Vella","el Raval",41.3766537975576,2.1712053703682,"Entire home/apt",29,1,3,"2018-07-30",3,1,2,"el Raval","Ciutat Vella"
14848480,"Habitación privada hasta 2 pers. Sagrada Familia.",92934379,"Ana Laís","Eixample","la Sagrada Família",41.4101212962008,2.17532612251239,"Private room",42,2,10,"2018-07-08",0.43,1,362,"la Sagrada Família","Eixample"
14850456,"Modern beachside loft",34032766,"Lola","Ciutat Vella","la Barceloneta",41.3812023850573,2.18991683401538,"Entire home/apt",200,30,0,"",NA,2,365,"la Barceloneta","Ciutat Vella"
14852855,"single bed , near festival cruilla 15min sea/city",69924836,"Barbara","Sant Martí","Sant Martí de Provençals",41.4188871286399,2.19835906992532,"Private room",35,3,6,"2018-07-12",0.47,2,333,"Sant Martí de Provençals","Sant Martí"
14852858,"Habitación tranquila con vistas/Quite room, views!",92983140,"Laila","Horta-Guinardó","Horta",41.437852062452,2.16334658594194,"Private room",26,1,31,"2018-07-22",1.34,1,351,"Horta","Horta-Guinardó"
14859062,"Cozy Single Bedroom in Barcelona Centre",93050703,"Veronica","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3847519396577,2.18214176584689,"Private room",42,3,5,"2018-08-13",1.32,1,357,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella"
14861559,"Charming Design Bed Gracia",1448949,"Hortense","Gràcia","la Vila de Gràcia",41.3997110070208,2.15370073048746,"Private room",40,3,14,"2018-07-19",0.61,3,151,"la Vila de Gràcia","Gràcia"
14862340,"Habitacion luminoso y tranquilo",93089797,"Meri-Karen","Sant Andreu","el Bon Pastor",41.4448522929116,2.20371967998277,"Private room",29,1,7,"2017-07-30",0.31,1,365,"el Bon Pastor","Sant Andreu"
14863086,"Super Comfy Bright Room in Barcelona Center",235405,"Jessica","Ciutat Vella","el Raval",41.3776970540265,2.16767754575882,"Private room",100,2,2,"2016-11-13",0.09,1,0,"el Raval","Ciutat Vella"
14864163,"Big room Plaza España 5 (parking)",64047093,"Gustavo Hernando","Eixample","Sant Antoni",41.3757022419721,2.15025935905301,"Private room",72,1,83,"2018-06-18",3.51,5,352,"Sant Antoni","Eixample"
14865194,"Nice big room in flat with terrace",37675018,"Gandom","Sarrià-Sant Gervasi","el Putxet i el Farró",41.4065572402685,2.14895238271552,"Private room",19,1,0,"",NA,5,343,"Vallcarca i els Penitents","Gràcia"
14866305,"The Cosmopolitan City Center Apartment",1391607,"Aline","Eixample","la Dreta de l'Eixample",41.3897302099071,2.16485115938548,"Entire home/apt",250,3,20,"2018-07-30",0.94,105,295,"la Dreta de l'Eixample","Eixample"
14867741,"Room in Barceloneta with balcony",93144807,"Caroline","Ciutat Vella","la Barceloneta",41.3783730100467,2.18714418229416,"Private room",50,1,22,"2018-06-10",1.55,1,6,"la Barceloneta","Ciutat Vella"
14869404,"Sunny double room",11142375,"José","Horta-Guinardó","el Carmel",41.4224188272636,2.152964010106,"Entire home/apt",39,2,50,"2018-07-22",2.16,1,47,"el Carmel","Horta-Guinardó"
14870222,"Con mucho encanto!! En el centro de Barcelona.",92860424,"Carmen","Ciutat Vella","el Raval",41.3812210645961,2.16801052781942,"Private room",49,2,36,"2018-08-06",1.58,1,194,"el Raval","Ciutat Vella"
14883115,"Charming, light filled retreat in vibrant Gothic!",93326624,"Anita","Ciutat Vella","el Barri Gòtic",41.3788691972525,2.17767039259013,"Private room",50,2,84,"2018-08-10",3.56,1,36,"el Barri Gòtic","Ciutat Vella"
14884616,"Private Room, bright,close to beach",979782,"Laura","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3852615764707,2.18377028531556,"Private room",35,2,33,"2018-07-31",1.41,2,346,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella"
14885373,"Amazing apartment for families",299462,"Enrique","Sarrià-Sant Gervasi","Sant Gervasi - Galvany",41.3953948258398,2.15081740127351,"Entire home/apt",200,4,29,"2018-07-27",1.28,80,358,"Sant Gervasi - Galvany","Sarrià-Sant Gervasi"
14890990,"Gorgeous apartment in Poblenou",6404719,"Alex","Sant Martí","el Poblenou",41.4053748170165,2.20615174586681,"Entire home/apt",60,31,4,"2018-07-09",0.18,4,330,"el Poblenou","Sant Martí"
14892082,"well located room really close to Poblenou Beach",35096798,"Sam","Sant Martí","el Poblenou",41.4001666264568,2.20604724699478,"Private room",30,2,1,"2016-10-07",0.04,1,0,"el Poblenou","Sant Martí"
14896210,"Cozy apartment. Parking included in the price.",5420234,"Klonkis Sl","Sants-Montjuïc","el Poble Sec",41.3730569777447,2.17258738920409,"Entire home/apt",126,2,54,"2018-07-20",2.48,1,286,"el Poble Sec","Sants-Montjuïc"
14896686,"CHARMING ROOMS IN THE CENTER OF BARCELONA",3268311,"Olga","Ciutat Vella","el Barri Gòtic",41.3806295190327,2.17840422406342,"Private room",35,2,50,"2018-07-29",2.81,1,344,"el Barri Gòtic","Ciutat Vella"
14905259,"Sagrada Familia - Cosy Single Bedroom",86840681,"Manuel","Sant Martí","el Camp de l'Arpa del Clot",41.4105572767772,2.17991874338587,"Private room",13,90,4,"2017-12-31",0.29,1,324,"el Camp de l'Arpa del Clot","Sant Martí"
14906413,"Charming apartment in typical neighborhood of BCN",92873591,"Raúl","Nou Barris","la Trinitat Nova",41.4477355512251,2.18454920889148,"Private room",34,2,28,"2018-06-20",1.2,2,365,"la Trinitat Nova","Nou Barris"
14907005,"GENIAL!!  habitación CENTRO/ FIRA Plaza España",2745577,"Valeria","Eixample","Sant Antoni",41.3757245063012,2.1533724826901,"Private room",30,30,13,"2017-02-20",0.64,8,269,"Sant Antoni","Eixample"
14908705,"Bella habitación  - Sagrada Familia",93630330,"Carol","Eixample","la Sagrada Família",41.4100326532141,2.17516070233833,"Private room",45,1,56,"2018-08-04",2.4,2,5,"la Sagrada Família","Eixample"
14909696,"Fantastic Central Quiet DoubleBedroom- WiFi",93644379,"Pablo","Eixample","la Nova Esquerra de l'Eixample",41.3818530494302,2.15779341091191,"Private room",36,3,51,"2018-07-23",2.18,2,49,"la Nova Esquerra de l'Eixample","Eixample"
14910097,"Private Room - Poble Sec, centre of Barcelona",7672941,"Valentina","Sants-Montjuïc","el Poble Sec",41.3725246339172,2.17109327664697,"Private room",40,2,31,"2018-06-18",1.32,2,317,"el Poble Sec","Sants-Montjuïc"
14910148,"Cozy single room in Barcelona",93648293,"Humberto","Sant Martí","Sant Martí de Provençals",41.4155366031582,2.19969136148512,"Private room",22,1,14,"2018-06-05",0.61,1,159,"Sant Martí de Provençals","Sant Martí"
14910478,"Double room near Park Guell",1998019,"Ignasi","Horta-Guinardó","el Baix Guinardó",41.4130478160185,2.16213566618962,"Private room",30,2,6,"2017-10-01",0.41,1,0,"el Baix Guinardó","Horta-Guinardó"
14911941,"Habitación Doble en Barcelona Centro -2-",93667139,"Pere","Eixample","l'Antiga Esquerra de l'Eixample",41.386394770981,2.1585759170228,"Private room",52,3,49,"2018-07-21",2.13,2,49,"l'Antiga Esquerra de l'Eixample","Eixample"
14912116,"Habitación Doble en Barcelona Centro -1-",93667139,"Pere","Eixample","l'Antiga Esquerra de l'Eixample",41.3873303413321,2.15994000028917,"Private room",52,3,51,"2018-07-29",2.23,2,38,"l'Antiga Esquerra de l'Eixample","Eixample"
14914946,"APARTMENT CAMP NOU",1819662,"Mar","Les Corts","la Maternitat i Sant Ramon",41.3750739951254,2.1191521713518,"Entire home/apt",75,30,3,"2017-10-31",0.27,1,226,NA,NA
14917873,"Spacious place for families near Sagrada Familia!",4472095,"Barcelona","Eixample","el Fort Pienc",41.397755092861,2.1778008892274,"Entire home/apt",244,3,9,"2018-06-28",0.41,4,65,"el Fort Pienc","Eixample"
14918045,"Tibidabo mountain view apartment close to Metro",6704037,"Ana","Sarrià-Sant Gervasi","el Putxet i el Farró",41.4092562760032,2.13802822981381,"Entire home/apt",180,30,0,"",NA,1,177,"el Putxet i el Farró","Sarrià-Sant Gervasi"
14921978,"¡Desplázate caminando a los mejores lugares!.",79663506,"Henry","Sants-Montjuïc","el Poble Sec",41.3722826792545,2.16192568307693,"Private room",35,1,39,"2018-07-28",1.98,2,108,"el Poble Sec","Sants-Montjuïc"
14922568,"Premium Room in the Born City Centre",82165748,"Ivan","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",41.3863264470884,2.18105274265921,"Private room",42,3,67,"2018-07-27",2.86,1,89,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella"
14922658,"Cozy centric apartment (Rambla de Catalunya)",22601937,"Francisco","Eixample","la Dreta de l'Eixample",41.3930356562079,2.15943155424596,"Entire home/apt",120,7,3,"2017-10-04",0.13,1,251,"la Dreta de l'Eixample","Eixample"
14923468,"3-BEDROOM NEAR GRACIA WITH TERRACE",8130906,"Arina","Eixample","l'Antiga Esquerra de l'Eixample",41.3930410667065,2.14949231857525,"Entire home/apt",288,3,22,"2018-07-15",0.96,38,267,"l'Antiga Esquerra de l'Eixample","Eixample"
