,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9,1136160,RAMBLAS! Fantastic double room B&B,783613,Maria,Ciutat Vella,el Raval,41.3798432327,2.17382011347,Private room,40,2,64,2016-11-27,1.47,4,1
36,16286279,Habitacion doble,25907408,Bande,Ciutat Vella,el Raval,41.3803021971,2.16368840581,Private room,37,1,0,,,1,365
40,586548,"HOME WITH HEART, Wood, Sun and Sea!",2891713,Mónica,Ciutat Vella,el Raval,41.3780145555,2.16899538344,Private room,40,3,91,2016-11-28,1.73,1,268
46,2467281,Cozy studio / Acogedor estudio,11132833,Diana,Ciutat Vella,el Raval,41.3751186717,2.17196323385,Private room,60,3,13,2016-09-26,1.78,1,88
57,4679154,"spacious, furnished room double bed",24198311,Folkert,Ciutat Vella,el Raval,41.3838978237,2.16785456454,Private room,50,1,0,,,1,89
60,13472627,Centric and enjoyable house in Barcelona,42481261,Federico,Ciutat Vella,el Raval,41.3753904735,2.16981185742,Private room,30,2,1,2016-07-05,0.19,1,0
62,512368,SUNNY ROOM,1687383,Juanmi,Ciutat Vella,el Raval,41.3756371851,2.17001224829,Private room,19,14,23,2016-12-08,0.46,2,351
75,1403350,Enjoy journey in sweet room 2,7199088,Kuldeep,Ciutat Vella,el Raval,41.3760083094,2.17238492837,Private room,41,1,63,2016-10-31,1.55,3,360
76,11942321,"Double room, city center",63759660,Monia,Ciutat Vella,el Raval,41.3795111954,2.16735742715,Private room,35,3,5,2016-10-24,0.7,1,353
80,15525883,una habitación privada,17033656,Olga,Ciutat Vella,el Raval,41.3783481834,2.1639060165,Private room,15,14,0,,,1,38
81,7137829,Central Double Room with Sunny Terrace,37384157,Valentina,Ciutat Vella,el Raval,41.3756474383,2.16913890459,Private room,25,2,1,2016-12-01,1.0,3,65
107,10078944,Beautiful double room in Raval,51717454,Manolo,Ciutat Vella,el Raval,41.3828608464,2.16594500785,Private room,40,2,13,2016-10-30,1.35,2,337
149,16159489,NEW LOVELY APARTMENT CLOSE LAS RAMBLAS,98939865,Antonio,Ciutat Vella,el Raval,41.3836881166,2.16464788944,Entire home/apt,99,1,0,,,3,167
161,6311385,ramblas 2 rooms,32435313,Max Y Dhe,Ciutat Vella,el Raval,41.3857994953,2.16528964877,Private room,20,1,12,2016-07-20,0.62,6,309
182,10050960,Culture Lovers Modern Apartment,4929439,Alejandro,Ciutat Vella,el Raval,41.3850819915,2.16949977846,Entire home/apt,200,3,0,,,5,0
184,15493294,NEW BEAUTY APARTMENT NEXT RAMBLAS,99375964,Ramon,Ciutat Vella,el Raval,41.3768564021,2.16733931862,Entire home/apt,99,1,0,,,3,358
197,15541051,HABITACIÓN DOBLE BARCELONA CENTRO,99989739,Jairo,Ciutat Vella,el Raval,41.3765933923,2.16635060965,Private room,40,2,0,,,1,363
201,13895669,"Centrally located, 2 dbl rooms in the heart of Bcn",488817,Poppy,Ciutat Vella,el Raval,41.3786090267,2.16998849053,Entire home/apt,75,4,1,2016-09-20,0.37,1,85
229,14184455,Central cozy apartment B-1,6776202,Katy,Ciutat Vella,el Raval,41.3804927685,2.16628093754,Entire home/apt,50,3,7,2016-11-13,1.74,4,27
238,10308180,Accommodation Barcelona,49894730,Natalie,Ciutat Vella,el Raval,41.3772130669,2.16805696431,Entire home/apt,45,2,22,2016-11-19,2.3,4,201
242,14757064,FLAT IN THE OLD CENTER OF BARCELONA,2768598,Evgeniia,Ciutat Vella,el Raval,41.3788305908,2.16793844587,Entire home/apt,86,1,0,,,5,348
255,11856515,Room for two people Raval Barcelona,42686705,Carlos,Ciutat Vella,el Raval,41.383167425,2.16877449116,Shared room,10,2,22,2016-11-02,2.56,4,365
259,9651247,Amazing Accommodation  Barcelona,49894730,Natalie,Ciutat Vella,el Raval,41.3810066366,2.16383855561,Entire home/apt,65,1,44,2016-11-19,4.55,4,151
275,4345500,loft ciutat vella center barcelona,22558299,Agnés,Ciutat Vella,el Raval,41.3829357797,2.16487485765,Private room,21,7,24,2016-10-03,0.93,1,341
284,13744434,Single room,16416605,Karl,Ciutat Vella,el Raval,41.3849879259,2.16877402926,Private room,25,1,2,2016-09-23,0.48,2,364
286,14009144,[LastMinute] Apt walk to La Rambla,62209058,Sara&Carlos,Ciutat Vella,el Raval,41.3814878951,2.16831413809,Entire home/apt,50,1,20,2016-11-29,4.35,3,166
289,15767803,"Modern Penthouse with terrace, wifi",93804355,David,Ciutat Vella,el Raval,41.3825118689,2.16590451995,Entire home/apt,98,3,0,,,14,303
312,7788639,Accommodation Barcelona,40985669,Maria,Ciutat Vella,el Raval,41.3760248893,2.16759263194,Entire home/apt,45,2,44,2016-11-02,2.85,1,284
