,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4,20345,"2 Double rooms for 4 persons, WI-FI",76809,Mila,Nou Barris,Vilapicina i la Torre Llobeta,41.4294969777,2.18155786439,Private room,25,2,71,2018-05-03,0.74,1,329
7,25786,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,108310,Pedro,Gràcia,la Vila de Gràcia,41.401451954,2.15644651442,Private room,45,1,176,2018-05-04,1.86,1,151
34,71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.4183680947,2.13419160576,Entire home/apt,250,7,1,2011-06-23,0.01,1,185
66,116102,  MODERNIST ROOM & PRIVATE LIVING,586787,Carmín,Eixample,la Dreta de l'Eixample,41.3941805884,2.17474292524,Private room,39,2,123,2018-04-28,1.45,2,130
122,200257,We are back: Apartment in the heart of Barceloneta,978773,Simone,Ciutat Vella,la Barceloneta,41.3821753682,2.18886455683,Entire home/apt,115,5,30,2017-09-09,1.34,1,312
137,228660,Room downtown,1193521,Vicente,Ciutat Vella,el Raval,41.3804651896,2.16797971444,Private room,35,3,36,2018-03-20,0.45,1,227
154,260073,A STUDIO-FLAT IN CENTER-BARCELONA,832875,Pau,Eixample,l'Antiga Esquerra de l'Eixample,41.3869332462,2.15923660937,Private room,30,1,19,2017-04-10,0.29,1,308
161,267873,"COOL, NICE AND CENTRAL XL ROOM",586787,Carmín,Eixample,el Fort Pienc,41.3993993177,2.18021334396,Private room,30,3,65,2018-01-30,0.87,2,81
190,288034,pb1 WITH TERRACE QUIET & HAPPY FLAT,1447144,Jaesse,Eixample,la Nova Esquerra de l'Eixample,41.3879058338,2.15064076155,Entire home/apt,70,1,13,2014-12-15,0.18,51,79
234,356674,Cheap rooms - 5 min walk to beach!,635764,Darko,Sant Martí,el Besòs i el Maresme,41.4123179512,2.21553333444,Private room,15,2,8,2018-04-27,0.11,2,156
251,380578,Cheap rooms - 5 min. walk to beach!,635764,Darko,Sant Martí,el Besòs i el Maresme,41.411253043,2.21627234571,Private room,19,2,24,2018-04-28,0.32,2,264
253,384063,nap2 HAPPY & QUIET 3 BEDROOM & 2 BATHROOMS FLAT,1447144,Jaesse,Eixample,la Dreta de l'Eixample,41.3960627411,2.17605190326,Entire home/apt,110,2,7,2014-10-19,0.1,51,197
257,385049,MIRADOR 3 Bedroom Apartment Port Vell,3775349,Leyre,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3817876944,2.18178738599,Entire home/apt,234,2,144,2018-04-20,1.93,1,176
285,440619,Sagrada Familia Quality double room,2189222,Victor,Horta-Guinardó,el Baix Guinardó,41.4125245175,2.17077394904,Private room,1000,4,48,2017-10-14,0.67,3,0
289,443193,Amazing Modernist central flat,2182619,Lau,Ciutat Vella,el Raval,41.3786038396,2.17146920079,Entire home/apt,99,7,49,2018-04-11,0.67,1,16
309,462062,CLOSE TO LA FIRA PL ESPAÑA /INCL BRKFAST,16569867,Lola,Eixample,la Nova Esquerra de l'Eixample,41.3797287198,2.1515814589,Private room,33,2,63,2018-05-03,1.38,2,72
385,536440,Space n'Style Near Sagrada Familia!,2635405,Montserrat,Horta-Guinardó,el Baix Guinardó,41.4105120565,2.17175466853,Entire home/apt,118,5,24,2017-09-02,0.41,1,24
394,548052,sfp2 NEW 2 BDR FLAT SAGRADA FAMILIA,1447144,Jaesse,Eixample,la Sagrada Família,41.4026492627,2.1713947773,Entire home/apt,100,3,0,,,51,362
395,548085,sfat WITH TERRACE SAGRADA FAMILIA,1447144,Jaesse,Eixample,la Sagrada Família,41.403249757,2.17074676649,Entire home/apt,100,1,2,2015-06-01,0.04,51,360
