,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
59,95560,La Sagrada Familia (and metro) 4 blocks!,494228,Julián,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4058465202,2.16887978202,Private room,15,2,384,2018-01-27,4.7,2,161
77,126836,Cozy bedroom next to Old Harbor,615805,David,Ciutat Vella,el Barri Gòtic,41.3823509824,2.1792748106,Private room,23,3,72,2018-01-02,0.9,1,144
135,206122,Amazing Loft in BCN Center (B0132),1013855,Alex,Gràcia,la Vila de Gràcia,41.3983950607,2.15799365537,Entire home/apt,125,4,110,2018-01-15,1.46,10,266
140,213296,Big/Centric Room-Palau de la Musica,1100014,Sol,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.387714397,2.17630332107,Private room,28,2,228,2018-01-23,3.27,3,239
147,218503,"Single room next to Bogatell Beach / 单间,旁边的海滩",1130143,Jan,Sant Martí,el Poblenou,41.397646448,2.20739455801,Private room,30,3,35,2017-10-23,0.5,2,240
149,224895,Trendy & Chic Prime Location!,1170885,Ana,Gràcia,la Vila de Gràcia,41.3984206309,2.16031261312,Private room,95,1,25,2015-09-26,0.32,1,365
168,258432,Plaza España Double Room w/bathroom,1318864,Ana,Sants-Montjuïc,Hostafrancs,41.3748605206,2.14586381533,Private room,80,1,35,2017-03-02,,1,285
169,259301, Private Bedroom Suite POBLENOU ,1361777,Juba & Ana,Sant Martí,el Poblenou,41.3965977365,2.19597038597,Private room,45,2,79,2017-09-26,1.05,2,365
178,264621,Apartment Amore Arago - HUTB 007051,1367370,Karen,Eixample,la Dreta de l'Eixample,41.3969963537,2.17229341282,Entire home/apt,199,3,36,2018-01-04,0.48,4,281
185,269467,Great studio next to Sagrada Famia,1411775,Jeremies,Eixample,la Sagrada Família,41.4033815209,2.1768521661,Entire home/apt,80,4,1,2018-01-01,0.79,2,309
224,317720,Apartamento completamente independiente + terraza,1631358,Fabio Ariel,Eixample,la Sagrada Família,41.4073664002,2.17957484554,Entire home/apt,40,15,2,2017-09-01,0.15,1,0
240,338154,Adorable spacious central flat,599247,Siobhain,Ciutat Vella,el Barri Gòtic,41.3864756466,2.17244433144,Entire home/apt,75,7,37,2016-08-15,0.55,1,48
284,395050,COLORFUL AND COZY FLAT IN BARCELONAS COOLEST AREA!,1780871,Tanner,Ciutat Vella,el Raval,41.3806872588,2.16859088172,Entire home/apt,45,3,157,2017-11-26,2.21,1,139
285,399772,VERY CENTRAL 3 STOPS AWAY RAMBLAS,1995385,Ana,Eixample,la Nova Esquerra de l'Eixample,41.382209468,2.15062352246,Entire home/apt,95,4,18,2015-03-05,0.25,1,71
291,408127,Petite chambre confortable,2032512,Magali,Eixample,Sant Antoni,41.3757794026,2.16537347573,Private room,25,3,2,2016-11-01,0.12,1,0
298,416704,"LARGE DOUBLE ROOM, WIFI, CENTER BCN",1984642,Luciana,Eixample,el Fort Pienc,41.4000175696,2.18135100885,Private room,35,2,19,2016-08-02,0.27,1,70
307,436350,Single room to rent for months,2167438,Susana,Ciutat Vella,el Raval,41.3850315564,2.16656886252,Private room,64,1,0,,,1,0
319,446751,Private room in Sagrada Familia,2218867,Georgia,Eixample,la Sagrada Família,41.4056458638,2.17134724103,Private room,29,2,33,2017-08-12,0.49,1,0
368,490853,Private Balcony in Sagrada Familia,2426746,Joel Giraldo,Eixample,la Sagrada Família,41.4047314372,2.1739453116,Private room,19,1,341,2018-01-20,4.92,4,335
377,500426,Double room in apartment.,2469240,Antonio,Horta-Guinardó,la Vall d'Hebron,41.4330509121,2.1491939582,Private room,50,2,1,2014-05-18,0.02,1,365
404,519566,Comfy double room Barcelona Center,1206797,Juan Miguel,Ciutat Vella,el Barri Gòtic,41.3811035695,2.17890933711,Private room,40,2,31,2017-10-03,0.46,1,323
485,590991,Beautiful Cheap Double NEAR BEACH!!,2584681,Paul & Emilie,Sant Martí,el Poblenou,41.398769974,2.19509794893,Private room,79,2,1,2012-11-17,0.02,1,365
521,634875,Charming floor house in Gracia,2543955,Héctor,Gràcia,la Vila de Gràcia,41.399991337,2.16131266313,Entire home/apt,60,3,43,2017-11-12,0.77,1,350
568,673708,"Double room next to Bogatell Beach / 双人房,旁边的海滩",1130143,Jan,Sant Martí,el Poblenou,41.3988091518,2.20755843813,Private room,49,3,10,2017-08-15,0.15,2,331
577,679117,penthosue by Piccaso Museum,42188,Paola,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3863665589,2.1817885346,Entire home/apt,99,2,31,2018-01-19,0.47,1,359
588,684794,"Big room, with wifi, at Barcelona",3392559,Guillermo,Sant Martí,la Verneda i la Pau,41.4256361858,2.20357066458,Private room,20,2,34,2017-08-26,0.59,2,308
596,690639,"Single room, wifi, Barcelona city",3392559,Guillermo,Sant Martí,la Verneda i la Pau,41.4243155405,2.20357843006,Private room,20,2,1,2014-06-02,0.02,2,179
615,705446,BARCELONA. WELL LOCATED LOVELY FLAT,2145704,Ivo,Sants-Montjuïc,Sants,41.3829424529,2.13881049392,Entire home/apt,100,2,0,,,1,359
623,717710,Central Loft Plaza Espanya center,1432835,Angel,Eixample,la Nova Esquerra de l'Eixample,41.3801911101,2.14559027983,Entire home/apt,55,3,43,2018-01-09,0.74,36,329
674,747081,Cozy rooms in Guest House,3920790,Carla,Eixample,la Dreta de l'Eixample,41.395433556,2.16925991568,Private room,135,1,0,,,1,364
681,756146,Red Room near Sagrada Familia,2196804,Monica,Sant Martí,el Camp de l'Arpa del Clot,41.4103963254,2.18219356087,Private room,12,3,0,,,3,226
684,756626,Green Room near Sagrada Familia,2196804,Monica,Sant Martí,el Camp de l'Arpa del Clot,41.4086943852,2.18229813093,Private room,28,2,2,2014-05-06,0.03,3,189
722,776388,NICE DUPLEX OVERLOOKING THE BEACH,3976834,Angel,Ciutat Vella,la Barceloneta,41.3809214591,2.19820316419,Entire home/apt,167,4,82,2017-12-11,1.32,3,252
745,800804,Brand new bright and spacious flat,4215452,Jose Ramon,Sant Martí,el Poblenou,41.4031119062,2.19722151229,Entire home/apt,90,3,1,2013-02-03,0.02,1,338
764,820629,Habitación doble para estudiante/trabajadora chica,4309990,María Isabel,Gràcia,el Coll,41.4181218843,2.14771626852,Private room,21,2,1,2016-11-01,0.06,2,364
766,821330,Amazing penthouse with terrace at Rambla Catalunya,3480461,Valencia Luxury,Eixample,la Dreta de l'Eixample,41.3895786487,2.16329577707,Entire home/apt,360,3,59,2018-01-03,0.99,7,165
771,826098,linda habitacion full equipada,4333956,Totote,Eixample,Sant Antoni,41.3813138867,2.16010064756,Private room,30,3,1,2016-10-04,0.06,2,334
774,829892,Sunny Modernist with Porch,2227977,Antonio,Eixample,l'Antiga Esquerra de l'Eixample,41.3880494247,2.16185951285,Private room,100,4,8,2017-08-11,0.17,1,24
822,858850,ALQUILO APARTAMENTO  ,4495295,Marta,Horta-Guinardó,Sant Genís dels Agudells,41.4277979711,2.13154443277,Entire home/apt,45,1,35,2017-09-20,0.61,1,244
843,871627,"Nice, cheap & center room :)",4595497,Alpha,Eixample,Sant Antoni,41.3788570969,2.15832469175,Private room,25,2,74,2017-10-13,1.23,1,95
880,900003,Apartment in the heart of Born,4804927,Zan,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3850753155,2.18229944489,Entire home/apt,60,1,290,2018-01-21,4.81,1,273
997,980139,Amazing  flat  Gay Friendly! ,1703659,Jerome,Eixample,l'Antiga Esquerra de l'Eixample,41.3852345915,2.16169871318,Private room,80,3,51,2016-10-03,0.86,1,364
1003,982492,Charming and Central Apartment,5201227,Jose & Patricia,Eixample,l'Antiga Esquerra de l'Eixample,41.3930675042,2.15444129044,Entire home/apt,250,3,189,2018-01-25,4.12,4,225
1005,984143,Double Room near Fira de Barcelona,5387001,Geraldine,Sants-Montjuïc,la Marina de Port,41.3593759253,2.13715175525,Private room,35,2,6,2015-11-20,0.14,1,364
1032,1002888,Your room in loft near the sea.,5514684,Rafael,Sant Martí,el Poblenou,41.3999889169,2.20209188437,Private room,35,2,41,2017-08-14,0.72,1,175
1053,1015197,Family Friendly 3 Bedroom!,5274515,Michael,Sants-Montjuïc,Sants,41.380961361,2.13552829897,Entire home/apt,85,5,27,2017-08-27,0.49,1,221
1082,1034301,Viladomat 0,5692445,Isabel,Eixample,la Nova Esquerra de l'Eixample,41.3800206682,2.1547120084,Private room,30,2,6,2016-10-02,0.11,7,365
1083,1034303,Viladomat 2,5692445,Isabel,Eixample,la Nova Esquerra de l'Eixample,41.3813048478,2.15541892759,Private room,30,2,23,2017-09-17,0.42,7,365
1084,1034304,Viladomat 1,5692445,Isabel,Eixample,la Nova Esquerra de l'Eixample,41.3814141102,2.15623698548,Private room,30,2,20,2016-09-27,0.44,7,365
1085,1034305,Viladomat 3,5692445,Isabel,Eixample,Sant Antoni,41.3795613505,2.15532727533,Private room,30,2,43,2017-10-02,0.74,7,365
1104,1057394,"Quiet, Centric perfect for families",3446677,Nuria,Eixample,la Dreta de l'Eixample,41.3918920966,2.17605408724,Entire home/apt,158,4,20,2018-01-01,0.35,1,255
1106,1060411,Bright and white double bedroom,2541323,Guillaume & Piermarco,Ciutat Vella,el Raval,41.3801984204,2.16933814819,Private room,55,2,16,2017-06-12,0.34,1,308
1129,1078585,Private room in Barcelona Les Corts,5933563,Marcos,Les Corts,les Corts,41.3824385101,2.13286700777,Private room,25,2,16,2015-03-11,0.27,2,334
1135,1085881,Bright and modern apartment Near BCN Beach (B1222),1013855,Alex,Sant Martí,la Vila Olímpica del Poblenou,41.393867681,2.19368674097,Entire home/apt,103,4,106,2017-12-19,1.93,10,282
1136,1086040,Design flat Sagrada Familia (B0841),1013855,Alex,Eixample,la Sagrada Família,41.4112362933,2.17463723121,Entire home/apt,150,4,54,2018-02-05,0.95,10,315
1143,1094023,"Cozy and luminous room, in a catalan chaflan",3493657,Jordi,Eixample,la Sagrada Família,41.4062519174,2.17873597389,Private room,45,2,33,2017-08-29,0.74,2,5
1174,1111268,Great apartment in the city center,1566022,Alex,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3863628928,2.18366559114,Entire home/apt,250,3,0,,,4,361
1201,1137718,La sagrera design Duplex pacific 3,10223142,David,Sant Andreu,la Sagrera,41.4264163002,2.18806159713,Entire home/apt,88,5,11,2017-08-25,0.34,13,5
1202,1137759,La Sagrera design Duplex Cortit 2,10223142,David,Sant Andreu,la Sagrera,41.4251772109,2.18860360461,Entire home/apt,88,5,28,2017-08-12,0.53,13,5
1210,1141375,Amazing sea view in Barcelona! 15mn in the city,6212628,Vanessa,Sant Martí,el Besòs i el Maresme,41.4159492398,2.22298328823,Private room,49,3,8,2017-10-02,0.14,1,64
1229,1158951,Viladomat,5692445,Isabel,Eixample,la Nova Esquerra de l'Eixample,41.3804075362,2.15619600297,Private room,30,2,122,2017-10-29,2.13,7,359
1269,1196387,Paralel 1 Apartment,6521082,Francisco,Sants-Montjuïc,el Poble Sec,41.372239847,2.16309291411,Entire home/apt,118,3,33,2018-01-07,0.96,15,294
1290,1204581,"★""CAPSULE""  SAG.FAMLIA★DOUBLE ROOM",700165,Wonderful Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.3836129673,2.15839750029,Private room,35,2,4,2016-06-26,0.09,4,335
1295,1206820,Beautiful Area Single Room ,5933563,Marcos,Les Corts,les Corts,41.3866476748,2.12932985859,Private room,20,2,17,2017-09-09,0.3,2,359
1339,1236427,Great Double Room at Bcn's Heart,522656,Eduardo,Ciutat Vella,el Barri Gòtic,41.3821469859,2.17478656656,Private room,50,2,35,2018-01-02,1.11,3,18
