,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4,19246,Double room in Spacious & nice Flat,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.3827350116,2.15027044879,Private room,50,2,66,2017-10-12,0.68,4,363
5,21158,Cozy single room,80585,Rosmerly,Nou Barris,Vilapicina i la Torre Llobeta,41.4274950377,2.17235712754,Private room,18,3,26,2017-12-29,0.71,2,365
21,40246,Double room in Spacious Flat  ,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.3828198972,2.15103888983,Private room,50,2,14,2017-10-08,0.15,4,90
34,69149,Single room in Nice&Spacious Flat ,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.3823149794,2.14989509736,Private room,25,2,7,2016-05-29,0.1,4,365
35,69151,Single room in Nice&Spacious Flat ,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.3822223728,2.1521166851,Private room,25,2,40,2017-08-04,0.48,4,363
54,83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.3822728372,2.16140985656,Private room,35,2,77,2018-01-02,0.93,4,351
55,83403,La Pedrera Paseo de Gracia I,396363,Oscar And Diego,Eixample,la Dreta de l'Eixample,41.3953399646,2.16475794005,Entire home/apt,146,2,2,2015-05-15,0.03,72,0
76,126510,Fab double room in Barcelona city center,627612,Tomas,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3880014353,2.17562625019,Private room,120,2,122,2017-10-29,1.5,1,312
79,128426,"Green, Nice and Quiet Room (A1)",236590,Joan Pere,Eixample,la Sagrada Família,41.4068827522,2.17693426716,Private room,35,3,161,2018-01-01,3.26,2,365
88,142121,You clean Barcelona Refuge 2 of 2,620454,Reinhard,Ciutat Vella,el Barri Gòtic,41.3816854174,2.17553204144,Entire home/apt,45,16,27,2017-09-20,0.35,2,173
91,144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.3822551828,2.15898219226,Private room,35,2,32,2016-08-04,0.4,4,335
95,151114,Very cute room with amazing views!,727790,Anna & Jorge,Horta-Guinardó,el Guinardó,41.4212041738,2.17972657047,Private room,39,2,2,2014-06-15,0.04,1,365
98,154498,"Blue, Cosy and Quiet (A2)",236590,Joan Pere,Eixample,la Sagrada Família,41.4059126635,2.17519250507,Private room,35,3,221,2017-10-01,3.06,2,351
103,164456,Bedroom+pvt bathroom+pvt living,784341,Paola,Ciutat Vella,el Barri Gòtic,41.3834050426,2.17256758063,Private room,50,4,86,2016-11-17,1.12,3,97
134,206111,Super Centric Apartment Barcelona,151623,Thierry,Eixample,Sant Antoni,41.3754806951,2.1669529795,Entire home/apt,109,2,75,2017-10-09,0.97,1,344
145,216699,SUPER CENTRAL CUTE DOUBLE ROOM+TERRACE!,1118232,Fran,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3848417891,2.17795766821,Private room,42,3,273,2018-01-07,3.67,1,140
148,223755,Charming apartment w/wifi in Gracia,1986299,Clickandflat,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4101068812,2.16181746546,Entire home/apt,120,3,18,2017-12-10,0.33,18,154
149,224895,Trendy & Chic Prime Location!,1170885,Ana,Gràcia,la Vila de Gràcia,41.3984206309,2.16031261312,Private room,95,1,25,2015-09-26,0.32,1,365
151,233739,Bright bedroom & private bathroom,1224008,Sergio,Sants-Montjuïc,Sants - Badal,41.3746637782,2.13028536676,Private room,40,3,79,2017-08-18,1.11,1,365
154,238266,RURAL HOUSE IN THE HEART OF BARCEL!,1249627,Bel,Gràcia,la Vila de Gràcia,41.4019212327,2.15710795685,Private room,50,1,110,2016-07-25,1.43,1,358
159,241627,Shining Double Room in Barcelona,958378,Stefano,Sants-Montjuïc,el Poble Sec,41.3732156017,2.16285924324,Private room,35,1,9,2017-08-14,0.2,2,365
163,253195,Barcelona/room2 pax/quiet place/public transport,1329256,Antonio,Nou Barris,Porta,41.4355106268,2.17457830224,Private room,20,2,25,2017-09-24,0.33,2,365
168,258432,Plaza España Double Room w/bathroom,1318864,Ana,Sants-Montjuïc,Hostafrancs,41.3748605206,2.14586381533,Private room,80,1,35,2017-03-02,,1,285
169,259301, Private Bedroom Suite POBLENOU ,1361777,Juba & Ana,Sant Martí,el Poblenou,41.3965977365,2.19597038597,Private room,45,2,79,2017-09-26,1.05,2,365
174,262369,Penthouse with terrace & views to Sagrada Familia,1359702,Sandra,Eixample,la Sagrada Família,41.4063287509,2.17004666843,Entire home/apt,140,3,18,2017-10-28,0.26,2,349
175,262626,DOUBLE ROOM IN COSY HOUSE W ROOFTOP,1378072,Carla,Sant Andreu,la Sagrera,41.4218712521,2.1875764831,Private room,60,1,0,,,1,365
178,264621,Apartment Amore Arago - HUTB 007051,1367370,Karen,Eixample,la Dreta de l'Eixample,41.3969963537,2.17229341282,Entire home/apt,199,3,36,2018-01-04,0.48,4,281
180,265607,Sunny Spacious Central Barcelona - HUTB-015374,1367370,Karen,Eixample,el Fort Pienc,41.3979466357,2.18134722379,Entire home/apt,150,3,35,2018-01-06,0.52,4,261
188,271259,Bright in the heart of the city,1419752,Flor,Ciutat Vella,el Raval,41.3858677601,2.16484510444,Entire home/apt,88,3,39,2017-09-19,0.53,1,81
193,274769,Classy 3BR Apt.near Paseo de Gracia,1435464,Jaume,Eixample,la Dreta de l'Eixample,41.3953052177,2.16511825868,Entire home/apt,328,3,8,2016-10-30,0.24,18,358
201,277208,Exclusive Barcelona Beach Apartment,1447719,Roberto,Sant Martí,el Poblenou,41.3989640336,2.20686951464,Private room,48,3,3,2013-05-27,0.04,1,365
250,347310,Penthouse Pl. Catalunya Ramblas 5p,1725307,Barcelona,Eixample,la Dreta de l'Eixample,41.3882226294,2.17177811214,Entire home/apt,145,2,3,2016-04-09,0.05,4,356
257,356065,Cozy Flat in the Best Location,1387640,Mila,Eixample,Sant Antoni,41.3833324923,2.16217349387,Entire home/apt,110,3,8,2016-05-25,0.11,1,0
265,374341,Nice & Big room with big terrace!!!,1883302,Laura,Eixample,Sant Antoni,41.3780077905,2.16305748624,Private room,40,1,50,2016-08-04,0.71,1,364
266,374417,"Eixample, céntrico, cerca 2 metros.",1406951,Salva,Eixample,la Nova Esquerra de l'Eixample,41.3772244467,2.15162973277,Private room,40,2,25,2017-08-17,0.49,2,1
273,379168,Beautiful sunny room with balcony ,1263456,Sofia,Eixample,Sant Antoni,41.3807286838,2.15958187258,Private room,40,2,71,2017-04-01,1.0,1,355
285,399772,VERY CENTRAL 3 STOPS AWAY RAMBLAS,1995385,Ana,Eixample,la Nova Esquerra de l'Eixample,41.382209468,2.15062352246,Entire home/apt,95,4,18,2015-03-05,0.25,1,71
292,408599,Charming 3bedroom flat with balcony,2034854,Roger,Sants-Montjuïc,el Poble Sec,41.374496633,2.15830029709,Entire home/apt,75,1,226,2018-01-21,3.19,1,299
302,428477,Very Spacious City Center Apartment,2130115,Nur,Ciutat Vella,el Barri Gòtic,41.3810466682,2.17562761596,Entire home/apt,69,3,108,2017-12-23,1.55,1,79
304,431054,VILLA OLIMPICA BEAUTIFULL PENTHOUSE,2142963,Igor,Sant Martí,el Parc i la Llacuna del Poblenou,41.3947914748,2.18691594772,Entire home/apt,69,2,107,2018-01-08,1.55,2,247
307,436350,Single room to rent for months,2167438,Susana,Ciutat Vella,el Raval,41.3850315564,2.16656886252,Private room,64,1,0,,,1,0
333,457411,quality & charm in the coolest area,2273599,Susana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383796775,2.18334218849,Entire home/apt,90,4,188,2018-01-12,2.76,1,188
339,465153,ROOM+RAMBLAS+RAVAL,652775,Ryc,Ciutat Vella,el Raval,41.3840355675,2.16561776324,Private room,25,1,262,2018-02-04,3.78,1,340
340,468639,Big room with exit to sunny terrace,2325968,Sikerult,Sants-Montjuïc,Sants - Badal,41.3738375547,2.12810964212,Private room,31,3,89,2018-01-23,1.32,2,74
341,468902,Appartment Sagrada Familia (S2),1093718,Alexey,Eixample,el Fort Pienc,41.399375229,2.17650443562,Entire home/apt,120,3,16,2016-08-26,0.24,11,220
359,482630,Family flat next to Paseo de Gracia,2389428,Mariana,Eixample,l'Antiga Esquerra de l'Eixample,41.3907809107,2.15977837232,Entire home/apt,250,4,28,2018-01-09,0.45,1,73
364,489550,"Gran habitación, a 5' de la playa.",2421161,Lupe,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.4105513388,2.21268478279,Private room,55,2,5,2016-10-28,0.07,1,364
376,499027,Beautiful rooms in Barcelona enjoy,2463008,Selene,Sant Andreu,la Sagrera,41.4248536466,2.18588521652,Private room,27,3,44,2017-09-03,0.64,3,364
377,500426,Double room in apartment.,2469240,Antonio,Horta-Guinardó,la Vall d'Hebron,41.4330509121,2.1491939582,Private room,50,2,1,2014-05-18,0.02,1,365
382,507074,Lovely & Sunny apartment in Center ,2042948,Lucia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3863857019,2.18357846716,Private room,50,2,272,2018-01-25,17.66,1,141
404,519566,Comfy double room Barcelona Center,1206797,Juan Miguel,Ciutat Vella,el Barri Gòtic,41.3811035695,2.17890933711,Private room,40,2,31,2017-10-03,0.46,1,323
431,553177,Large four bedroom apartments,2608724,Hector Alvaro,Eixample,Sant Antoni,41.3761851186,2.166142345,Entire home/apt,275,3,19,2017-08-17,0.28,4,217
447,564355,Single Room in the centre of Bcn!,2674823,Vera,Gràcia,la Vila de Gràcia,41.3983553975,2.1598230772,Private room,65,1,49,2017-08-19,0.76,1,86
459,572580,Gran Vía centro Barcelona Pequeño A,396363,Oscar And Diego,Eixample,l'Antiga Esquerra de l'Eixample,41.3847346847,2.16130322949,Entire home/apt,146,2,11,2017-08-02,0.16,72,357
462,573626,Central flat with amazing views,2822336,Ruxy,Eixample,el Fort Pienc,41.3997036881,2.17458099453,Private room,45,3,3,2015-07-27,0.05,2,26
472,577917,"DESTINY - Quite, Bright and Centric",2919352,Daniel,Sants-Montjuïc,el Poble Sec,41.3732878266,2.16542626214,Entire home/apt,125,5,48,2017-08-28,0.71,1,128
482,590259,Beauitiful rooms in Barcelona enjoy,2463008,Selene,Sant Andreu,la Sagrera,41.4236952564,2.18580750063,Private room,27,3,41,2017-08-28,0.61,3,364
484,590662,Beautiul triple or double bedroom ,2463008,Selene,Sant Andreu,la Sagrera,41.4254816154,2.18745891603,Private room,20,3,21,2016-10-31,0.31,3,364
490,596966,Lovely Room in Center of Barcelona!,2951822,Luke,Eixample,Sant Antoni,41.3829171195,2.15979181677,Private room,25,1,5,2014-08-26,0.09,1,156
497,602550,In the heart of the best Barcelona,1006757,Fran,Eixample,la Dreta de l'Eixample,41.3964057884,2.16684337963,Private room,31,4,108,2017-09-28,1.8,2,0
501,610285,Stunning Rambla Catalunya 4 (HUTB-003417),136853,Lina,Eixample,la Dreta de l'Eixample,41.3897426461,2.16461649891,Entire home/apt,381,3,19,2017-10-23,0.42,32,240
502,610310,Magic Rambla Catalunya 5 (HUTB-003416),136853,Lina,Eixample,la Dreta de l'Eixample,41.3938586398,2.17036333096,Entire home/apt,458,3,16,2017-09-04,0.32,32,257
503,610444,CITY  CENTER BARCELONA 50MET. BEACH,3026821,Gabriele,Ciutat Vella,la Barceloneta,41.3791812873,2.19207268444,Entire home/apt,75,30,10,2018-01-02,0.15,1,14
534,641603,Great place in Barcelona!! Terrace!,1752496,Ruben,Gràcia,la Vila de Gràcia,41.4085475249,2.15758805611,Entire home/apt,80,2,264,2018-01-07,4.04,1,119
544,651425,5 MINUTS TO SAGRADA FAMILIA,3272733,Bruno,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4049431004,2.17008089464,Private room,35,3,15,2017-10-21,0.33,1,246
545,652033,Charming & peaceful retreat in CENTRAL location,3277021,Birgit,Eixample,Sant Antoni,41.3803458984,2.15736728291,Private room,33,3,77,2016-05-03,1.18,1,365
547,655071,FIRA BARCELONA View Montjuic 1,3243301,Harry,Sants-Montjuïc,la Marina de Port,41.3584232799,2.1437745591,Entire home/apt,80,1,54,2017-03-23,0.89,2,344
554,663478,Room in lovely mountain house,2296262,Nona,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.4131560183,2.11233124834,Private room,35,3,7,2017-10-20,0.21,2,316
567,672785,Cool flat in the center (Born area),855228,Matteo,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3864318505,2.18273949094,Entire home/apt,95,3,71,2017-08-21,1.09,1,19
588,684794,"Big room, with wifi, at Barcelona",3392559,Guillermo,Sant Martí,la Verneda i la Pau,41.4256361858,2.20357066458,Private room,20,2,34,2017-08-26,0.59,2,308
596,690639,"Single room, wifi, Barcelona city",3392559,Guillermo,Sant Martí,la Verneda i la Pau,41.4243155405,2.20357843006,Private room,20,2,1,2014-06-02,0.02,2,179
599,693456,Double bedroom perfect location,3544924,Johanna,Eixample,el Fort Pienc,41.3981439576,2.17653936022,Private room,30,2,13,2017-12-30,0.3,3,161
611,702098,Sagrada familia,3603785,Martha,Sant Martí,el Camp de l'Arpa del Clot,41.4090421869,2.18124305935,Entire home/apt,85,4,4,2017-05-27,0.17,1,361
613,705049,Impresionante 3 hab. Sant Pau,2579651,José Alejandro,Horta-Guinardó,el Guinardó,41.4175081199,2.17439366497,Entire home/apt,380,1,31,2017-10-12,1.4,2,360
620,713340,Fantástica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4044853851,2.1644898201,Private room,30,5,8,2017-08-31,0.44,2,364
621,713397,Piso en la fántastica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4052394058,2.16409239294,Private room,30,5,18,2017-10-12,0.32,2,364
646,730801,Apt: 2 BEDROOM + Huge TERRACE in Parlament Street!,3801068,Patricia & Lucrecia,Eixample,Sant Antoni,41.3771494761,2.16226801196,Entire home/apt,100,2,34,2017-09-05,0.56,1,267
647,731049,"Sunny Penhouse in Barcelona, Sants",3803356,Víctor,Sants-Montjuïc,Sants - Badal,41.3730446689,2.12801966895,Private room,27,4,8,2017-11-30,0.15,2,311
652,733830,"Quiet 3Bdr flat, Sagrada Familia",10704,Weflating,Eixample,la Sagrada Família,41.4046339733,2.175093605,Entire home/apt,83,32,1,2015-05-04,0.03,54,282
666,742365,find your place,3886873,Carolina,Eixample,la Dreta de l'Eixample,41.3971290889,2.17327773075,Private room,30,1,0,,,1,306
668,743110,Room center Barcelona,3892055,Aurora,Eixample,l'Antiga Esquerra de l'Eixample,41.3871865296,2.15551699327,Private room,25,1,0,,,1,314
680,753369,Habitación en Gràcia,2745269,David,Gràcia,la Vila de Gràcia,41.4086215,2.1588709293,Private room,22,2,0,,,2,365
681,756146,Red Room near Sagrada Familia,2196804,Monica,Sant Martí,el Camp de l'Arpa del Clot,41.4103963254,2.18219356087,Private room,12,3,0,,,3,226
684,756626,Green Room near Sagrada Familia,2196804,Monica,Sant Martí,el Camp de l'Arpa del Clot,41.4086943852,2.18229813093,Private room,28,2,2,2014-05-06,0.03,3,189
686,757818,ONLY FOR SINGLES,2528474,Nugz,Eixample,la Dreta de l'Eixample,41.3863211702,2.16503399623,Private room,21,1,47,2017-10-15,0.73,1,361
690,759016,B&B Triple room in-suite bathroom,3926247,Ady,Eixample,la Dreta de l'Eixample,41.3960881792,2.166044519,Private room,107,2,28,2016-03-10,0.44,9,365
691,759035,Double room city view,3926247,Ady,Eixample,la Dreta de l'Eixample,41.3971599148,2.16588890128,Private room,78,2,13,2016-09-20,0.2,9,365
