,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
3,20345,"2 Double rooms for 4 persons, WI-FI",76809,Mila,Nou Barris,Vilapicina i la Torre Llobeta,41.4294969777,2.18155786439,Private room,25,2,72,2018-06-17,0.73,1,345,erased
43,80004,Parc Montjuic,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.3718830582,2.1665608601,Entire home/apt,107,4,85,2018-06-27,0.98,1,72,erased
48,89790,Barcelona very central,488188,Pepote,Eixample,la Dreta de l'Eixample,41.3897565149,2.1767289631,Private room,90,5,21,2018-06-04,0.25,1,94,erased
52,101021,"Vista Real en suite, la Boheme chic",529756,Fabienne,Ciutat Vella,el Barri Gòtic,41.3803060383,2.17447166976,Entire home/apt,235,3,92,2018-06-25,1.11,2,196,erased
71,136043,Twin room (2 people only) in Quirky central flat,666414,Fiona,Sants-Montjuïc,el Poble Sec,41.3726039056,2.16670215581,Private room,60,2,65,2018-06-18,0.77,1,159,erased
74,141054,Great studio in the heart of Borne,686428,Sofia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3870909547,2.18111910462,Entire home/apt,60,4,271,2018-06-16,3.15,1,287,erased
75,142122,You clean Rambla Anarchist Hide,620454,Reinhard,Ciutat Vella,el Barri Gòtic,41.3797825774,2.17529407888,Entire home/apt,50,17,24,2018-06-12,0.28,1,141,erased
82,155872,Piso en Barcelona - Park Guell,749525,Esther,Horta-Guinardó,el Carmel,41.4213720198,2.15483754409,Entire home/apt,55,2,57,2018-04-05,0.79,1,197,erased
112,199794,Centric Double Room Private Bathroom - month  rent,440825,Teresa,Eixample,l'Antiga Esquerra de l'Eixample,41.3833626403,2.15853030527,Private room,35,1,68,2018-06-06,1.14,1,234,erased
113,200257,We are back: Apartment in the heart of Barceloneta,978773,Simone,Ciutat Vella,la Barceloneta,41.3821753682,2.18886455683,Entire home/apt,115,3,30,2017-09-09,0.41,1,324,erased
115,202219,COMFORT AND RELAX IN BARCELONA,552024,Daniela,Ciutat Vella,el Barri Gòtic,41.3826737158,2.1743156355,Private room,40,3,69,2018-05-17,0.85,1,223,erased
132,234109,Large. Light. INCREDIBLE views!,1201857,Jordan,Eixample,el Fort Pienc,41.3996431815,2.18258672861,Entire home/apt,119,3,32,2017-05-01,0.4,2,303,erased
137,239492,CozyRoom&Garden Priv.Bathroom AC,1255733,Antonia,Sants-Montjuïc,el Poble Sec,41.3702605211,2.16102720421,Private room,36,4,157,2018-06-18,1.95,2,42,erased
139,241614,A Room With A Tune In Ramblas Area,1184485,Nacho,Ciutat Vella,el Barri Gòtic,41.3790570932,2.17690306784,Private room,30,32,24,2018-06-14,0.3,1,282,erased
148,259852,Center - Double w A/C - FreeWiFi,1363244,David,Ciutat Vella,el Raval,41.3813166774,2.16377945748,Private room,45,3,59,2018-06-11,0.73,4,2,erased
180,283500,"Large Bohemian suite, Ibiza downtown",529756,Fabienne,Ciutat Vella,el Barri Gòtic,41.3809437923,2.17534656058,Entire home/apt,195,3,66,2018-06-03,0.92,2,228,erased
193,317720,Apartamento completamente independiente + terraza,1631358,Fabio Ariel,Eixample,la Sagrada Família,41.4073664002,2.17957484554,Entire home/apt,40,15,2,2017-09-01,0.11,1,0,erased
199,330199,Room in a loft with a patio with a lemon tree,1684667,Rocio,Sants-Montjuïc,Sants,41.3793194773,2.13810642071,Private room,48,3,1,2015-10-30,0.03,1,53,erased
214,346160,Colorful Room in centre - 1 person,1727648,Carmen,Eixample,la Nova Esquerra de l'Eixample,41.3820026656,2.15049404577,Private room,35,1,23,2016-11-01,0.37,1,338,erased
237,380433,"Share FUN Apartment in ""Gracia""LOOK AT THE PHOTOS.",1908520,Fernando,Gràcia,la Vila de Gràcia,41.4001501123,2.15826699855,Shared room,19,3,96,2018-07-08,3.31,1,1,erased
283,452763,Beautiul flat in Gracia  Nice room ,2105783,Elena,Gràcia,la Vila de Gràcia,41.4047277718,2.15721459722,Private room,13,20,15,2018-07-09,0.21,2,182,erased
294,468639,Big room with exit to sunny terrace,2325968,Sikerult,Sants-Montjuïc,Sants - Badal,41.3738375547,2.12810964212,Private room,33,12,102,2018-05-13,1.4,1,26,erased
313,486014,nice room Barcelona centre,2405609,Cristobal,Eixample,el Fort Pienc,41.4000339181,2.17750613467,Private room,40,2,4,2018-03-01,0.05,1,285,erased
326,501220,HABITACIÓN EXTERIOR EN BARCELONA,2473416,Marisol,Sant Martí,el Camp de l'Arpa del Clot,41.4108206473,2.18640006419,Private room,25,2,40,2018-06-26,0.56,1,351,erased
354,521605,Beautiful space city center. Born. Wifi Takeaway.,2565364,Monica,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3838165735,2.17994881369,Entire home/apt,80,1,470,2018-06-28,6.38,1,31,erased
369,537901,"COSY, SPACIOUS and CENTRAL.  BORN",2015360,Enrique,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3842650348,2.18033861269,Entire home/apt,129,7,42,2018-06-17,0.89,1,15,erased
405,574080,Comfortable GRACIA 2-1,1310304,Lluís,Gràcia,la Vila de Gràcia,41.3991793625,2.15960552743,Entire home/apt,83,3,3,2018-06-06,0.05,1,320,erased
420,586079,Amazing Apartment,1354071,Ogo & Sim,Eixample,la Nova Esquerra de l'Eixample,41.3799600583,2.15167635506,Entire home/apt,158,3,35,2017-03-08,0.49,2,0,erased
421,586082,Cozy Apartment on the Rocafort,1354071,Ogo & Sim,Eixample,la Nova Esquerra de l'Eixample,41.3820509672,2.15225347165,Entire home/apt,150,3,8,2017-05-01,0.34,2,0,erased
472,641603,Great place in Barcelona!! Terrace!,1752496,Ruben,Gràcia,la Vila de Gràcia,41.4085475249,2.15758805611,Entire home/apt,95,31,282,2018-05-27,4.0,1,333,erased
474,643995,Silent and confortable room,3221716,Anna,Sants-Montjuïc,la Bordeta,41.3686666752,2.1342265827,Private room,22,1,65,2018-06-19,2.7,2,5,erased
481,655071,FIRA BARCELONA View Montjuic 1,3243301,Harry,Sants-Montjuïc,la Marina de Port,41.3584232799,2.1437745591,Entire home/apt,80,1,54,2017-03-23,0.82,2,299,erased
499,671951,NEAR RAMBLA POBLENOU AND BEACH,82522,Meritxell,Sant Martí,el Poblenou,41.4049428088,2.19886920124,Private room,33,2,105,2018-06-25,4.07,2,299,erased
503,674461,"ROOM CENTRAL, IDEAL for CITY VISITORS",3424464,Ramon,Sants-Montjuïc,el Poble Sec,41.3747577003,2.16796542272,Private room,22,3,419,2018-05-31,5.88,3,70,erased
530,695631,Your Oasis in Barcelona´s Downtown,3560699,Abans,Ciutat Vella,el Barri Gòtic,41.3838514401,2.17304238592,Entire home/apt,80,10,89,2015-09-27,1.26,2,85,erased
531,696308,NOU RAMBLA  3 BEDROOM APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.3789030555,2.17385599679,Entire home/apt,185,3,61,2018-03-20,0.94,18,308,erased
533,697526,2 bed room with balcony and views,3573777,Nelly,Horta-Guinardó,Horta,41.4315403831,2.15778481521,Private room,36,1,0,,,4,202,erased
543,711658,"Big,nice apartment in centre with 2 portable a/c!",3534058,Bogi And Marçal,Ciutat Vella,el Raval,41.3810770492,2.16444572778,Entire home/apt,105,3,15,2018-04-02,0.31,1,199,erased
544,713340,Fantástica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4044853851,2.1644898201,Private room,30,5,8,2017-08-31,0.34,2,339,erased
545,713397,Piso en la fántastica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4052394058,2.16409239294,Private room,30,5,20,2018-05-19,0.33,2,283,erased
552,721464,31 Sicilia Apartment 4 bedrooms,3724467,Ana,Eixample,el Fort Pienc,41.3983360395,2.17643664226,Entire home/apt,999,3,0,,,12,73,erased
612,761338,BEAUTIFUL VIEWS OF THE CATEDRAL DEL MAR,3518596,Cecil,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3848847119,2.18031043726,Private room,55,1,120,2018-06-25,1.82,1,96,erased
614,763176,"ROOM CENTRIC, PERFECT for CITY VISITORS",3424464,Ramon,Sants-Montjuïc,el Poble Sec,41.3739176124,2.16836769012,Private room,24,4,389,2018-06-04,5.63,3,42,erased
624,773700,"2tnf CHARMING, IDEAL FOR TRAVELERS, LARGE WINDOWS!",3911721,Aurora,Sants-Montjuïc,el Poble Sec,41.3719423605,2.16645716083,Entire home/apt,90,1,2,2017-11-18,0.15,26,307,erased
679,838475,Flat next to Mobile World Congress  Fira Barcelona,4348181,Fiorella,Sants-Montjuïc,el Poble Sec,41.373620811,2.15586187876,Entire home/apt,70,4,12,2018-03-02,0.32,1,159,erased
692,845760,Twin Room near Ramblas,3541314,Yih,Ciutat Vella,el Barri Gòtic,41.3833788304,2.17646514293,Private room,48,2,42,2018-06-07,0.67,1,26,erased
731,865148,Grande I Apartment on Valencia St.,582060,Fernando,Eixample,la Dreta de l'Eixample,41.3990940599,2.17018903342,Entire home/apt,222,3,38,2018-06-20,0.6,23,321,erased
733,865309,Nice Cozy Apartment Valencia St. B,582060,Fernando,Eixample,la Dreta de l'Eixample,41.3972104557,2.16957729395,Entire home/apt,120,3,50,2018-06-24,0.85,23,312,erased
756,886418,Apartamento planta baja en Gràcia,4699362,Jordi,Gràcia,la Vila de Gràcia,41.4025077379,2.158209516,Entire home/apt,55,15,31,2018-06-13,0.48,1,253,erased
775,898460,Apartment by Park Guell,4382099,Paloma & Luiz,Gràcia,la Salut,41.4103441166,2.15054353791,Entire home/apt,68,10,1,2015-08-26,0.03,2,321,erased
776,898486,Amazing Apartment in the Center!!!!,729980,Soledad,Eixample,la Dreta de l'Eixample,41.3911256945,2.16340860112,Entire home/apt,80,1,199,2018-06-17,3.03,2,253,erased
796,922332,LUXURIOUS NEST•ANTIQUE PAINTINGS•SUNNY TERRACE •5★,4959266,Lux Apartments,Eixample,la Dreta de l'Eixample,41.3881987213,2.17097948973,Entire home/apt,129,2,56,2017-09-25,0.88,6,69,erased
807,929774,Sweet double room with private living (up to 4),4352041,Marta,Gràcia,la Vila de Gràcia,41.4043131467,2.15107517524,Private room,40,3,59,2018-07-04,4.47,2,220,erased
839,946213,The Zen Room in Sagrada Familia,2077920,Claudia,Eixample,la Sagrada Família,41.4074865253,2.17717004803,Private room,15,3,116,2017-09-26,1.81,3,156,erased
861,962115,Angla Boutique center apartment ! WiFi,1824192,Alex,Eixample,la Nova Esquerra de l'Eixample,41.382760899,2.15649240121,Entire home/apt,65,4,280,2018-07-02,4.34,1,261,erased
937,1018237,Room for 4 persons /shared bathroom.,3573777,Nelly,Horta-Guinardó,Horta,41.4317042482,2.15890310409,Private room,75,2,0,,,4,214,erased
959,1034761,OLYMPIC VILLAGE. CITY & BEACH,5695022,Rosario,Sant Martí,el Poblenou,41.3945280639,2.20111756721,Entire home/apt,120,1,25,2017-09-09,0.44,1,190,erased
974,1051555,Apartamentos Navas 2,5789146,Miguel,Sant Andreu,Navas,41.4144084384,2.18889408869,Entire home/apt,95,2,6,2018-01-15,0.28,1,323,erased
978,1057394,"Quiet, Centric perfect for families",3446677,Nuria,Eixample,la Dreta de l'Eixample,41.3918920966,2.17605408724,Entire home/apt,158,4,22,2018-06-22,0.35,2,299,erased
980,1060411,Bright and white double bedroom,2541323,Guillaume & Piermarco,Ciutat Vella,el Raval,41.3801984204,2.16933814819,Private room,55,2,19,2018-06-06,0.36,1,308,erased
1023,1099891,Nice bedroom near the beach!!,1430523,Nathalia,Sant Martí,el Poblenou,41.4028845444,2.20388138794,Private room,35,2,24,2018-06-03,1.06,2,284,erased
1026,1102197,FIRA BARCELONA View Montjuic 2,3243301,Harry,Sants-Montjuïc,la Marina de Port,41.357699454,2.14386044271,Entire home/apt,80,1,39,2017-09-30,0.71,2,294,erased
1047,1113493,DELUXE APT IN BARCELONA,6111318,Andrea,Sarrià-Sant Gervasi,el Putxet i el Farró,41.4083824267,2.14723834711,Private room,50,7,14,2018-07-01,0.39,1,30,erased
1054,1124365,TERRAZA Y SOL EN BARCELONA CENTRO!!,1906609,Ed,Ciutat Vella,el Barri Gòtic,41.3825852654,2.17624235689,Entire home/apt,96,10,7,2018-06-18,0.14,1,359,erased
1068,1144116,The Bamboo Room in Sagrada Familia,2077920,Claudia,Eixample,la Sagrada Família,41.4071792933,2.17796109995,Private room,15,3,147,2018-06-01,2.35,3,135,erased
1087,1159438,plaza de parking espaciosa,1645470,Dana,Eixample,la Sagrada Família,41.4079029993,2.17904959512,Private room,50,1,0,,,3,365,erased
