,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
63,118228,Design Flat in the very center,567180,Suite Home,Eixample,la Sagrada Família,41.405928028,2.17574725087,Entire home/apt,230,2,15,2017-02-19,0.18,11,6
67,126836,Cozy bedroom next to Old Harbor,615805,David,Ciutat Vella,el Barri Gòtic,41.3823509824,2.1792748106,Private room,47,5,77,2018-05-20,0.9,1,85
73,138055,Design Flat in the Very Center,567180,Suite Home,Eixample,la Sagrada Família,41.4076428793,2.17572915187,Entire home/apt,250,3,81,2017-07-08,0.96,11,170
96,183858,"Central, Bright & Beautiful room",180478,Carlos,Ciutat Vella,el Raval,41.3805890275,2.16882738711,Private room,55,3,118,2018-06-18,1.41,1,65
124,213581,Room Centric + Personal Dressing,1100014,Sol,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3881767062,2.17571017022,Private room,30,2,192,2018-06-25,2.45,3,296
126,216699,SUPER CENTRAL CUTE DOUBLE ROOM+TERRACE!,1118232,Fran,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3848417891,2.17795766821,Private room,42,3,274,2018-02-28,3.45,1,226
128,223755,Charming apartment w/wifi in Gracia,1986299,Clickandflat,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4101068812,2.16181746546,Entire home/apt,155,1,23,2018-06-06,0.39,20,107
130,229520,B&B Double ROOM with GARDEN :),1198748,Marta,Ciutat Vella,el Barri Gòtic,41.3849253279,2.17245439749,Private room,50,4,25,2015-06-01,0.31,2,317
132,234109,Large. Light. INCREDIBLE views!,1201857,Jordan,Eixample,el Fort Pienc,41.3996431815,2.18258672861,Entire home/apt,119,3,32,2017-05-01,0.4,2,303
135,237895,Lots of LIGHT & INCREDIBLE views!,1201857,Jordan,Eixample,el Fort Pienc,41.3989543378,2.18299820548,Private room,48,3,24,2017-07-20,0.3,2,340
155,265607,Sunny Spacious Sardenya free WiFi - HUTB-015374,1367370,Karen,Eixample,el Fort Pienc,41.3979466357,2.18134722379,Entire home/apt,175,3,39,2018-05-21,0.53,3,316
164,271259,Bright in the heart of the city,1419752,Flor,Ciutat Vella,el Raval,41.3858677601,2.16484510444,Private room,88,3,41,2018-04-29,0.52,1,87
251,403749,Comfortable Big 2room+shared bath-well connected,1645470,Dana,Sant Martí,el Clot,41.4131264731,2.18842495587,Private room,40,2,5,2018-04-22,0.07,3,307
281,451718,Apartment well connected in BCN,2243626,Gonzalo,Sants-Montjuïc,Sants,41.3751224153,2.13399336421,Entire home/apt,500,2,2,2013-09-13,0.03,1,365
283,452763,Beautiul flat in Gracia  Nice room ,2105783,Elena,Gràcia,la Vila de Gràcia,41.4047277718,2.15721459722,Private room,13,20,15,2018-07-09,0.21,2,182
294,468639,Big room with exit to sunny terrace,2325968,Sikerult,Sants-Montjuïc,Sants - Badal,41.3738375547,2.12810964212,Private room,33,12,102,2018-05-13,1.4,1,26
295,468912,lovely double bedroom in barcelona,1923383,Kenneth,Gràcia,la Vila de Gràcia,41.396693536,2.15622825853,Private room,35,2,30,2018-06-24,2.24,1,304
313,486014,nice room Barcelona centre,2405609,Cristobal,Eixample,el Fort Pienc,41.4000339181,2.17750613467,Private room,40,2,4,2018-03-01,0.05,1,285
375,546165,Private suite & bathroom in trendy Poblenou,2685251,Leila,Sant Martí,el Poblenou,41.400103397,2.19868710989,Private room,65,3,51,2018-06-03,0.7,1,27
383,558235,Renting small cozy room in Gracia,2745269,David,Gràcia,la Vila de Gràcia,41.4095592719,2.15706086763,Private room,20,2,30,2018-04-06,0.42,2,362
389,562020,RENT MONTH  FANTASTIC APARTMEN MINIMUM 32 NIGTHS,368317,Nacharosa,Ciutat Vella,el Raval,41.3823989232,2.16541734964,Entire home/apt,45,1,3,2016-04-23,0.06,1,365
395,566869,!!YOU WILL ALWAYS LOVE THIS PLACE¡¡,2788133,Adriano,Sants-Montjuïc,el Poble Sec,41.3712485724,2.16278429534,Entire home/apt,55,5,226,2018-06-22,3.09,1,177
425,590032,Chambre centrique/plage Barcelona,2546413,Franck,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3842999573,2.17989498437,Private room,37,1,33,2018-06-17,0.52,2,296
