,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10,23197,"FORUM APARTMENT,5 MINS WALK TO CCIB CENTER & SEA!!",90417,Etain,Sant Martí,el Besòs i el Maresme,41.4143996368,2.22337268872,Entire home/apt,200,3,25,2017-10-05,0.3,1,319
45,73481,NOU RAMBLA CENTRAL STUDIO,383697,Anna,Ciutat Vella,el Raval,41.3789527583,2.17405999506,Entire home/apt,95,3,84,2018-01-14,2.49,18,340
68,108215,Big Room 4 rent in BCN Downtown 1/2,559889,Zesare,Ciutat Vella,el Raval,41.381019122,2.16542013446,Private room,40,2,49,2017-09-26,0.74,3,169
92,139912,RENT A DOUBLE ROOM NEAR PARC GUELL ,682094,Noemi,Horta-Guinardó,el Baix Guinardó,41.4123916849,2.16409733378,Private room,15,3,1,2011-08-04,0.01,1,365
102,154281,"Nice bedroom in a Loft, El Raval",742068,R&M,Ciutat Vella,el Raval,41.3779935602,2.17280711917,Private room,50,3,215,2017-11-19,2.8,2,156
109,164456,Bedroom+pvt bathroom+pvt living,784341,Paola,Ciutat Vella,el Barri Gòtic,41.3834050426,2.17256758063,Private room,50,4,86,2016-11-17,1.13,3,77
116,180293,Ally`s Guest House Barcelona,863772,Graciela,Eixample,la Dreta de l'Eixample,41.3984718358,2.16452135652,Private room,50,2,1,2012-05-05,0.01,1,295
153,228660,Room downtown,1193521,Vicente,Ciutat Vella,el Raval,41.3804651896,2.16797971444,Private room,30,3,35,2017-07-02,0.46,1,365
155,233739,Bright bedroom & private bathroom,1224008,Sergio,Sants-Montjuïc,Sants - Badal,41.3746637782,2.13028536676,Private room,40,3,79,2017-08-18,1.12,1,365
173,256973,"Lovely wooden boat in Port Forum 2 bikes, AC",1332589,Jere,Sant Martí,el Besòs i el Maresme,41.4140167293,2.22833240437,Entire home/apt,65,2,84,2018-01-01,1.9,4,211
222,299967,Dbl room - Center apartment w/ private terrace,1545691,Mateus And Chloe,Eixample,la Sagrada Família,41.407385892,2.17101613138,Private room,80,5,12,2017-03-05,0.36,2,263
259,352978,Milliways Modern 1BR 209,1435464,Jaume,Sants-Montjuïc,la Marina de Port,41.3611180205,2.12842340428,Entire home/apt,85,4,3,2014-08-25,0.07,20,343
261,356065,Cozy Flat in the Best Location,1387640,Mila,Eixample,Sant Antoni,41.3833324923,2.16217349387,Entire home/apt,110,3,8,2016-05-25,0.11,1,0
263,357958,Private terrace and bathroom & WiFi,1809119,Katja,Eixample,l'Antiga Esquerra de l'Eixample,41.3873618549,2.15546816014,Private room,48,3,85,2017-09-27,1.43,1,178
277,377246,Apartment privat garden & pool BCN,1896085,Pat,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.4321845761,2.10002095059,Entire home/apt,100,3,56,2018-01-05,1.0,1,246
297,411779,Bright duplex in front of the parc,2049693,Maria Eugenia,Sant Martí,la Vila Olímpica del Poblenou,41.3918027851,2.18982402606,Entire home/apt,180,4,39,2017-12-11,0.58,1,21
328,452763,Beautiul flat in Gracia  Nice room ,2105783,Elena,Gràcia,la Vila de Gràcia,41.4047277718,2.15721459722,Private room,14,20,12,2017-09-17,0.19,2,26
333,457411,quality & charm in the coolest area,2273599,Susana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383796775,2.18334218849,Entire home/apt,90,4,186,2017-11-27,2.76,1,235
340,465153,ROOM+RAMBLAS+RAVAL,652775,Ryc,Ciutat Vella,el Raval,41.3840355675,2.16561776324,Private room,25,1,255,2018-01-11,3.71,1,335
381,507074,Lovely & Sunny apartment in Center ,2042948,Lucia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3863857019,2.18357846716,Private room,40,2,270,2018-01-13,4.01,1,88
419,535175,double room in gotic city center (2,2310276,Alicia,Ciutat Vella,el Barri Gòtic,41.3816629535,2.17722041941,Private room,35,3,36,2016-10-03,0.53,1,365
487,582721,Eixample experience,2870125,Roberto,Eixample,l'Antiga Esquerra de l'Eixample,41.391456932,2.15241765022,Private room,40,1,185,2018-01-02,2.77,1,91
518,610444,CITY  CENTER BARCELONA 50MET. BEACH,3026821,Gabriele,Ciutat Vella,la Barceloneta,41.3791812873,2.19207268444,Entire home/apt,65,9,10,2018-01-02,0.15,1,33
546,640130,Agradable Habitacion,3196093,Cirleia  E Cirlene,Eixample,la Nova Esquerra de l'Eixample,41.3790560029,2.1491359754,Private room,38,2,3,2017-06-30,0.06,4,169
547,640268,**Nice  and relax Couple Room** ,3196093,Cirleia  E Cirlene,Eixample,la Nova Esquerra de l'Eixample,41.3808229944,2.1524587809,Private room,38,2,4,2016-05-18,0.06,4,169
611,694516,Room in a apartment with terrace,3019128,Roser,Horta-Guinardó,la Font d'en Fargues,41.4263531379,2.16875764417,Private room,25,2,11,2017-08-27,0.17,1,286
613,696301,Fantastic rooms in center of Bcn!,3565553,José Luis,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3885721882,2.17651605992,Private room,32,1,21,2017-06-21,0.32,1,365
675,739407,Apartment 3 rooms near Camp Nou,3867104,Frank,Sants-Montjuïc,Sants - Badal,41.3707662139,2.12346349498,Entire home/apt,95,5,48,2017-09-28,0.76,1,126
690,749328,Room with Private Bathroom,3937856,Marisol,Sants-Montjuïc,Sants - Badal,41.3684208207,2.12462464375,Private room,30,1,17,2017-08-13,0.3,1,329
698,757818,ONLY FOR SINGLES,2528474,Nugz,Eixample,la Dreta de l'Eixample,41.3863211702,2.16503399623,Private room,21,1,47,2017-10-15,0.74,1,365
716,764290,B&W Room near Sagrada Familia,2196804,Monica,Sant Martí,el Camp de l'Arpa del Clot,41.4091060259,2.18369136188,Private room,25,3,0,,,1,228
718,764811,ROMANTIC STUDIO IN BIG APARTMENT,3548189,Sophie,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3841415038,2.18278376759,Private room,49,4,59,2017-10-30,0.97,1,27
747,790475,"(P1) Cozy apart, Gracia LA PEDRERA",3885805,Ana,Gràcia,la Vila de Gràcia,41.3987196722,2.15855300731,Entire home/apt,60,3,95,2017-12-18,1.53,4,342
755,799978,Beautiful apartment Sagrada Familia,4126257,Vincenzo,Eixample,la Sagrada Família,41.405927388,2.17275590826,Entire home/apt,60,3,34,2017-11-27,0.67,6,106
766,806976,nice flat to rent,1607769,Chris,Eixample,l'Antiga Esquerra de l'Eixample,41.3840712762,2.15619358476,Entire home/apt,82,3,26,2017-09-11,0.63,1,80
780,821139,Magic Boat Barcelona! Sleep here!,4309997,Pere,Sant Martí,el Besòs i el Maresme,41.4099618143,2.2292155549,Entire home/apt,100,2,82,2017-09-18,1.45,1,50
785,825618,"Junto   FIRA GRAN VIA, Mobile World Congress",4331939,Paquita,Sants-Montjuïc,la Marina de Port,41.3616667671,2.12901782595,Entire home/apt,100,4,6,2017-08-24,0.23,2,10
787,829293,Cool terrace flat in front of MWC!,4136900,Maria,Sants-Montjuïc,la Bordeta,41.3622689402,2.12880324673,Entire home/apt,98,2,9,2015-09-09,0.19,1,350
795,837685,Great for 6 persons with Terrace,4377726,Susana,Les Corts,Pedralbes,41.3830097606,2.09990763503,Entire home/apt,110,3,59,2018-01-03,1.3,3,146
797,838318,"Nice, quiet and relaxing",4377726,Susana,Les Corts,Pedralbes,41.383821938,2.10230551132,Entire home/apt,105,3,74,2017-11-12,1.21,3,253
799,839655,CENTRAL APARTMENT IN BARCELONA,1869452,Cristina,Eixample,Sant Antoni,41.3761192929,2.16398187077,Entire home/apt,80,2,34,2017-12-24,0.57,1,203
803,840556,Stunning Penthouse 145 sqm Loft,4389772,Manel,Sant Martí,el Parc i la Llacuna del Poblenou,41.3965467367,2.19196581967,Entire home/apt,45,4,31,2017-10-01,0.55,2,139
846,862640,Room in l'Eixample - Barcelona,4187032,Felipe,Eixample,l'Antiga Esquerra de l'Eixample,41.3887435357,2.16107008778,Private room,25,1,16,2014-01-23,0.28,1,0
851,865309,Nice Cozy Apartment Valencia St. B,582060,Fernando,Eixample,la Dreta de l'Eixample,41.3972104557,2.16957729395,Entire home/apt,115,3,45,2017-11-12,0.85,23,336
966,949174,Beautiful room in the right center,3942088,Dusai,Ciutat Vella,el Barri Gòtic,41.380728717,2.17692098925,Private room,35,2,20,2016-10-31,0.34,2,357
979,958946,comfortable central 2-5 p apartment,5020114,Marc,Eixample,Sant Antoni,41.3793310715,2.16105528785,Entire home/apt,185,5,78,2017-10-13,1.36,4,307
1003,971985,Céntrica y tranquila,1358031,Lucía,Eixample,la Dreta de l'Eixample,41.3929549037,2.16817352013,Private room,30,1,0,,,1,154
1021,981678,nice apartments close to Fira 2,4331939,Paquita,Sants-Montjuïc,la Marina de Port,41.3612679742,2.12871173983,Entire home/apt,95,2,27,2018-01-01,0.53,2,157
1063,1010405,SUNNY TERRACE CITY CENTER,5558536,Rosa,Eixample,Sant Antoni,41.3753927839,2.15125388539,Entire home/apt,89,3,177,2018-01-08,3.53,1,244
1074,1017961,Diagonal mar Beach Front Penthouse,5602073,Gustavo,Sant Martí,el Besòs i el Maresme,41.4159252399,2.22249007112,Entire home/apt,100,3,88,2018-01-01,1.58,1,162
1100,1034761,OLYMPIC VILLAGE. CITY & BEACH,5695022,Rosario,Sant Martí,el Poblenou,41.3945280639,2.20111756721,Entire home/apt,120,1,25,2017-09-09,0.5,1,47
1134,1072256,Central Spacious COMFY Room _BCN 4U,2938552,Tal,Sants-Montjuïc,el Poble Sec,41.3737991462,2.15589472754,Private room,46,7,35,2017-01-02,0.83,2,0
1143,1080278,Enjoy Nice Flat / Gracia,4040250,Andrea,Gràcia,la Vila de Gràcia,41.4054704813,2.15465313027,Entire home/apt,100,3,1,2016-02-29,0.04,1,35
1144,1081839,Tamarit Standard (2 bedrooms),5949269,Tamarit,Eixample,Sant Antoni,41.3802152755,2.16298289977,Entire home/apt,139,2,1,2018-01-02,1.0,12,67
1170,1102069,Downtown apartment with character,3942088,Dusai,Ciutat Vella,el Barri Gòtic,41.3826662573,2.17724048495,Private room,60,1,83,2017-07-18,1.57,2,83
1190,1111418,Eixample Free III For 6 Travellers!,6099660,Barcelona Bedroom,Eixample,l'Antiga Esquerra de l'Eixample,41.3921795334,2.15163768678,Entire home/apt,70,1,18,2017-12-28,0.52,51,322
1256,1186442,Barcelona Comtal 21 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.376671609,2.16263650854,Entire home/apt,115,3,9,2017-08-27,0.2,11,343
1257,1186506,Barcelona Comtal 22 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.3768361895,2.16061121349,Entire home/apt,115,3,22,2017-09-24,0.48,11,348
1258,1186521,Barcelona Comtal 41 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.3768418444,2.16262004947,Entire home/apt,110,3,17,2017-11-13,0.38,11,354
1259,1186539,Barcelona Comtal 42 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.3769894637,2.16298060525,Entire home/apt,105,3,22,2017-10-29,0.48,11,365
1260,1186559,Barcelona Comtal 43 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.3763867873,2.16137117899,Entire home/apt,105,3,7,2015-10-30,0.16,11,362
1322,1218611,Barcelona Comtal 51 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.3781332605,2.16250890675,Entire home/apt,105,3,26,2017-10-18,0.8,11,316
1323,1218618,Barcelona Comtal 52 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.3778585329,2.16078550733,Entire home/apt,105,3,11,2017-10-23,0.24,11,357
1324,1218626,Barcelona Comtal 53 apartment,6436558,Inmuebles,Eixample,Sant Antoni,41.3765558772,2.16074900948,Entire home/apt,105,3,2,2017-06-06,,11,347
1328,1222415,Cozy Room in Parc Guell,6251419,Donato,Gràcia,la Salut,41.4102654805,2.14864037431,Private room,16,2,57,2017-09-17,1.02,2,359
1338,1231483,Barcelona Blanc apartment,6436558,Inmuebles,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.4004524479,2.1511693341,Entire home/apt,120,3,31,2018-01-07,0.67,11,344
1391,1267841,Useful flat in Barcelona,6900901,Ruth,Sants-Montjuïc,Sants - Badal,41.3724916263,2.12356704307,Entire home/apt,75,2,46,2017-10-31,1.02,1,341
1418,1280509,Central flat with incredible views,2822336,Ruxy,Eixample,el Fort Pienc,41.3998091618,2.1752517387,Private room,40,3,4,2017-03-08,0.09,2,258
1465,1322404,Nice app in Raval District of BCN,7178611,Ana,Ciutat Vella,el Raval,41.378506725,2.16992320135,Entire home/apt,85,2,75,2017-11-03,1.38,2,344
1467,1322489,WIFI&TERRACE!  BARÇA STADIUM APT D,4269183,Alba,Les Corts,la Maternitat i Sant Ramon,41.3769312158,2.12146966972,Entire home/apt,50,2,208,2018-01-10,3.85,9,238
1470,1323194,piso exterior Barcelona. Centrico,7177774,Halldor Mar,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3993945004,2.1475515016,Entire home/apt,75,3,16,2017-09-01,0.38,1,322
1513,1358932,Sunny rooftop flat with terrace,3888820,Rory,Sants-Montjuïc,el Poble Sec,41.3704295857,2.16074291874,Entire home/apt,250,2,19,2016-09-18,0.56,1,0
1517,1362147,Beautiful and spacious flat in the city centre.,7394462,Jorge And Lauren,Ciutat Vella,el Raval,41.376834199,2.16903322638,Entire home/apt,180,5,10,2017-08-22,0.18,1,16
1527,1376484,Apartment Sagrada Familia,4126257,Vincenzo,Eixample,la Sagrada Família,41.407162011,2.17125318922,Entire home/apt,60,3,23,2017-12-10,0.51,6,121
1605,1455645,"habitacion en barcelona:""Napoli""",7555617,Egisto,Ciutat Vella,el Raval,41.3796395549,2.16598765815,Private room,50,2,14,2017-09-22,0.26,1,334
1611,1460329,Room in a renewed apartment. Next to metro station,5386133,Marc,Sants-Montjuïc,Sants,41.3753408842,2.13424915895,Private room,15,5,8,2015-09-01,0.18,1,180
1642,1493025,Cozy loft with courtyard,1527960,Pere,Sant Martí,el Camp de l'Arpa del Clot,41.4136125115,2.18313304228,Entire home/apt,80,7,77,2018-01-03,1.49,2,11
1680,1565292,Luxury Barcelona stay with silence and Air Conditi,3459017,Alberto,Ciutat Vella,el Barri Gòtic,41.3819436154,2.17826482944,Private room,24,2,168,2017-10-23,3.17,5,50
1682,1568017,sunny safe modern 2 b/b diagonal,8339970,Luis,Les Corts,les Corts,41.3877500221,2.13615989924,Entire home/apt,90,7,4,2017-10-13,0.08,1,307
1683,1568665,Two private rooms in BCN Center - Parking - Metro,7640278,Marta,Eixample,la Nova Esquerra de l'Eixample,41.3831112564,2.15703998972,Private room,30,1,0,,,2,128
1685,1573287,Cozy flat CAMP NOU WiFi & Parking,2901960,Raquel,Les Corts,la Maternitat i Sant Ramon,41.3731814656,2.11687801836,Entire home/apt,49,6,113,2018-01-12,2.19,1,130
1706,1602999,"Modern Loft @pl. Espanya, 120 sq.m.",2594091,Andrey,Eixample,Sant Antoni,41.3759542255,2.15464357105,Entire home/apt,85,2,1,2014-10-11,0.03,1,0
1708,1604145,double room in borne,8546697,María,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3874792448,2.17966201617,Private room,28,4,114,2018-01-06,2.74,1,329
1718,1613942,Spacious Flat Close to Ramblas,2083075,Hernan Pablo,Eixample,la Dreta de l'Eixample,41.3924988479,2.16151431596,Entire home/apt,200,3,155,2017-12-22,2.95,3,47
1751,1675895,OFFRE SPECIALE  - Location semaine,8867556,Ludovic,Ciutat Vella,el Raval,41.3791201529,2.17032109552,Entire home/apt,57,1,133,2017-10-05,2.82,1,109
1762,1686975,Montjuich apartment,6436558,Inmuebles,Sants-Montjuïc,el Poble Sec,41.3722487725,2.16203324968,Entire home/apt,115,3,42,2018-01-02,0.89,11,365
1772,1711952,Double room in Born very sunny and quiet,9029724,Max,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3897400923,2.18156167337,Private room,30,2,7,2016-10-17,0.23,1,224
1790,1730681,MAXIMUS Apartment,2741652,Rodrigo,Eixample,l'Antiga Esquerra de l'Eixample,41.389855028,2.15665401688,Entire home/apt,400,2,5,2014-07-07,0.1,3,5
1805,1754895,ROOM WITH LOFT AND AMAZING TERRACE NEAR THE SEE,507808,Lola,Sant Martí,el Poblenou,41.3988734055,2.1949533881,Private room,70,5,33,2017-08-22,0.73,1,169
1806,1755167,BARÇA ECONOMIC APARTMENT - ADSL,8964574,Lourdes,Les Corts,la Maternitat i Sant Ramon,41.3747052162,2.11026025579,Entire home/apt,50,3,5,2017-03-21,0.15,5,336
1840,1819306,Single room / nice & sunny flat,9526689,Angelo,Eixample,el Fort Pienc,41.3962618009,2.18140192414,Private room,25,1,0,,,1,0
1854,1830372,Nice studio in 150 m from Camp Nou,9547606,Miyya,Sants-Montjuïc,Sants - Badal,41.3781177393,2.1292725478,Entire home/apt,39,1,122,2018-01-01,2.56,9,310
1858,1838068,Studio/Room/independent/private bathroom/Kitchen,4377726,Susana,Les Corts,Pedralbes,41.3846182521,2.10196791967,Entire home/apt,45,3,101,2018-01-04,2.18,3,242
1863,1842704,SUPER COOL ROOM CENTER BARCELONA,9212889,Abdel,Eixample,la Nova Esquerra de l'Eixample,41.3811081498,2.15422488567,Private room,30,3,90,2017-06-13,1.97,2,128
1882,1880690,Two Double Bedrooms near Sagrada Familia,6830217,René,Eixample,el Fort Pienc,41.4012208822,2.18548184906,Entire home/apt,79,3,4,2016-08-27,0.08,2,129
1950,1987751,Wide room near the beach,10252018,Ariadna,Sant Martí,el Poblenou,41.3985326913,2.19608790679,Private room,19,2,100,2017-10-21,2.22,2,230
