id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11368,CENTER. Nice attic with big TERRACE,42188,Paola,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.387506770736394,2.1786078619522757,Entire home/apt,100,33,40,2018-07-16,0.45,1,290
18666,Flat with Sunny Terrace,71615,Mireia And Maria,Sant Martí,el Camp de l'Arpa del Clot,41.40888621158034,2.1855453256058017,Entire home/apt,130,3,1,2015-10-10,0.03,34,61
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.404196784819064,2.1730577177402504,Entire home/apt,130,1,5,2018-06-18,0.08,34,166
19157,"Great Place in Sagrada Familia, Bcn",73099,Urania,Eixample,la Sagrada Família,41.40792900826702,2.1745404013370675,Private room,32,2,173,2018-07-30,1.78,2,28
21605,Nice and sunny duble room,82522,Meritxell,Sant Martí,el Poblenou,41.4056041572247,2.19820512273065,Private room,33,2,87,2018-07-29,3.15,2,323
25786,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,108310,Pedro,Gràcia,la Vila de Gràcia,41.40145195404779,2.156446514416526,Private room,42,1,201,2018-08-12,2.06,1,67
31377,"Room for 2,  Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.41096940955444,2.1707012064871583,Private room,42,3,4,2018-03-12,0.10,3,191
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.410900426326464,2.1708189126808017,Private room,53,3,38,2018-04-04,0.99,3,204
31823,"Aribau, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.387305807180255,2.159071821611301,Entire home/apt,75,1,55,2018-07-13,0.57,36,324
31958,"Gaudi Attic 1, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40949767562464,2.1593760044263988,Entire home/apt,65,1,144,2018-07-29,1.58,36,308
32471,"Gaudi Attic 2, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.409282448808995,2.1611176368188154,Entire home/apt,95,1,66,2018-07-30,0.71,36,339
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.404635812260686,2.169537931472452,Entire home/apt,140,2,43,2018-07-13,0.50,12,334
32868,"Sant Joan 4, Friendly Rentals",136853,Fidelio,Eixample,la Dreta de l'Eixample,41.395757583681075,2.1743191844527967,Entire home/apt,100,1,90,2018-07-22,0.94,36,304
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.3791695359138,2.1755459205559347,Entire home/apt,337,5,119,2018-08-04,1.24,1,240
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390292371929434,2.1526776655400943,Private room,40,2,190,2018-08-12,2.43,4,291
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390584087316824,2.151896791679498,Private room,30,2,165,2018-07-23,1.88,4,301
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39146706179137,2.1511848274650394,Private room,30,2,157,2018-08-06,2.06,4,316
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39075231772431,2.1507170864108045,Private room,45,2,129,2018-08-11,2.71,4,302
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906404797985,2.191414374177489,Private room,38,2,48,2018-07-12,0.57,1,348
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39559668113324,2.167606582682667,Entire home/apt,95,3,97,2018-07-20,1.11,5,99
44868,Center of Barcelona,197737,Ushma,Ciutat Vella,el Raval,41.38144910594339,2.166924773426643,Entire home/apt,82,5,88,2018-07-28,0.91,2,309
45682,HUGE APARTMENT IN SAGRADA FAMILIA,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40470596794909,2.170120076942332,Entire home/apt,180,3,63,2018-07-28,0.92,1,0
46153,"SANTA CATERINA, APARTMENT, GREAT LOCATION !!!",90417,Etain,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776152188562,2.1778245041531954,Entire home/apt,45,180,1,2011-01-04,0.01,1,318
49213,"Descalzos en el parque, relax  cool room",208154,Cate,Sants-Montjuïc,el Poble Sec,41.373151109271184,2.1664006033038836,Private room,35,2,35,2018-07-28,0.58,1,121
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40630655659375,2.1694475567849967,Entire home/apt,140,2,29,2018-03-29,0.34,12,331
50066,Sagrada Familia area - Sardenya 1,135703,Nick,Eixample,el Fort Pienc,41.39820673239579,2.1796556814819024,Entire home/apt,180,2,44,2018-05-07,0.51,12,266
58512,Cozy 3 BR near St Pau Hospital & Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.410990047567786,2.1811883117959634,Entire home/apt,105,3,335,2018-07-30,3.74,1,262
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3890083942644,2.1655162637312255,Entire home/apt,105,2,35,2018-07-22,0.58,5,285
66037,Great apartment in  en el Born,323105,Amivelaz,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38322098271626,2.182339750582178,Entire home/apt,150,3,82,2018-07-25,0.90,1,294
67065,"Londres, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.39161026378198,2.150890219232701,Entire home/apt,85,1,49,2018-07-27,0.57,36,326
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.38071988862891,2.1781089116350247,Private room,47,2,58,2018-07-15,0.65,1,365
70099,"Room with a View, Bcn City Center",353987,Alex,Ciutat Vella,el Raval,41.378284332844,2.1708049698328726,Private room,44,1,261,2018-08-13,2.86,1,270
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41836809465224,2.134191605761801,Entire home/apt,250,7,1,2011-06-23,0.01,1,245
71553,PH on Sagrada Familia with terrace!,366654,Arian Watermelon Barcelona!,Eixample,el Fort Pienc,41.39740375606598,2.1768202149260754,Entire home/apt,110,2,45,2018-07-12,0.50,9,305
