,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
46,83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.3822728372,2.16140985656,Private room,50,2,81,2018-05-07,0.93,4,304
49,89790,Barcelona very central,488188,Pepote,Eixample,la Dreta de l'Eixample,41.3897565149,2.1767289631,Private room,90,5,21,2018-06-04,0.25,1,66
77,144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.3822551828,2.15898219226,Private room,50,2,33,2018-03-04,0.39,4,311
87,164456,Bedroom+pvt bathroom+pvt living,784341,Paola,Ciutat Vella,el Barri Gòtic,41.3834050426,2.17256758063,Private room,60,12,86,2016-11-17,1.07,2,261
89,171816,Sagrada Familia Clot Vista,400154,Mireia,Sant Martí,el Camp de l'Arpa del Clot,41.4082785672,2.18622146801,Entire home/apt,115,3,1,2013-04-27,0.02,5,39
117,200400,Great double room,979782,Laura,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3847722295,2.18357599314,Private room,45,1,1,2016-09-25,0.05,2,364
125,209988,APART.FOR 8 pers.-NEAR OFESTATI,1035045,Montserrat,Sant Andreu,Sant Andreu,41.4431643492,2.18790748238,Entire home/apt,80,3,9,2018-05-13,0.3,7,351
134,234621,"City Center, next 2 Sagrada Familia",1228784,Ana,Eixample,la Sagrada Família,41.4029450852,2.17924499647,Entire home/apt,99,2,73,2017-10-08,0.93,5,339
152,264621,Amore Aragon free WiFi- HUTB 007051,1367370,Karen,Eixample,la Dreta de l'Eixample,41.3969963537,2.17229341282,Entire home/apt,199,3,39,2018-05-04,0.49,2,283
198,330199,Room in a loft with a patio with a lemon tree,1684667,Rocio,Sants-Montjuïc,Sants,41.3793194773,2.13810642071,Private room,50,3,1,2015-10-30,0.03,2,57
225,363739,small single/double room in Barcelo,1837622,Idoya,Sants-Montjuïc,la Bordeta,41.3696101904,2.13847389314,Private room,40,2,44,2017-07-19,0.68,1,12
235,379850,Piso muy luminoso cerca del mar,1228784,Ana,Sant Martí,Provençals del Poblenou,41.4095854573,2.20821964602,Entire home/apt,150,1,6,2017-06-04,0.08,5,365
253,408599,Charming 3bedroom flat with balcony,2034854,Roger,Sants-Montjuïc,el Poble Sec,41.374496633,2.15830029709,Entire home/apt,75,1,244,2018-05-25,3.25,1,317
273,440996,Apartamento Céntrico en Barcelona,777327,Diego,Sants-Montjuïc,Hostafrancs,41.3757396307,2.14356774058,Entire home/apt,95,3,9,2017-10-10,0.12,1,255
288,457411,quality & charm in the coolest area,2273599,Susana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383796775,2.18334218849,Private room,90,4,195,2018-05-11,2.7,1,175
335,511739,sf41 NEW 2 BDR FLAT SAGRADA FAMILIA,1447144,Jaesse,Eixample,la Sagrada Família,41.402379577,2.17082110317,Entire home/apt,100,2,4,2014-10-22,0.06,46,365
351,519494,CHARMING HOUSE IN BCN NEAR BEACH,2556699,Ernest,Sant Martí,la Vila Olímpica del Poblenou,41.3928438759,2.1943387225,Entire home/apt,189,4,5,2013-08-21,0.07,2,337
352,519566,Comfy double room Barcelona Center,1206797,Juan Miguel,Ciutat Vella,el Barri Gòtic,41.3811035695,2.17890933711,Private room,40,2,31,2017-10-03,0.43,2,253
370,537901,"COSY, SPACIOUS and CENTRAL.  BORN",2015360,Enrique,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3842650348,2.18033861269,Entire home/apt,129,2,41,2017-09-01,0.89,1,19
468,641603,Great place in Barcelona!! Terrace!,1752496,Ruben,Gràcia,la Vila de Gràcia,41.4085475249,2.15758805611,Entire home/apt,95,31,282,2018-05-27,4.06,1,309
475,650160,"A Cosy Home in Old Town, Private WC/Bathroom!",3264890,Martin,Ciutat Vella,el Barri Gòtic,41.3827774524,2.17298540088,Private room,38,26,31,2017-08-31,0.5,1,36
478,655071,FIRA BARCELONA View Montjuic 1,3243301,Harry,Sants-Montjuïc,la Marina de Port,41.3584232799,2.1437745591,Entire home/apt,80,1,54,2017-03-23,0.84,2,326
516,688295,Nice and calm room,3109259,Milian,Nou Barris,el Turó de la Peira,41.4332003841,2.17230626082,Private room,35,1,1,2017-08-07,0.1,2,7
535,705049,Impresionante 3 hab. Sant Pau,2579651,José Alejandro,Horta-Guinardó,el Guinardó,41.4175081199,2.17439366497,Entire home/apt,380,1,34,2018-04-15,1.3,3,362
538,713340,Fantástica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4044853851,2.1644898201,Private room,30,5,8,2017-08-31,0.36,2,308
539,713397,Piso en la fántastica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4052394058,2.16409239294,Private room,30,5,20,2018-05-19,0.33,2,252
629,787218,  apartamento Sagrada Familia Gaudí,4149600,Loiro,Eixample,la Sagrada Família,41.4023195383,2.17417158104,Entire home/apt,90,2,88,2018-06-05,1.44,2,302
641,798681,gran apartamento centrico y luminos,1228784,Ana,Les Corts,Pedralbes,41.3934751325,2.11242026432,Entire home/apt,75,1,9,2017-05-24,0.14,5,361
661,817563,Cozy penthouse w/ terrasse and view,4294290,Romain,Gràcia,la Vila de Gràcia,41.404241599,2.15222384781,Entire home/apt,140,2,0,,,1,9
689,846223,Double bedroom in charming flat,4418576,Daniela,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4024995586,2.1659465757,Private room,65,2,38,2016-10-19,0.76,1,125
743,879524,Ramblas Central 2 Bedroom apartment,383697,Anna,Ciutat Vella,el Raval,41.3855915127,2.16735130779,Entire home/apt,100,3,7,2016-10-09,0.15,19,316
807,935921,"BIG room, close to the beach and city center",4047624,Van,Sant Martí,el Parc i la Llacuna del Poblenou,41.3971861088,2.1904468383,Private room,60,1,8,2017-08-23,0.14,3,301
823,939692,APARTMENT BARCELONA near BEACH,1298586,Kristjan Y Ana,Sant Martí,el Poblenou,41.4000991152,2.20074687507,Entire home/apt,90,2,42,2018-05-27,0.69,7,169
856,962167,Double room terrace BCN city center,2556924,Hissora,Ciutat Vella,el Raval,41.3812575996,2.17134202984,Private room,60,6,11,2014-06-22,0.17,1,233
870,971896,VILLA OLÍMPICA TERRACE/PENTHOUSE2,2142963,Igor,Sant Martí,el Parc i la Llacuna del Poblenou,41.3947759766,2.18855271846,Entire home/apt,65,3,76,2018-05-07,1.24,1,154
896,987376,Rent Single Room  Beach,5418072,Leticia,Sant Martí,la Vila Olímpica del Poblenou,41.3951014741,2.19623586603,Private room,18,2,64,2018-04-02,1.27,2,298
943,1024587,Sunshine double+WIFI+CENTRIC,2603961,Jessy Y Alex,Sants-Montjuïc,Hostafrancs,41.3760149239,2.14767990908,Private room,19,1,121,2018-05-15,1.92,6,290
969,1044864,Apartamento Independència - Doble - ABAPART,5751589,Lackanton,Sant Martí,el Camp de l'Arpa del Clot,41.4087961065,2.18389451169,Entire home/apt,51,1,0,,,3,265
979,1060411,Bright and white double bedroom,2541323,Guillaume & Piermarco,Ciutat Vella,el Raval,41.3801984204,2.16933814819,Private room,55,2,19,2018-06-06,0.37,1,281
1024,1102069,Downtown apartment with character,3942088,Dusai,Ciutat Vella,el Barri Gòtic,41.3826662573,2.17724048495,Private room,60,1,86,2018-05-20,1.49,1,53
1025,1102197,FIRA BARCELONA View Montjuic 2,3243301,Harry,Sants-Montjuïc,la Marina de Port,41.357699454,2.14386044271,Entire home/apt,80,1,39,2017-09-30,0.72,2,329
1032,1106433,Habitación y piso exterior muy luminoso,6074635,Isabel,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3885766145,2.17892903256,Private room,50,2,13,2016-06-04,0.21,2,339
1048,1113540,APARTAMENTO LAS ARENAS,4864707,Rocío,Sants-Montjuïc,Hostafrancs,41.375612864,2.14681899025,Entire home/apt,100,2,72,2018-04-24,1.38,6,98
1054,1124365,TERRAZA Y SOL EN BARCELONA CENTRO!!,1906609,Ed,Ciutat Vella,el Barri Gòtic,41.3825852654,2.17624235689,Entire home/apt,96,10,6,2015-08-30,0.12,1,361
1090,1159715,Cozy 2room in the heart of Old Town,4933443,Albert,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3850969406,2.17771799328,Entire home/apt,182,2,43,2018-01-02,0.71,1,326
1123,1196463,Plaza España Terrace A Apartment,6521082,Francisco,Sants-Montjuïc,Hostafrancs,41.3758016245,2.14386115808,Entire home/apt,213,3,24,2018-05-21,0.61,15,176
1141,1204581,"★""CAPSULE"" ♥ SAG.FAMLIA★DOUBLE ROOM",700165,Wonderful Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.3836129673,2.15839750029,Private room,50,2,4,2016-06-26,0.08,4,326
1199,1244468,double room in shared flat,6783114,Fran,Horta-Guinardó,el Carmel,41.4174607358,2.15855146218,Private room,39,1,1,2017-11-30,0.16,1,282
1212,1257726,Nice terrasse in front of Born,6850934,Jordi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3864426759,2.18214081354,Entire home/apt,120,15,1,2013-09-01,0.02,1,302
