,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4,12568687,Attractive flat with balcony. Raval,68145334,Ana,Ciutat Vella,el Raval,41.3790241533,2.1671126148,Entire home/apt,33,3,13,2017-01-22,1.54,1,4
5,12505760,Double room in the city centre,42686705,Carlos,Ciutat Vella,el Raval,41.3829385502,2.17012825796,Private room,29,1,19,2017-01-25,2.03,4,101
15,13823966,Sunny Flat in San Antoni,31964009,Marie,Ciutat Vella,el Raval,41.3797769593,2.16506022326,Entire home/apt,76,1,7,2016-10-23,0.97,2,162
22,16218253,Special Room for two people Raval,101342929,Diego,Ciutat Vella,el Raval,41.3814306884,2.1685369623,Private room,25,1,0,,,3,87
23,16808076,Enjoy Barcelona: MOBILE WORLD CONGRESS +free WIFI,48575675,Eugenio,Ciutat Vella,el Raval,41.3824512887,2.164706581,Private room,29,3,0,,,3,90
31,16870517,Great studio in heart of Barcelona,112431201,Francesca,Ciutat Vella,el Raval,41.3799176776,2.16856423964,Entire home/apt,60,1,2,2017-02-08,2.0,1,330
35,13912916,A beautiful room with a view in Barcelona,80911540,Maria Rosa,Ciutat Vella,el Raval,41.3842910911,2.16948007099,Private room,60,1,13,2016-10-30,1.87,1,38
50,13879032,Single room CENTER BCN WiFi,82122343,Ricardo,Ciutat Vella,el Raval,41.3795963619,2.16977858421,Private room,25,3,4,2016-09-28,0.76,4,358
52,6605458,Room in center of BCN. El Raval.,34087272,Rama,Ciutat Vella,el Raval,41.3784937572,2.1638183771,Private room,29,1,48,2017-01-09,2.44,5,343
53,4933670,Doble room Boqueria/Ramblas,16030611,Francisco,Ciutat Vella,el Raval,41.3816089432,2.17094795295,Private room,25,2,52,2016-05-31,2.2,2,0
63,16018129,Gran habitación doble centro BCN,3375094,Patricio,Ciutat Vella,el Raval,41.3757669139,2.1740515517,Private room,40,3,0,,,1,89
75,900683,"""ROOM´S""",4787831,Daniel,Ciutat Vella,el Raval,41.3786986106,2.16355815792,Private room,28,1,200,2017-02-04,4.3,1,210
82,1129608,RAMBLAS! Incredible double room B&B,783613,Maria,Ciutat Vella,el Raval,41.3788739701,2.17137154748,Private room,25,2,58,2016-11-13,1.27,3,47
88,1227988,BEAUTIFUL APARTMENT NR LAS RAMBLAS,775472,Niki,Ciutat Vella,el Raval,41.3790851308,2.17318734892,Entire home/apt,200,3,14,2016-10-25,0.47,1,178
93,15907338,A single room in the center of Barcelona,102881642,Saija,Ciutat Vella,el Raval,41.3792682828,2.16851424114,Private room,20,1,4,2017-01-11,1.4,1,181
94,12728793,Ramblas Studio A,54310958,Javier,Ciutat Vella,el Raval,41.3842282371,2.17075098052,Entire home/apt,99,2,0,,,90,0
