,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5,19954,CHARMING & SPACIOUS  ARC DE TRIOMF,75365,Toni,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3882690109,2.17632451768,Entire home/apt,95,7,38,2017-08-17,0.46,1,354
6,20345,"2 Double rooms for 4 persons, WI-FI",76809,Mila,Nou Barris,Vilapicina i la Torre Llobeta,41.4294969777,2.18155786439,Private room,25,2,70,2018-01-02,0.76,1,365
10,23197,"FORUM APARTMENT,5 MINS WALK TO CCIB CENTER & SEA!!",90417,Etain,Sant Martí,el Besòs i el Maresme,41.4143996368,2.22337268872,Entire home/apt,200,3,25,2017-10-05,0.3,1,319
26,41952,Modern Apartment - Sagrada Familia,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4056531865,2.16931963697,Entire home/apt,110,3,39,2015-10-13,0.56,2,362
73,112538,Design Flat in the very center 5.3,567180,Suite Home,Eixample,la Sagrada Família,41.405491465,2.17368257944,Entire home/apt,200,4,78,2017-07-30,0.97,11,349
76,118228,Design Flat in the very center 5.1,567180,Suite Home,Eixample,la Sagrada Família,41.405928028,2.17574725087,Entire home/apt,200,4,15,2017-02-19,0.19,11,345
91,138055,Design Flat in the Very Center 5.2,567180,Suite Home,Eixample,la Sagrada Família,41.4076428793,2.17572915187,Entire home/apt,169,3,81,2017-07-08,1.03,11,364
92,139912,RENT A DOUBLE ROOM NEAR PARC GUELL ,682094,Noemi,Horta-Guinardó,el Baix Guinardó,41.4123916849,2.16409733378,Private room,15,3,1,2011-08-04,0.01,1,365
138,200372,rent a room  front the park,771458,Rita,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3884429642,2.18405615157,Private room,35,3,19,2017-10-14,0.44,10,0
153,228660,Room downtown,1193521,Vicente,Ciutat Vella,el Raval,41.3804651896,2.16797971444,Private room,30,3,35,2017-07-02,0.46,1,365
156,234109,Large. Light. INCREDIBLE views!,1201857,Jordan,Eixample,el Fort Pienc,41.3996431815,2.18258672861,Entire home/apt,119,3,32,2017-05-01,0.43,2,317
159,237895,Lots of LIGHT & INCREDIBLE views!,1201857,Jordan,Eixample,el Fort Pienc,41.3989543378,2.18299820548,Private room,48,3,24,2017-07-20,0.32,2,365
173,256973,"Lovely wooden boat in Port Forum 2 bikes, AC",1332589,Jere,Sant Martí,el Besòs i el Maresme,41.4140167293,2.22833240437,Entire home/apt,65,2,84,2018-01-01,1.9,4,211
187,268021,Midtown Apartment near Ps de Gràcia,1405013,Patricia,Eixample,la Dreta de l'Eixample,41.3936346593,2.1706815314,Entire home/apt,135,2,3,2017-01-02,0.1,12,0
