,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4,21974,Comf. double room/private bathroom,73163,Andres,Ciutat Vella,el Barri Gòtic,41.3807682456,2.17550963445,Private room,60,3,2,2017-11-06,0.15,2,0
51,95560,La Sagrada Familia (and metro) 4 blocks!,494228,Julián,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4058465202,2.16887978202,Private room,26,2,410,2018-06-07,4.78,2,92
68,127905,Very calm apartment in the center,632830,Federico,Gràcia,la Vila de Gràcia,41.4066785609,2.15194408207,Entire home/apt,65,3,320,2018-06-05,3.79,2,225
71,134516,Villarroel Apartment WI-FI ,660096,Nata,Eixample,l'Antiga Esquerra de l'Eixample,41.3849433522,2.1580039418,Entire home/apt,91,3,243,2018-05-31,2.9,1,29
97,183650,EQUIPPED DOUBLE ROOM WIFI CASANOVA,880805,Miguel,Eixample,Sant Antoni,41.382584997,2.16223927756,Private room,50,2,29,2015-06-17,0.35,2,365
99,184516,lovely huge 30mq room with pvt bathroom,784341,Paola,Ciutat Vella,el Barri Gòtic,41.3819850659,2.17357161655,Private room,55,4,31,2018-04-19,0.38,2,79
112,197267,Cozy Studio in Gracia Neighborhood,632830,Federico,Gràcia,la Vila de Gràcia,41.4052254016,2.15186500736,Entire home/apt,60,3,269,2018-06-06,3.41,2,207
117,200400,Great double room,979782,Laura,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3847722295,2.18357599314,Private room,45,1,1,2016-09-25,0.05,2,364
134,234621,"City Center, next 2 Sagrada Familia",1228784,Ana,Eixample,la Sagrada Família,41.4029450852,2.17924499647,Entire home/apt,99,2,73,2017-10-08,0.93,5,339
196,327133,Cozy Double Room - Paseo de Gracia,1451449,Pedro & Rita,Eixample,la Dreta de l'Eixample,41.3930880175,2.16737901793,Private room,28,5,140,2018-05-23,1.83,6,145
197,330196,Amazing patio with a lemon tree,1684667,Rocio,Sants-Montjuïc,Sants,41.3794702322,2.1380590718,Private room,99,3,4,2017-08-26,0.38,2,1
220,356674,Cheap rooms - 5 min walk to beach!,635764,Ana,Sant Martí,el Besòs i el Maresme,41.4123179512,2.21553333444,Private room,20,2,13,2018-06-08,0.17,1,202
235,379850,Piso muy luminoso cerca del mar,1228784,Ana,Sant Martí,Provençals del Poblenou,41.4095854573,2.20821964602,Entire home/apt,150,1,6,2017-06-04,0.08,5,365
273,440996,Apartamento Céntrico en Barcelona,777327,Diego,Sants-Montjuïc,Hostafrancs,41.3757396307,2.14356774058,Entire home/apt,95,3,9,2017-10-10,0.12,1,255
274,443110,New apartment center BCN ,2201772,Dimitry,Eixample,l'Antiga Esquerra de l'Eixample,41.3885058145,2.15272784943,Entire home/apt,250,4,37,2017-09-01,0.5,14,360
288,457411,quality & charm in the coolest area,2273599,Susana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383796775,2.18334218849,Private room,90,4,195,2018-05-11,2.7,1,175
315,490742,Big sunny room with terrace,2325968,Sikerult,Sants-Montjuïc,Sants - Badal,41.3742213854,2.12846506065,Private room,24,3,10,2018-05-27,1.23,1,8
329,507076,Spacious apartment close to the beach,2499677,Sonia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3838434047,2.18335418691,Entire home/apt,132,4,70,2018-04-16,0.96,1,1
350,518681,Nice apartment next to the beach,2365742,Antoni,Sant Martí,el Poblenou,41.398907235,2.20531454119,Entire home/apt,100,3,114,2018-06-05,1.59,1,299
392,564023,VERY NICE APARTMENT IN BARCELONA,2773474,Rosario,Eixample,Sant Antoni,41.3755617534,2.160704515,Private room,67,2,13,2017-07-02,0.19,1,0
394,564958,A room with a separate bathroom.,2778630,Antonio,Nou Barris,Porta,41.4324309088,2.18105779232,Private room,33,6,137,2018-05-21,1.91,3,124
436,607042,Beautyful Sunny Apartment,3007489,Salva,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3949398156,2.14351030284,Entire home/apt,80,2,35,2018-01-02,0.75,1,175
437,607438,Spacious centric flat with terrace,2890975,Marisol,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3890794278,2.17766819109,Entire home/apt,200,7,14,2017-08-02,0.24,1,322
