id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8127277,Room for 4 people with bathroom pri,42906962,Luis,Ciutat Vella,el Raval,41.3795243215722,2.1692929291837073,Private room,80,31,18,2017-10-20,0.59,8,180
10172298,Quiet loft with courtyard,52226755,Kristofer,Ciutat Vella,el Raval,41.3804672905853,2.1659939801117742,Entire home/apt,70,30,6,2017-11-01,0.25,1,254
10735872,Luxury Duplex en Sant Antoni,1093718,Alexey,Ciutat Vella,el Raval,41.380912504499165,2.165201480067362,Entire home/apt,45,32,2,2016-11-11,0.10,11,85
19432305,The green suite,136236479,Jude,Ciutat Vella,el Raval,41.38063392531343,2.1699467212762014,Entire home/apt,75,31,2,2017-12-23,0.21,1,189
20956172,Beautiful Room In The Heart Of BCN ( Las Ramblas ),108269759,Prissa,Ciutat Vella,el Raval,41.38020029060939,2.174030800356208,Private room,97,30,7,2018-01-23,1.03,8,310
13552883,bonita y comoda habitacion en el piso céntrico,8511821,Kateryna,Ciutat Vella,el Raval,41.378045819078785,2.1730431568398347,Private room,67,2,48,2018-02-18,2.31,2,170
13307558,Cute Bohemian Room With Balcony in El Raval,18095762,Millie,Ciutat Vella,el Raval,41.37766861805685,2.1671212107961018,Private room,50,4,12,2016-08-24,0.53,1,0
21843937,SÚPER  STAR ⭐️( ONLY  2 PERSON ),12355332,Sunny,Ciutat Vella,el Raval,41.38054521227406,2.1654810563025317,Private room,22,1,11,2018-03-25,2.82,3,279
13726402,Sunny place with Terrace in Raval,6237642,Sandra,Ciutat Vella,el Raval,41.377493997322894,2.1655926212745276,Private room,50,2,1,2016-07-18,0.05,1,0
2782323,Double room (50m) whit terrace!,13858065,Marisa,Ciutat Vella,el Raval,41.378192607530984,2.1658701502911026,Private room,48,4,71,2018-03-18,1.51,1,269
21608495,Principal 1,157178191,Mariluz,Ciutat Vella,el Raval,41.37786452912938,2.165681486428325,Entire home/apt,70,2,6,2018-03-23,1.76,1,259
23180898,"Cosy place in the Heart of Barcelona DOWNTOWN,WIFI",89691645,Julio,Ciutat Vella,el Raval,41.37609082673287,2.1734368695292083,Private room,40,1,10,2018-03-29,5.66,2,38
18467369,"Precious,romantic & traditional terrace flat Raval",1906227,Anna,Ciutat Vella,el Raval,41.37832747215938,2.165155794469672,Entire home/apt,109,2,18,2018-04-07,1.62,1,50
19841315,Luminosa habitacion doble cerca de las ramblas,40189458,Angel,Ciutat Vella,el Raval,41.378720194747025,2.173904110316883,Private room,40,3,12,2018-03-18,1.36,3,258
21516041,GORGEOUS DESIGN FLAT HEART 2B,1853675,Richard,Ciutat Vella,el Raval,41.380192225004315,2.1657345931351926,Entire home/apt,49,1,25,2018-03-25,5.17,10,212
23175133,amazing apartament with rooftop,116980696,Isabella,Ciutat Vella,el Raval,41.379231359966894,2.1647644782364046,Entire home/apt,500,1,0,,,3,42
22349701,BEAUTY APARMENT WITH 2 ROOMS,59029123,Gin,Ciutat Vella,el Raval,41.37952312735568,2.1655173740642497,Entire home/apt,110,1,0,,,1,328
18869364,237 - Las Ramblas Balcony,128959838,Jordi,Ciutat Vella,el Raval,41.380730033763726,2.1723803099287258,Entire home/apt,232,1,8,2018-03-06,0.22,66,318
17516928,Quiet flat in ramblas with terrace,14957011,Philippe,Ciutat Vella,el Raval,41.38043393002689,2.1725588271556915,Entire home/apt,200,2,14,2018-02-28,1.06,1,85
17227917,Entire flat in the heart of barcelona,18182380,Imran,Ciutat Vella,el Raval,41.37821189508691,2.166795714425104,Entire home/apt,100,1,1,2017-03-01,0.07,1,354
23098111,"Brand new, sunny, quiet apartment city center 3BR",87947454,Vivianne,Ciutat Vella,el Raval,41.380738482909756,2.166814505237809,Entire home/apt,90,25,0,,,1,251
22953759,Double room w/ Private Bathroom & Balcony,9997197,John,Ciutat Vella,el Raval,41.37653547913648,2.1707977028784877,Private room,25,3,7,2018-04-09,3.96,2,29
21858650,"Centralised,bright and modern",153127941,Maria,Ciutat Vella,el Raval,41.38152941008245,2.1713350655544716,Entire home/apt,80,1,19,2018-03-31,4.45,1,4
15711166,QUIET & COZY WITH TERRACE,6907539,Jud,Ciutat Vella,el Raval,41.383578532576884,2.1659065282091565,Entire home/apt,40,32,34,2018-03-02,2.02,1,99
16047936,Cultural City Center,494213,Valerie,Ciutat Vella,el Raval,41.37975862635917,2.1656581533050803,Entire home/apt,59,31,5,2018-03-01,0.62,1,42
15431563,RAMBLAS NEW,3039107,Manuel,Ciutat Vella,el Raval,41.38414435813907,2.167694446858342,Entire home/apt,74,89,18,2017-12-31,1.03,19,348
14120991,Habitación doble en el corazón de Barcelona. MACBA,85125198,Lichi,Ciutat Vella,el Raval,41.38476561445718,2.168259282476552,Private room,40,2,12,2016-11-02,0.57,1,130
14939544,The room with brathroom prive for two persones,42906962,Luis,Ciutat Vella,el Raval,41.379738530039795,2.1709554004296936,Private room,50,31,5,2017-11-17,0.27,8,179
14804782,The room with barthroom prive por one persone,42906962,Luis,Ciutat Vella,el Raval,41.37913219603673,2.1704486497756976,Private room,35,31,5,2017-12-02,0.28,8,156
15179060,Cozy Accommodation Barcelona,49894730,Valentina,Ciutat Vella,el Raval,41.37711987678151,2.167057982596255,Entire home/apt,65,31,5,2017-11-11,0.28,3,221
14838313,New apartment (4rooms) in Barcelona center,78591611,Aida,Ciutat Vella,el Raval,41.38580782188782,2.164999316353971,Entire home/apt,70,40,0,,,1,302
12727132,Dali Private Bath with bunk bed and balcony,1333556,Ari+Carmen,Ciutat Vella,el Raval,41.37820177393544,2.174678264474714,Private room,150,29,5,2017-12-23,0.25,3,268
13918960,En centro. Mas de 3 meses con descuento,82620250,Alfredo,Ciutat Vella,el Raval,41.381393652806636,2.1691470615942916,Entire home/apt,50,31,2,2017-06-28,0.11,1,302
13517322,"2.Gaudi Ensuite Bath, Aircon, Ramblas, Double bed",1333556,Ari+Carmen,Ciutat Vella,el Raval,41.377071631681204,2.1735317299259975,Private room,40,29,1,2017-03-31,0.08,3,306
11070879,"""low cost Raval city center""",3786376,Lala,Ciutat Vella,el Raval,41.38047971112044,2.1704065312010727,Entire home/apt,55,1,68,2018-03-25,2.74,2,336
11697542,"Suite with private bathroom, Liceu",3972894,Elias,Ciutat Vella,el Raval,41.37859791056927,2.1743269787094137,Private room,55,1,53,2017-11-01,2.19,2,273
8125241,Casa Luis en Barcelone,42906962,Luis,Ciutat Vella,el Raval,41.379878505635986,2.1700195776683096,Private room,45,31,17,2017-11-12,0.69,8,119
11616677,Charming apartment close La Rambla,61510582,Rosario,Ciutat Vella,el Raval,41.379690778020546,2.1705733945796855,Entire home/apt,100,32,8,2017-08-18,0.34,1,331
