,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
54,100256,"BARCELONA CENTRO EN LA PLAYA ,WIFI",527201,Peca,Ciutat Vella,la Barceloneta,41.3798334135,2.19249385206,Entire home/apt,50,32,48,2017-05-31,0.63,1,322
69,127905,Very calm apartment in the center,632830,Federico,Sant Andreu,la Sagrera,41.4227345609,2.18614108207,Entire home/apt,65,3,341,2018-09-09,3.89,2,43
73,136043,Twin room (2 people only) in Quirky central flat,666414,Fiona,Sants-Montjuïc,el Poble Sec,41.3726039056,2.16670215581,Private room,60,2,67,2018-08-08,0.77,1,222
84,163536,Cosy design apartment trendy  Born 5 bed 2bathroom,713364,Horacio,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3867321597,2.1838729208,Entire home/apt,300,210,25,2017-08-28,0.32,3,365
113,199794,Centric Double Room Private Bathroom - month  rent,440825,Teresa,Eixample,l'Antiga Esquerra de l'Eixample,41.3833626403,2.15853030527,Private room,35,1,71,2018-08-23,1.15,1,305
133,233739,Bright bedroom & private bathroom,1224008,Sergio,Sants-Montjuïc,Sants - Badal,41.3746637782,2.13028536676,Private room,40,2,93,2018-07-09,1.19,1,48
137,239143,Cute & Centric Apartment In Born,249351,María Candela,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3862222923,2.18131373079,Entire home/apt,50,32,147,2018-08-04,1.74,1,323
139,242335,Barceloneta Beach Apartment - FOR SEASON,15884961,Pilar,Ciutat Vella,la Barceloneta,41.3829495852,2.18791399872,Entire home/apt,73,32,4,2015-12-21,0.05,10,365
198,303136,Appartment in Barcelona,1560832,Oscar,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.4041518912,2.21296913906,Entire home/apt,137,2,0,,,1,364
246,380400,"Impeccable Cozy Apartment w/ AC, Netflix",865887,Tim,Ciutat Vella,la Barceloneta,41.3800330946,2.18831453582,Entire home/apt,169,3,80,2018-08-29,1.09,3,228
269,415848,"2 br, walking distance to ev-thing Cozy Space",865887,Tim,Eixample,la Nova Esquerra de l'Eixample,41.3832292746,2.1439604772,Entire home/apt,195,4,56,2016-07-31,0.73,3,275
277,431054,VILLA OLIMPICA BEAUTIFULL PENTHOUSE,2142963,Igor,Sant Martí,el Parc i la Llacuna del Poblenou,41.3947914748,2.18691594772,Entire home/apt,69,2,117,2018-08-27,1.53,2,63
298,457411,quality & charm in the coolest area,2273599,Susana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383796775,2.18334218849,Entire home/apt,90,31,206,2018-08-21,2.74,1,248
306,468639,Big room with exit to sunny terrace,2325968,Sikerult,Sants-Montjuïc,Sants - Badal,41.3738375547,2.12810964212,Private room,33,5,104,2018-07-12,1.39,1,16
326,486014,nice room Barcelona centre,2405609,Cristobal,Eixample,el Fort Pienc,41.4000339181,2.17750613467,Private room,25,2,5,2018-07-15,0.07,3,365
376,533118,2 rooms for share in a family flat,2405609,Cristobal,Eixample,el Fort Pienc,41.400358898,2.17716654638,Private room,30,2,5,2017-06-25,0.07,3,365
417,569824,Nice double room in Eixample BCN,2804421,Karen,Eixample,l'Antiga Esquerra de l'Eixample,41.3908705306,2.14611591172,Private room,25,2,0,,,2,262
505,671951,NEAR RAMBLA POBLENOU AND BEACH,82522,Meritxell,Sant Martí,el Poblenou,41.4049428088,2.19886920124,Private room,33,2,110,2018-08-14,3.94,2,329
509,674461,"ROOM CENTRAL, IDEAL for CITY VISITORS",3424464,Ramon,Sants-Montjuïc,el Poble Sec,41.3747577003,2.16796542272,Private room,22,3,419,2018-05-31,5.72,3,42
545,713340,Fantástica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4044853851,2.1644898201,Private room,30,5,9,2018-07-25,0.35,2,353
546,713397,Piso en la fántastica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4052394058,2.16409239294,Private room,30,5,20,2018-05-19,0.31,2,345
553,721471,Sicilia Loft (A1),3724467,Ana,Eixample,el Fort Pienc,41.399096031,2.17629618521,Entire home/apt,60,1,0,,,12,288
557,721504,Valencia Superior Apartment 3 bedrooms,3724467,Ana,Eixample,la Dreta de l'Eixample,41.3982628128,2.17111077463,Entire home/apt,700,1,0,,,12,229
607,757181,Pretty flat in the gotic area,3987393,Sarita,Ciutat Vella,el Barri Gòtic,41.3820317843,2.17630395685,Entire home/apt,109,32,13,2018-08-16,0.26,1,302
617,763176,"ROOM CENTRIC, PERFECT for CITY VISITORS",3424464,Ramon,Sants-Montjuïc,el Poble Sec,41.3739176124,2.16836769012,Private room,24,4,394,2018-08-04,5.54,3,18
666,811716,SPACIOUS DOUBLE ROOM IN BARCELONA CENTRE!,4260395,Fabrizzio'S Petit Barcelona,Eixample,la Dreta de l'Eixample,41.3930700248,2.17053170864,Private room,65,5,2,2015-01-03,0.04,4,88
700,845760,Twin Room near Ramblas,3541314,Yih,Ciutat Vella,el Barri Gòtic,41.3833788304,2.17646514293,Private room,48,2,47,2018-08-18,0.72,1,64
738,865148,Grande I Apartment on Valencia St.,582060,Fernando,Eixample,la Dreta de l'Eixample,41.3990940599,2.17018903342,Entire home/apt,222,3,42,2018-08-08,0.64,24,347
740,865309,Nice Cozy Apartment Valencia St. B,582060,Fernando,Eixample,la Dreta de l'Eixample,41.3972104557,2.16957729395,Entire home/apt,120,3,54,2018-08-17,0.89,24,316
751,873418,Superb terrace - Central flat,3629600,Marc,Sants-Montjuïc,el Poble Sec,41.3727879403,2.16758924092,Private room,38,1,82,2018-08-26,1.22,1,0
866,960275,Nice Room in Ciutadella July&August,5227798,A.Llorach,Sant Martí,el Parc i la Llacuna del Poblenou,41.3917804374,2.18825095194,Private room,25,4,11,2016-08-29,0.39,1,352
880,971896,VILLA OLÍMPICA TERRACE/PENTHOUSE2,2142963,Igor,Sant Martí,el Parc i la Llacuna del Poblenou,41.3947759766,2.18855271846,Entire home/apt,65,2,85,2018-08-22,1.32,2,51
935,1010405,SUNNY TERRACE CITY CENTER,5558536,Rosa,Eixample,Sant Antoni,41.3753927839,2.15125388539,Entire home/apt,89,3,215,2018-08-22,3.71,1,300
983,1053030,PRIVATE ROOM WITH BALCONY INSIDE GAYAREA,5132531,Jaume,Eixample,l'Antiga Esquerra de l'Eixample,41.3857954511,2.16228307389,Private room,55,1,4,2014-11-23,0.08,3,346
1106,1181739,VERY CENTRIC & SPACIOUS. Breakfast,3424464,Ramon,Sants-Montjuïc,el Poble Sec,41.3746620046,2.16914467642,Private room,26,4,375,2018-06-07,5.88,3,24
1138,1198074,Two bedroom apartment,6544866,Mariana & Tomás,Eixample,la Dreta de l'Eixample,41.3913711433,2.17433916366,Entire home/apt,158,1,21,2018-09-07,0.69,9,300
1155,1211322,Loft/Studio near Beach - Groups Offer,6614322,Pierre,Sant Martí,el Parc i la Llacuna del Poblenou,41.397277308,2.19075799935,Shared room,100,1,0,,,1,365
1214,1259196,ROOM PENTHOUSE EL BORN,2407716,Lisa,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383619271,2.18217477226,Private room,45,2,0,,,1,78
1218,1261435,Sunny Apartment in Sarrià ~ Gràcia,6870421,David,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.4023807677,2.14418172701,Private room,29,1,6,2018-07-11,0.1,1,273
1223,1266156,Views to Sagrada Familia & Terrace,2041901,Dani,Eixample,la Sagrada Família,41.4075471545,2.17932137096,Entire home/apt,90,3,62,2018-07-26,0.99,17,328
