,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
4,1406827,Centric Bohemian next Ramblas&Macba,7573380,Croki,Ciutat Vella,el Raval,41.3808380526,2.16457495032,Entire home/apt,45,2,226,2017-03-28,5.06,1,26,erased
30,753998,Barcelona Central  Flat,3625681,Irene,Ciutat Vella,el Raval,41.3800885734,2.16767275204,Entire home/apt,19,2,12,2017-03-17,0.33,1,7,erased
61,15091556,BHNflats4u 102,94665134,Bhn,Ciutat Vella,el Raval,41.3782425499,2.16503616115,Entire home/apt,75,3,1,2017-02-20,0.63,2,277,erased
63,17169731,Quiet double room Barcelona downtown,115476933,Tomas,Ciutat Vella,el Raval,41.3796199276,2.1644291981,Private room,23,2,3,2017-04-04,2.37,1,2,erased
89,6269523,Mirror's room on Plaza Catalunya,31799569,Dimitar,Ciutat Vella,el Raval,41.385075848,2.16805284964,Private room,43,3,23,2016-09-13,1.03,5,0,erased
90,10456243,AHLflats C1,29437754,Ahl,Ciutat Vella,el Raval,41.3790214587,2.16639711295,Entire home/apt,75,3,38,2017-03-26,2.71,4,299,erased
100,16633000,Centrica habitación con balcon y W.C privado,109869509,Edw,Ciutat Vella,el Raval,41.3806334153,2.16746592828,Private room,45,2,0,,,1,0,erased
105,14329127,Cozy Room in center of Barcelona,48678603,Orlando,Ciutat Vella,el Raval,41.3793520775,2.16418263736,Private room,24,2,44,2017-03-25,5.5,3,0,erased
119,5699212,The Loft,15563421,Kat&,Ciutat Vella,el Raval,41.3812009568,2.16934632311,Private room,80,2,5,2016-10-10,0.21,2,85,erased
122,16211075,Hab. en apartamento acogedor ramblas de Barcelona,105816233,Pat,Ciutat Vella,el Raval,41.3804283021,2.16926952348,Private room,46,2,3,2017-03-13,0.92,1,28,erased
129,14741265,PERFECT BEDROOM<<>>CITY CENTER,91059008,Dasha,Ciutat Vella,el Raval,41.379810455,2.16914372232,Private room,30,2,1,2017-04-05,1.0,1,55,erased
133,5791212,"Sunny, Cozy character Apt",2756480,Jonny,Ciutat Vella,el Raval,41.3833686172,2.16895734013,Entire home/apt,60,2,97,2017-03-23,3.95,1,44,erased
140,17293416,BRAND NEW LOFT IN THE CENTER.,11987687,Guille,Ciutat Vella,el Raval,41.3782237679,2.1691162189,Entire home/apt,250,1,0,,,2,198,erased
145,16312867,Cozy apartment. Mediterranean style.,2042948,Xabi & Lucia,Ciutat Vella,el Raval,41.3796463814,2.17149029873,Entire home/apt,65,3,2,2017-01-29,0.65,2,12,erased
146,18110035,Magnificent Apartment in Barcelona,8784853,Maria,Ciutat Vella,el Raval,41.3802148022,2.17259890127,Entire home/apt,197,1,0,,,1,365,erased
153,1242257,"Center, Private bath & 20m2 terrace on top floor",6771166,Andi,Ciutat Vella,el Raval,41.3767339839,2.17564286797,Private room,68,2,52,2017-03-02,1.17,1,131,erased
163,507209,Top Floor Designer Flat,1903094,Esteban,Ciutat Vella,el Raval,41.3827892284,2.16583506323,Entire home/apt,165,3,62,2017-03-29,1.06,2,232,erased
178,5215028,Lovely home near to las Ramblas :),1264575,Ananda,Ciutat Vella,el Raval,41.3801774444,2.16800514265,Entire home/apt,69,2,16,2017-03-20,0.63,2,7,erased
181,16512048,Habitación compartida en Piso compartido,108532013,Wladimir,Ciutat Vella,el Raval,41.3828643945,2.16672329771,Private room,19,1,0,,,1,344,erased
219,16864300,near the University area and Plaza Catalunya,108432914,Ольга,Ciutat Vella,el Raval,41.3841817904,2.16509438046,Entire home/apt,100,3,0,,,4,357,erased
220,3635498,Big room in huge flat in Raval,1122938,Lena,Ciutat Vella,el Raval,41.3769681599,2.17514973433,Private room,69,2,11,2017-03-19,0.8,1,6,erased
223,17250363,Habitación muy centrica Very centrally room/ RAVAL,116248576,Lorenzo,Ciutat Vella,el Raval,41.3787578453,2.16961565377,Private room,25,1,5,2017-04-03,4.17,1,164,erased
233,16764978,Plaza Catalunya,108432914,Ольга,Ciutat Vella,el Raval,41.3849571383,2.16683331979,Entire home/apt,100,6,0,,,4,360,erased
241,18021013,Habitacion en pleno centro de Barcelona,11407415,Alfio,Ciutat Vella,el Raval,41.3808541825,2.16937121556,Private room,50,1,0,,,2,20,erased
262,16991792,Private with Shared Bathroom,88178070,Marvin,Ciutat Vella,el Raval,41.3775745215,2.17313952404,Private room,30,2,1,2017-02-19,0.61,3,360,erased
267,11494275,Encantador piso nuevo en Barcelona,60523787,Elena,Ciutat Vella,el Raval,41.3774608928,2.17070175558,Entire home/apt,85,3,63,2017-04-05,5.04,1,197,erased
