,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
4,1189222,Cosy studio just off Las Ramblas,383697,Anna,Ciutat Vella,el Raval,41.3854950667,2.16794565375,Entire home/apt,69,3,30,2016-12-28,1.62,22,359,erased
6,7666584,Double room in lovely flat,40193785,Gaby & Ken,Ciutat Vella,el Raval,41.3777070386,2.16820713329,Private room,50,1,29,2016-11-07,1.69,1,47,erased
11,16296906,Barcelona city center,21726991,Maria,Ciutat Vella,el Raval,41.3792645395,2.16616643198,Entire home/apt,60,1,0,,,3,48,erased
15,8077109,Nice & Sunny room in the Center,3548318,Nai,Ciutat Vella,el Raval,41.3802156014,2.16857987482,Private room,32,2,41,2016-10-28,2.67,2,243,erased
17,8768943,Comfy room in the city center,30978272,Andreea,Ciutat Vella,el Raval,41.3775320786,2.16701527941,Private room,25,1,0,,,1,0,erased
18,7559551,BONITA Y CÓMODA HABITACIÓN,39623843,Naldo Ney,Ciutat Vella,el Raval,41.3713011768,2.18056477032,Private room,50,4,3,2016-10-25,0.63,4,296,erased
19,907637,super large loft apartment,4861615,Sandra,Ciutat Vella,el Raval,41.3780455515,2.16667870636,Entire home/apt,124,32,105,2016-10-05,2.23,1,280,erased
21,15888876,Private dream bed,13410654,Samuel,Ciutat Vella,el Raval,41.3777860851,2.16450707382,Private room,20,2,0,,,2,348,erased
24,14379760,"Double Room - CENTER,  Amazing & Peaceful Location",39430002,Ivan,Ciutat Vella,el Raval,41.3805019814,2.16398105387,Private room,50,2,22,2016-12-21,4.58,2,81,erased
27,16632115,habitacion  en el raval centro bnc,58727943,Land,Ciutat Vella,el Raval,41.3785669756,2.16545870203,Private room,26,1,0,,,3,166,erased
37,7974916,colorful room in the heart of Raval,42090125,Carla,Ciutat Vella,el Raval,41.3777813692,2.16665464916,Private room,30,1,1,2015-09-01,0.06,1,0,erased
39,534698,Habitación en piso con patio ,655948,Julen,Ciutat Vella,el Raval,41.3791947193,2.16628839056,Private room,35,2,50,2015-09-08,0.92,1,363,erased
55,15026705,Bonito Apartamento en el centro de Barcelona,51095978,Jorge,Ciutat Vella,el Raval,41.3773211442,2.16591096851,Entire home/apt,40,2,2,2017-01-04,2.0,1,122,erased
56,4377105,PENTHOUSE GORGEOUS DESIGN FLAT ,1853675,Richard,Ciutat Vella,el Raval,41.3795627314,2.16504803884,Entire home/apt,39,1,84,2016-12-23,3.38,15,249,erased
58,14402630,S P A C i O U S bright room with exterior balcony.,88535058,Miguel,Ciutat Vella,el Raval,41.3819259293,2.16673328418,Private room,30,2,1,2016-08-16,0.21,1,0,erased
72,13840645,Apartment in the centre of Barcelona!!!,13124940,Emay,Ciutat Vella,el Raval,41.3850977554,2.16531721652,Entire home/apt,70,1,17,2016-12-17,4.08,4,338,erased
73,14540466,Cozy room in the old town of Barcelona,62645154,Marcio,Ciutat Vella,el Raval,41.3765821248,2.17371516628,Private room,43,2,9,2017-01-03,1.94,1,34,erased
77,3167015,100mts Charming Apartment,13333516,Bhn,Ciutat Vella,el Raval,41.3786101472,2.16647799298,Entire home/apt,79,3,32,2016-12-30,1.53,2,349,erased
81,10004682,Comfi Raval,50716055,Tomy,Ciutat Vella,el Raval,41.3799147512,2.16771415578,Entire home/apt,85,3,49,2016-12-29,3.83,3,342,erased
84,10630068,Cute apartment in trendy Gotico,1452576,Camila,Ciutat Vella,el Raval,41.380982009,2.16517636128,Entire home/apt,70,5,35,2016-12-25,3.03,1,204,erased
86,15741478,Barcelona URBAN Loft,25496698,Gustavo & Claudia,Ciutat Vella,el Raval,41.3808461701,2.1678407024,Entire home/apt,59,2,1,2016-12-18,1.0,4,287,erased
