,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,11942337,Double room in city centre,63759700,Gaia,Ciutat Vella,el Raval,41.3820043754,2.16838500629,Private room,40,1,1,2017-04-24,1.0,1,2
6,18399278,Luxury&Confort Room - Bcn Centre 2,31784847,Nana,Ciutat Vella,el Raval,41.3790068223,2.16473467985,Private room,38,1,0,,,5,345
11,3473796,Room close to Las Ramblas,17497207,Miner,Ciutat Vella,el Raval,41.3752704697,2.17462361544,Private room,35,1,8,2015-10-26,0.33,1,303
12,18196816,Nice apartment in great location,125582199,Aliaksandr,Ciutat Vella,el Raval,41.3785805195,2.16600092041,Entire home/apt,86,4,0,,,3,225
41,17811513,Apartamento típico en pleno centro,54252939,Irene,Ciutat Vella,el Raval,41.3849139256,2.16660717122,Entire home/apt,140,1,4,2017-05-02,4.0,1,5
44,18560215,Nice apartment Downtown Barcelona,128755792,Daisy,Ciutat Vella,el Raval,41.3793087674,2.16992649883,Entire home/apt,192,2,0,,,1,162
75,9792844,"VERY CENTRIC, PERFECT FOR TOURISTS",50282691,Susana,Ciutat Vella,el Raval,41.3767848159,2.17469482654,Private room,50,3,17,2017-03-11,1.03,5,28
77,5936130,Room in the city center!,30337227,Caterina,Ciutat Vella,el Raval,41.3777280943,2.17126459375,Private room,40,2,12,2017-04-30,0.52,11,342
78,11647076,Atico bohemio con terraza privada,61769173,Yari,Ciutat Vella,el Raval,41.37980692,2.16897157229,Entire home/apt,110,3,28,2017-04-22,2.12,1,47
86,7267087,Spacious room in the heart of BCN,10701150,Steeve,Ciutat Vella,el Raval,41.3786923921,2.17041352157,Private room,36,3,52,2017-04-17,2.43,1,323
98,6091120,квартира в Барселоне-Рамбла Раваль,14738687,Любов,Ciutat Vella,el Raval,41.3789500378,2.17050980533,Entire home/apt,50,1,83,2017-04-30,3.43,2,280
109,2322536,Great Apartment -  5 min to Ramblas,11862722,Tamás,Ciutat Vella,el Raval,41.3816787796,2.16949299655,Entire home/apt,35,1,135,2017-04-23,3.48,1,270
139,18268471,Wonderful Attic Joaquin Costa,122627232,Pietro,Ciutat Vella,el Raval,41.382316653,2.16556989893,Entire home/apt,70,2,1,2017-04-29,1.0,1,223
141,18429737,Habitacion muy grande y luminosa. Rambla del Raval,127725419,Alis,Ciutat Vella,el Raval,41.3764696938,2.16692395567,Private room,39,2,0,,,1,56
177,9775857,"Near Ramblas,with Private Balcony",50282691,Susana,Ciutat Vella,el Raval,41.3761641034,2.17123611901,Private room,60,3,3,2016-06-06,0.18,5,26
183,13044276,Double room at big raval apartment,979975,Santiago,Ciutat Vella,el Raval,41.3775967062,2.16797945704,Private room,40,1,55,2017-04-26,4.73,10,235
194,18551799,"Cozy Apart - L'Ramblas, P'Catalunya",128795434,Carlos,Ciutat Vella,el Raval,41.3840388701,2.16724292529,Entire home/apt,220,2,0,,,1,260
203,14435728,ROOM CLOSE TO LA RAMBLA BARCELONA,71126555,Maria,Ciutat Vella,el Raval,41.3775796009,2.16501088032,Private room,49,1,12,2017-04-17,1.41,1,143
