,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
6,18399278,Luxury&Confort Room - Bcn Centre 2,31784847,Nana,Ciutat Vella,el Raval,41.3790068223,2.16473467985,Private room,38,1,0,,,5,345,erased
8,13307558,Cute Bohemian Room With Balcony in El Raval,18095762,Millie,Ciutat Vella,el Raval,41.3776686181,2.1671212108,Private room,50,4,12,2016-08-24,1.06,1,0,erased
10,14755933,PARADISE  ROOM  for 2 PERSON,38141742,Maykol,Ciutat Vella,el Raval,41.3832524866,2.1656641155,Private room,25,2,29,2017-04-09,3.47,5,243,erased
12,18196816,Nice apartment in great location,125582199,Aliaksandr,Ciutat Vella,el Raval,41.3785805195,2.16600092041,Entire home/apt,86,4,0,,,3,225,erased
41,17811513,Apartamento típico en pleno centro,54252939,Irene,Ciutat Vella,el Raval,41.3849139256,2.16660717122,Entire home/apt,140,1,4,2017-05-02,4.0,1,5,erased
55,14255304,Loft cosy Barcelona,22682463,Pierre,Ciutat Vella,el Raval,41.3824089977,2.16647330792,Entire home/apt,30,4,35,2017-04-17,3.8,3,59,erased
56,11817937,Cute apartment in heart Barcelona,6471851,Areti,Ciutat Vella,el Raval,41.3833875229,2.16468162916,Entire home/apt,115,3,0,,,1,248,erased
67,13853992,Double Room in beautiful flat with ideal location,41086082,Victor,Ciutat Vella,el Raval,41.3844393864,2.16547796846,Entire home/apt,50,2,13,2017-03-20,1.32,1,0,erased
74,8268211,Cozy double room in Raval,32562724,Lucas,Ciutat Vella,el Raval,41.3787831399,2.1701432705,Private room,30,2,37,2017-03-07,1.84,1,0,erased
91,13694587,AMAZING CENTRAL APARTMENT WITH BIG TERRACE,4289463,Dionisio,Ciutat Vella,el Raval,41.3755416625,2.16975908307,Entire home/apt,120,1,0,,,6,310,erased
106,8081591,Apartment Ramblas Barcelona x3,42126341,Oriol / Virginia,Ciutat Vella,el Raval,41.3823072678,2.17049189485,Entire home/apt,150,3,57,2017-04-18,2.81,9,74,erased
131,11029705,Ramblas Tallers 1 bedroom apartment,383697,Anna,Ciutat Vella,el Raval,41.3844916508,2.1673106779,Entire home/apt,100,3,13,2017-04-17,0.9,13,272,erased
132,17770152,Estudió en el centro de barcelona,121307267,Jane,Ciutat Vella,el Raval,41.3802533589,2.1675738511,Entire home/apt,70,1,1,2017-04-05,0.91,3,332,erased
135,15093459,BHNflats4u 103,94665134,Bhn,Ciutat Vella,el Raval,41.3773861334,2.16595671484,Entire home/apt,75,3,1,2017-04-07,1.0,1,313,erased
153,18027835,Ramblas room,29750554,Lua&Olalla,Ciutat Vella,el Raval,41.3774722324,2.16806507626,Private room,62,1,1,2017-04-05,0.91,3,179,erased
158,17799806,ROOM Centric location Old town,5384192,Bun,Ciutat Vella,el Raval,41.3816241199,2.16453719863,Private room,39,3,0,,,1,18,erased
165,14603157,EXCELLENT  ROOM FOR 4 PERSON,38141742,Maykol,Ciutat Vella,el Raval,41.3814471983,2.16733589663,Private room,40,2,37,2017-04-23,4.3,5,191,erased
166,14603323,TROPICAL ROOM FOR 3 PERSON,38141742,Maykol,Ciutat Vella,el Raval,41.3814651571,2.16662251351,Private room,30,1,39,2017-04-16,4.5,5,202,erased
172,17398150,Vigas Loft,117343073,Andres,Ciutat Vella,el Raval,41.3793618205,2.16838175982,Entire home/apt,150,3,2,2017-04-16,0.8,1,2,erased
173,17365460,Wonderful accommodation Barcelona,49894730,Valentina,Ciutat Vella,el Raval,41.3799722033,2.16711741504,Private room,50,2,0,,,4,228,erased
186,17268905,MWC Entire apartment next Plaça Catalunya/Ramblas!,81583315,Alex,Ciutat Vella,el Raval,41.3795827115,2.1717829532,Entire home/apt,499,1,0,,,2,0,erased
188,4884320,Cosy Room with private Balcony,971952,Ana,Ciutat Vella,el Raval,41.3847046957,2.16503614531,Private room,26,2,117,2017-05-06,4.11,3,198,erased
207,10670017,MINIFLAT IN THE CENTER OF BARCELONA,7347569,Max,Ciutat Vella,el Raval,41.3842170546,2.16722615628,Entire home/apt,80,1,43,2017-04-29,2.93,4,277,erased
215,17862303,"Sunny-room, L'Rambla, Pl'Catalunya",122174275,Carlos,Ciutat Vella,el Raval,41.3854517145,2.16781883483,Private room,29,2,2,2017-04-19,1.4,4,47,erased
216,18439098,Centre Barcelone,23250984,Sana,Ciutat Vella,el Raval,41.3841798181,2.16985619346,Private room,80,1,0,,,1,340,erased
233,11812696,"Rustico, renovated and well located Flat",61094722,Santiago,Ciutat Vella,el Raval,41.3785925529,2.16774700804,Entire home/apt,95,2,58,2017-04-23,4.18,3,67,erased
237,17448604,Cozy small 2BR 5 min to Las Ramblas,102249582,August,Ciutat Vella,el Raval,41.3783647654,2.16422674155,Entire home/apt,99,4,3,2017-04-28,1.53,2,284,erased
240,17221273,Centric and perfect apartment up to 5 pax,92408306,Isa,Ciutat Vella,el Raval,41.3783840586,2.16567912183,Entire home/apt,170,2,1,2017-02-26,0.42,1,187,erased
254,7559551,BONITA Y CÓMODA HABITACIÓN,39623843,Naldo Ney,Ciutat Vella,el Raval,41.3713011768,2.18056477032,Private room,60,4,4,2017-03-04,0.45,4,349,erased
259,17084157,Big private double in the zen-ter,20377073,Ed,Ciutat Vella,el Raval,41.375702339,2.17269028559,Private room,59,2,4,2017-04-23,1.32,2,23,erased
269,1932838,Charming apartment in Barcelona,6193653,Chap,Ciutat Vella,el Raval,41.3767387798,2.17087872411,Entire home/apt,69,2,27,2017-03-19,1.23,1,62,erased
282,16669652,City center bed room with references. 欢迎,12980367,Sylvie,Ciutat Vella,el Raval,41.3797541568,2.17046722012,Private room,40,2,4,2017-05-06,1.82,2,4,erased
284,16513070,Sunny/Nice/Cozy Room and Terrace,9244809,Emilia,Ciutat Vella,el Raval,41.3794391813,2.16780805241,Private room,50,3,1,2017-04-24,1.0,1,89,erased
286,17332258,Hermoso apartamento en Sant Antoni,5443088,Ruben,Ciutat Vella,el Raval,41.3803385762,2.1649269741,Entire home/apt,165,3,1,2017-04-22,1.0,8,89,erased
297,18579391,Apartment with 2 bedrooms in the center,128992748,Victoria,Ciutat Vella,el Raval,41.380315245,2.17180040443,Entire home/apt,155,5,0,,,1,113,erased
309,12810045,Centric Las Ramblas,41908096,Silver,Ciutat Vella,el Raval,41.3843472112,2.16429416219,Private room,49,3,11,2017-02-28,0.92,2,0,erased
316,17890651,"Single room, L'Rambla, Pl Catalunya",122174275,Carlos,Ciutat Vella,el Raval,41.3839810747,2.16559465387,Private room,18,2,3,2017-04-15,2.65,4,65,erased
321,14121964,WONDER  APARTMENT,6645180,Antonio,Ciutat Vella,el Raval,41.3786191389,2.16793519885,Entire home/apt,100,1,44,2017-05-07,4.58,1,183,erased
328,18590156,Sunny & central loft apartment with roof terrace,3627374,Becky,Ciutat Vella,el Raval,41.3794844802,2.16681677016,Entire home/apt,75,2,0,,,1,22,erased
336,4159436,"Design, authentic 5 min from rambla",21585542,Eddie & Diego,Ciutat Vella,el Raval,41.377075558,2.16665857214,Private room,62,4,116,2017-05-06,3.82,1,21,erased
346,17789739,Habitación doble centro,121307267,Jane,Ciutat Vella,el Raval,41.3790379447,2.16642295644,Private room,28,1,2,2017-04-22,2.0,3,170,erased
349,14121264,Raval Oasis Bedroom,85124222,Ana,Ciutat Vella,el Raval,41.3798455481,2.1672711667,Private room,48,30,3,2016-08-11,0.32,1,177,erased
372,12773203,Nice room in Barcelona center,51290652,Cedric,Ciutat Vella,el Raval,41.3795118873,2.17040527287,Private room,30,1,40,2017-03-28,3.27,1,217,erased
374,2680644,Ramblas TOP aPartment :),10044989,Vincent,Ciutat Vella,el Raval,41.3782139945,2.17527994749,Entire home/apt,165,3,3,2014-06-08,0.08,26,247,erased
399,16119513,"CENTRALROOM,RAMBLA,BOQUERIA",104665401,Angelo,Ciutat Vella,el Raval,41.3813835204,2.17002319333,Private room,40,1,22,2017-05-03,4.07,2,156,erased
400,10547500,Skateboard House - Side of Macba,51083725,Caio,Ciutat Vella,el Raval,41.3831098758,2.16590188206,Private room,25,7,14,2017-03-04,0.93,2,282,erased
401,16969938,Double chillout right in the centre,20377073,Ed,Ciutat Vella,el Raval,41.3779202318,2.17163962156,Private room,31,2,3,2017-04-17,1.8,2,33,erased
406,3796266,Little cosy bedroom ,10044989,Vincent,Ciutat Vella,el Raval,41.3846758496,2.16694692153,Private room,25,25,2,2016-09-22,0.06,26,196,erased
410,12975921,Big Centric Designer Flat with Private Terrace,2952555,Eduard,Ciutat Vella,el Raval,41.3781250897,2.17104876899,Entire home/apt,200,3,22,2017-03-02,1.84,1,183,erased
413,16118794,BOQUERIA!!RAMBLAS!!DOUBLE ROOM FOR RENT,104665401,Angelo,Ciutat Vella,el Raval,41.3814701373,2.17159683045,Private room,40,1,26,2017-04-30,5.0,2,166,erased
423,7367045,Beautiful Apartment in City B,36978155,Exella,Ciutat Vella,el Raval,41.379107673,2.16950887925,Entire home/apt,89,3,65,2017-04-04,3.06,4,323,erased
451,17948936,VERY CENTRAL LOCATION!!,122890895,Julia & Luke,Ciutat Vella,el Raval,41.3789039184,2.16722901866,Private room,60,1,1,2017-04-23,1.0,4,261,erased
477,16641698,"Apartamento en El Centro, WiFi",12286884,Maria,Ciutat Vella,el Raval,41.37873626,2.16859669168,Entire home/apt,37,2,13,2017-04-12,3.61,1,85,erased
479,17917043,Cozy apartment in the Barcelona's heart! - 10% OFF,107474443,Chic In,Ciutat Vella,el Raval,41.3765211474,2.17300052439,Entire home/apt,65,1,3,2017-04-23,2.57,1,72,erased
486,17492156,COOL & COZY CENTRIC APARTMENT,6907539,Judy,Ciutat Vella,el Raval,41.3834310264,2.16378574677,Entire home/apt,42,28,0,,,6,115,erased
502,13097669,"Chic & Cosy Apartment , nearby the center",2689009,Liora,Ciutat Vella,el Raval,41.3789686296,2.16453121855,Entire home/apt,120,2,17,2017-03-05,1.47,1,334,erased
503,1629146," Design, art & vintage / old city",8658841,Olga & Co.,Ciutat Vella,el Raval,41.3826627171,2.16755841626,Entire home/apt,165,3,117,2017-04-28,2.7,3,27,erased
514,12701227,DUPLEX IN CENTER OF BARCELONA,34347584,Alvaro,Ciutat Vella,el Raval,41.3758454936,2.17242389184,Entire home/apt,180,2,42,2017-04-02,3.42,2,22,erased
519,9095219,COZY CENTRIC 2BD WITH LOVE,47420556,B-Mut,Ciutat Vella,el Raval,41.3784377789,2.16447382024,Entire home/apt,47,3,26,2017-04-07,1.43,2,313,erased
521,17949312,VERY CENTRAL LOCATION!!!,122890895,Julia & Luke,Ciutat Vella,el Raval,41.3791452758,2.16925989808,Private room,50,1,2,2017-04-05,1.58,4,247,erased
522,7855692,Super comfortable apartment!!! 2,34292365,Yury,Ciutat Vella,el Raval,41.3838381027,2.16835054265,Entire home/apt,50,1,66,2017-04-19,3.26,2,316,erased
540,8084564,Duplex Ramblas Barcelona 1,42126341,Oriol / Virginia,Ciutat Vella,el Raval,41.3835424465,2.17120560364,Entire home/apt,200,3,50,2017-04-28,2.78,9,46,erased
562,17777452,Beautiful Modern Bedroom in the heart of Barcelona,36753153,Paprika,Ciutat Vella,el Raval,41.3818122058,2.16878473878,Private room,40,2,6,2017-05-05,6.0,1,70,erased
567,6183559,Cosy room in Bcn center- raval,6159507,Pauline,Ciutat Vella,el Raval,41.3824516534,2.16511638578,Private room,39,1,8,2016-08-08,0.36,4,90,erased
568,17947986,Great NEW apartment in the Barcelona CITY CENTER,94060973,Marco,Ciutat Vella,el Raval,41.3800447578,2.17146906398,Entire home/apt,250,2,1,2017-04-23,1.0,2,2,erased
573,12768872,central cosy apartment,22682463,Pierre,Ciutat Vella,el Raval,41.3764601698,2.16831390169,Entire home/apt,30,4,45,2017-04-20,3.69,3,60,erased
576,10375367,Apto ideal parejas en Las Ramblas,53407004,Ana,Ciutat Vella,el Raval,41.3786905707,2.17129738166,Entire home/apt,59,2,1,2016-06-21,0.09,1,305,erased
577,17912885,Las Ramblas apartment with balcony 2 bedrooms,122792178,Julia,Ciutat Vella,el Raval,41.3778284003,2.17453854856,Private room,120,2,2,2017-04-21,2.0,1,263,erased
578,9392246,Beautiful Apartment in City C,36978155,Exella,Ciutat Vella,el Raval,41.3808436406,2.16598415178,Entire home/apt,79,3,51,2017-04-22,3.05,4,315,erased
609,17683053,new center duplex,120432399,Alberto,Ciutat Vella,el Raval,41.3757038693,2.17258233083,Entire home/apt,55,2,3,2017-04-23,1.73,1,22,erased
625,12864989,Enjoy Gothic Quarter with us!,38534476,Enrique,Ciutat Vella,el Raval,41.3795042034,2.17431117382,Entire home/apt,225,1,0,,,1,133,erased
639,18072789,Room 5 min from La Rambla,109598008,Märta,Ciutat Vella,el Raval,41.3764531915,2.17296770375,Private room,45,1,1,2017-04-22,1.0,1,70,erased
656,6639190,Centric new apartment Ramblas,26013923,Caro,Ciutat Vella,el Raval,41.3811167657,2.16962570725,Entire home/apt,70,3,46,2017-04-15,1.97,9,322,erased
664,17575525,The European Mengmei apartment,94970627,Amy,Ciutat Vella,el Raval,41.3762005027,2.16959891451,Entire home/apt,128,1,6,2017-04-18,5.14,1,140,erased
675,18106337,BCN Central Double Room with exterior Balcony,124573040,Claudio,Ciutat Vella,el Raval,41.3775048537,2.17623311113,Private room,50,1,1,2017-04-17,1.0,4,343,erased
680,17325584,Minimal loft room Bcn,70312448,Татьяна,Ciutat Vella,el Raval,41.3849830847,2.16823392942,Private room,27,3,7,2017-04-22,3.28,4,50,erased
682,16448315,Private Suite Ramblas,107885671,Donald,Ciutat Vella,el Raval,41.3755416735,2.17197142988,Private room,60,3,10,2017-05-02,2.97,1,176,erased
702,7981457,Apartment Ramblas Barcelona x2,42126341,Oriol / Virginia,Ciutat Vella,el Raval,41.3836720532,2.17042563287,Entire home/apt,125,32,25,2016-12-17,1.24,9,91,erased
705,13564098,Genial!!a 200 metros de la rambla,78175716,Erlin,Ciutat Vella,el Raval,41.3751424808,2.17103587944,Entire home/apt,100,2,22,2017-04-02,2.05,1,270,erased
