,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3,8369307,RAMBLAS PLAZA lovely room,44104547,Felix,Ciutat Vella,el Raval,41.3843311883,2.16994583495,Private room,90,2,98,2017-07-22,4.27,2,152
4,17873771,"BUGDET DUPLEX FAMILIES AND GROUPS, BEST LOCATION",122330192,Adrián,Ciutat Vella,el Raval,41.3795326857,2.1660792955,Entire home/apt,79,1,5,2017-07-21,1.17,2,302
9,6605458,Room in center of BCN. El Raval.,34087272,Rama,Ciutat Vella,el Raval,41.3795446736,2.16428472194,Private room,29,1,54,2017-07-17,2.11,5,324
12,7269996,"PRETTY SINGLE ROOM NEAR PORT,RAMBLAS,BEACH,GOTICO.",24282359,Daniel,Ciutat Vella,el Raval,41.3750354099,2.17616075182,Private room,25,3,5,2017-07-30,0.33,7,356
18,17414533,Vistalegre House,117767417,Dario & Adrian,Ciutat Vella,el Raval,41.3792247294,2.1666105732,Private room,55,1,15,2017-08-04,3.52,2,351
20,12769961,One Room in center of BCN. El Raval,34087272,Rama,Ciutat Vella,el Raval,41.3787476303,2.16492195521,Private room,50,1,10,2017-02-26,0.72,5,351
31,13883094,Habitacion luminosa en pleno raval,31417173,Carolina,Ciutat Vella,el Raval,41.3751984836,2.1689609256,Private room,50,1,21,2017-07-19,1.73,1,354
35,18218527,Habitación doble centro Barcelona,125799706,Carmen,Ciutat Vella,el Raval,41.37796968,2.16781372518,Private room,50,3,3,2017-07-13,0.91,1,339
43,15730809,Great apartment 200m from Rambla with WIFI,101636716,Yevhen,Ciutat Vella,el Raval,41.379158806,2.17157855408,Entire home/apt,45,2,43,2017-07-15,4.71,1,249
45,19990763,chambre centre Barcelone,141198909,Nicolas,Ciutat Vella,el Raval,41.3774757979,2.17286871571,Private room,25,1,0,,,2,15
47,7740812,Sunny central Double room,1688179,Monique,Ciutat Vella,el Raval,41.3834366289,2.16822261267,Private room,39,13,0,,,1,57
50,1051301,"5 MINUTES LA RAMBLA, LUMINOUS,BALCONY, METRO L2-L3",5404703,Eduardo,Ciutat Vella,el Raval,41.3796615716,2.16517388156,Entire home/apt,45,32,13,2016-04-20,0.25,1,360
51,20055136,"Apartment in the Old City Barcelona, Universitat",142497399,﻿﻿Jaime,Ciutat Vella,el Raval,41.3854599906,2.16736291507,Entire home/apt,170,4,0,,,1,83
52,13244342,Apartment city center,22059065,Juan,Ciutat Vella,el Raval,41.3774090226,2.17582217635,Entire home/apt,180,2,38,2017-07-30,3.56,2,310
55,18087949,"FOR FAMILIES 3 BEDROOMS APARTMENT, plaza Catalunya",115962991,Roberto,Ciutat Vella,el Raval,41.3813984569,2.16551461047,Entire home/apt,199,2,10,2017-07-30,3.03,1,346
56,16908825,Two bedroom flat in Sant Antoni/BCN,112880864,Eli,Ciutat Vella,el Raval,41.3820039921,2.16560975625,Entire home/apt,52,2,23,2017-07-13,3.99,1,241
66,2754920,cosy flat with private terrace,5526117,Mateo,Ciutat Vella,el Raval,41.3797683837,2.16952472475,Entire home/apt,84,2,38,2017-07-31,0.95,1,186
79,15576696,"3Room with private balcony,near the Rambla and sea",100164950,Ana,Ciutat Vella,el Raval,41.3768853076,2.17597400299,Private room,65,3,3,2017-05-21,0.41,5,22
92,3019105,Architect's Raval Apartment BCN...,15380738,Francisco,Ciutat Vella,el Raval,41.3774104936,2.17283744148,Entire home/apt,110,3,142,2017-07-31,3.63,1,187
97,14091402,Amazing Loft-Studio City Center,3461279,David,Ciutat Vella,el Raval,41.3796404598,2.16580297542,Entire home/apt,55,6,0,,,1,0
103,20186694,"Double room with small terrace, private bathroom",37635350,Alessandro,Ciutat Vella,el Raval,41.3781359109,2.16810842267,Private room,50,1,0,,,1,338
106,20267446,Casa de vacaciones,144483493,Maria,Ciutat Vella,el Raval,41.3822244462,2.16640024675,Shared room,50,1,0,,,2,365
107,20084896,Ramblas Cataluña,135179434,Lucas,Ciutat Vella,el Raval,41.3843921001,2.17032797469,Private room,75,1,1,2017-07-30,1.0,7,347
109,16359071,"Barcelona, El Raval",94457451,Giulia,Ciutat Vella,el Raval,41.3800412595,2.17174245203,Entire home/apt,350,1,0,,,1,90
118,19332510,Double and sunny room in the center of Barcelona,52564550,Marianela,Ciutat Vella,el Raval,41.3796723968,2.16365962061,Private room,55,2,0,,,1,108
131,16039572,Room with private bath in Barcelona center,41767442,Maurizio,Ciutat Vella,el Raval,41.3797435275,2.16721002884,Private room,50,4,9,2017-07-21,1.21,3,59
133,12090954,ORANGE Room,64810658,Ferran &,Ciutat Vella,el Raval,41.3786670521,2.17177084583,Private room,20,1,85,2017-07-24,5.28,3,337
140,17758914,"Charming double room at MACBA, next to Las Ramblas",70531762,Isabel,Ciutat Vella,el Raval,41.3814518774,2.16576791925,Private room,45,4,10,2017-07-21,2.63,1,27
147,17006330,¡CATALUNYA PLAZA¡SUPER CENTER ROOM,113030427,Carlos,Ciutat Vella,el Raval,41.3829639719,2.16678816924,Private room,45,4,32,2017-07-22,6.81,3,104
151,14400795,Nice & cosy centric flat in Barcelona with terrace,88520146,Ous,Ciutat Vella,el Raval,41.3831249826,2.16410025634,Entire home/apt,85,4,9,2017-07-17,1.93,1,286
167,19119991,Quiet balcony ll,84693026,Pablo,Ciutat Vella,el Raval,41.3794675166,2.17312948346,Private room,61,3,3,2017-07-23,1.73,5,348
169,16956283,Cosy flat in the city centre,7032148,Lori,Ciutat Vella,el Raval,41.3796095097,2.16479581852,Entire home/apt,145,2,3,2017-07-10,0.57,2,93
171,15448898,Piso acogedor en centro del Raval,95080655,Benjamín,Ciutat Vella,el Raval,41.3807600892,2.16817683078,Entire home/apt,80,5,24,2017-07-22,2.66,1,293
172,9747254,"COSY FLAT DOWNTOWN, NEXT TO RAMBLAS",6163162,Francisco,Ciutat Vella,el Raval,41.3781408623,2.16784683629,Entire home/apt,60,1,39,2017-07-15,2.1,7,295
174,16972580,Charming and cozy double bedroom in Raval,113277795,Jose,Ciutat Vella,el Raval,41.379868964,2.1658818924,Private room,30,2,27,2017-07-28,4.4,2,87
175,12827404,Quiet apartment,2143926,Matias,Ciutat Vella,el Raval,41.3851528407,2.16822283884,Entire home/apt,80,2,49,2017-07-24,3.33,9,324
179,12384115,Cozy apartment near La Rambla with WIFI,66942386,Viktoria,Ciutat Vella,el Raval,41.3814901925,2.16393156175,Entire home/apt,50,2,84,2017-07-29,5.38,1,23
180,14147225,Charming apartment in Barcelona city center,83576956,Valentina,Ciutat Vella,el Raval,41.3762768255,2.16914485548,Entire home/apt,100,33,11,2017-04-30,0.94,1,364
182,18855771,Liceo balcony 4 shared private room,35563371,Basti,Ciutat Vella,el Raval,41.3798524658,2.17368939226,Private room,125,2,4,2017-08-06,1.94,3,36
189,14603323,TROPICAL ROOM FOR 3 PERSON,38141742,Maykol,Ciutat Vella,el Raval,41.3814651571,2.16662251351,Private room,30,1,51,2017-07-20,4.35,5,242
190,6470004,"Apartment, center of Barcelona",23217051,Jamal,Ciutat Vella,el Raval,41.3793534203,2.1705228491,Entire home/apt,85,1,8,2016-10-02,0.53,1,23
199,14136828,Double room 20 meters to ramblas,84693026,Pablo,Ciutat Vella,el Raval,41.3803272661,2.17265263123,Private room,35,3,3,2017-06-30,0.24,5,335
200,15660511,SÚPER  STAR,12355332,Sunny,Ciutat Vella,el Raval,41.3820178359,2.16517397592,Private room,25,1,41,2017-07-21,4.96,2,254
209,5502099,DOUBLE BED ROOM,16987393,Simone,Ciutat Vella,el Raval,41.3836181046,2.1679541009,Private room,60,1,100,2017-07-13,3.56,4,326
210,14137051,With balcony 20 meters to rambla,84693026,Pablo,Ciutat Vella,el Raval,41.378440088,2.17411268787,Private room,40,3,4,2017-07-19,0.34,5,340
220,19264933,Great location in the raval room for 3 people !!,87771226,Max,Ciutat Vella,el Raval,41.3810590474,2.16802769359,Private room,50,2,9,2017-08-06,6.92,5,340
221,7271069,Original piso en el Raval.,34908944,Virginia,Ciutat Vella,el Raval,41.380339996,2.16908863878,Entire home/apt,80,1,7,2016-08-20,0.29,1,6
223,17429033,VISTALEGRE HOUSE 2,117767417,Dario & Adrian,Ciutat Vella,el Raval,41.378144854,2.1677410669,Private room,72,2,5,2017-07-10,0.96,2,318
228,6091120,квартира в Барселоне-Рамбла Раваль,14738687,Natalia,Ciutat Vella,el Raval,41.3789500378,2.17050980533,Entire home/apt,50,1,85,2017-07-15,3.11,2,313
230,20115739,Brand new apartment Barcelona Center,88266123,Guardia Villarroel Real Estate,Ciutat Vella,el Raval,41.3760279512,2.16974412648,Entire home/apt,180,1,0,,,3,10
240,5419866,3 Rms/Seaview Balcony/Heart of BCN,21472437,Benjamin,Ciutat Vella,el Raval,41.3849782025,2.16543511292,Entire home/apt,180,2,98,2017-05-20,3.44,8,0
241,6876888,Beautiful apt next to the Rambla!,8461806,James,Ciutat Vella,el Raval,41.3779902706,2.17448518816,Entire home/apt,130,10,1,2015-08-07,0.04,1,299
246,20247393,Cozy apartment in Barcelona city center,919899,Patrícia,Ciutat Vella,el Raval,41.378858455,2.16383729927,Entire home/apt,93,1,0,,,2,70
267,7794539,BEST ROOM IN BARCELONA! Las Ramblas,19568982,Juan,Ciutat Vella,el Raval,41.3814012367,2.172131904,Private room,20,1,41,2016-10-17,1.79,4,365
270,12250822,Piso 2 habitaciones junto Ramblas,62227631,Barbara,Ciutat Vella,el Raval,41.3798274888,2.17366642482,Entire home/apt,140,1,45,2017-07-23,3.13,2,323
271,14871539,Piso céntrico barcelonés,66479598,Angie,Ciutat Vella,el Raval,41.3775652102,2.16819790794,Private room,55,3,8,2017-08-05,2.16,1,281
294,19064790,New sunny and cozy! Best experience in Barcelona,1365474,Karina,Ciutat Vella,el Raval,41.3789216159,2.16581192685,Private room,70,2,10,2017-07-19,4.69,1,144
295,20113355,Ramblas & Cataluña center,135179434,Lucas,Ciutat Vella,el Raval,41.3843094384,2.17008929002,Private room,35,1,2,2017-08-04,2.0,7,340
297,1501088,Nice and quiet room,7314109,Lale,Ciutat Vella,el Raval,41.3777529164,2.16603668982,Private room,50,5,9,2016-06-26,0.22,1,17
298,19917330,Romantic rustic flat in the heart of ancient Bcn,141083973,Sara,Ciutat Vella,el Raval,41.3784776919,2.17049950249,Entire home/apt,150,3,0,,,2,344
304,18884265,Perfect and centric apartment up to 5 pax,92408306,Isa,Ciutat Vella,el Raval,41.3785241557,2.16592366458,Entire home/apt,150,2,0,,,5,31
309,19981771,"Special flat in the CENTER, next to Ramblas",60119216,Eva,Ciutat Vella,el Raval,41.3831642739,2.17160554351,Private room,50,1,0,,,2,37
315,5235771,Charming modernist flat in Raval,3620390,Jose,Ciutat Vella,el Raval,41.3779445129,2.16578335727,Entire home/apt,85,5,58,2017-07-05,2.03,1,3
321,19473413,NEW PASSION APARTMENT NEXT RAMBLAS,136628657,Martin,Ciutat Vella,el Raval,41.3769408797,2.16727367954,Entire home/apt,99,1,1,2017-07-21,1.0,1,269
326,17491770,Habitación raval,68905310,Andres Eduardo,Ciutat Vella,el Raval,41.3786193516,2.16591964362,Private room,10,11,0,,,2,312
344,20110869,Casa de la pradera.,91056370,Kenzo,Ciutat Vella,el Raval,41.3763305004,2.16722962421,Private room,26,1,1,2017-08-07,1.0,1,43
355,15063044,Clean and stylish apartment in the center of BCN,95242619,Linor,Ciutat Vella,el Raval,41.3763103196,2.17391350814,Entire home/apt,76,3,2,2017-01-01,0.2,1,99
360,711658,"Big,nice apartment in centre A/C!!",3534058,Bogi And Marçal,Ciutat Vella,el Raval,41.3810770492,2.16444572778,Entire home/apt,105,1,10,2017-07-23,0.26,1,221
