,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
3,11403230,COZY APARTMENT  CENTRE FOR MONTHS,508621,Empara,Ciutat Vella,el Raval,41.3781322635,2.16954296931,Entire home/apt,71,32,26,2017-07-03,1.63,3,312,erased
10,19068842,NUEVO DUPLEX EN CENTRO BARCELONA,133122770,Pedro,Ciutat Vella,el Raval,41.376029465,2.17260595486,Entire home/apt,150,2,1,2017-06-21,1.0,1,2,erased
23,19016105,Central double room,132679561,Lorenzo & Rebecca,Ciutat Vella,el Raval,41.384216585,2.17049144739,Private room,30,3,1,2017-06-25,1.0,3,276,erased
25,17691212,Apartament 3 №3413,29236958,Igor_Churikov_Fb,Ciutat Vella,el Raval,41.385161385,2.16624081082,Entire home/apt,90,3,0,,,6,361,erased
33,847562,CHARMING COZY in arty centric flat,3147574,Lili,Ciutat Vella,el Raval,41.3831022961,2.16834307875,Private room,40,2,60,2017-06-27,1.18,2,296,erased
37,1240328,BARCELONA OLD TOWN,5089278,José-Miguel,Ciutat Vella,el Raval,41.3758151468,2.17056304345,Entire home/apt,92,4,13,2017-06-06,0.34,1,318,erased
40,13627642,2 rooms with own bathroom and kitchen in Raval,67731087,Oleksiy,Ciutat Vella,el Raval,41.3817924535,2.16427242391,Private room,80,3,5,2016-09-11,0.39,2,70,erased
48,15853828,Genuine and cozy apartment situated in the oldtown,102726899,Manuel,Ciutat Vella,el Raval,41.378107607,2.16832176791,Entire home/apt,89,2,25,2017-06-16,3.32,1,78,erased
49,8250878,Apartment  Ramblas Barcelona  x3,42126341,Oriol / Virginia,Ciutat Vella,el Raval,41.384079305,2.17045447539,Entire home/apt,150,3,49,2017-06-29,2.39,5,53,erased
56,16116542,Beautiful & Bright Apartment Close to Ramblas,1791076,Martini,Ciutat Vella,el Raval,41.3793062056,2.17213884243,Private room,55,5,2,2017-05-17,0.32,3,252,erased
60,15853544,Center Doble Room with Balcony,102683748,Caro,Ciutat Vella,el Raval,41.3785005676,2.17281611175,Private room,40,2,20,2017-06-09,2.59,2,17,erased
