,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,18653,Modern apartment well connected,71615,Mireia And Maria,Eixample,la Sagrada Família,41.4092145934,2.17386755265,Entire home/apt,151,2,0,,,28,81
5,21605,Nice and sunny duble room,82522,Meritxell,Sant Martí,el Poblenou,41.4056041572,2.19820512273,Private room,33,2,72,2018-05-05,2.93,3,264
22,44868,Center of Barcelona,197737,Ushma,Ciutat Vella,el Raval,41.3814491059,2.16692477343,Entire home/apt,74,5,83,2018-05-04,0.89,2,273
29,64139,Confortable Flat in Barcelona,313418,Andrea,Gràcia,la Vila de Gràcia,41.3988456703,2.15794336656,Entire home/apt,33,3,11,2018-05-01,0.12,1,191
34,71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.4183680947,2.13419160576,Entire home/apt,250,7,1,2011-06-23,0.01,1,185
49,79755,3Br-2bath-AC Full 5 stars reviews!,429939,Antonio,Eixample,l'Antiga Esquerra de l'Eixample,41.3909017409,2.15058115644,Entire home/apt,110,3,190,2017-12-31,2.21,1,133
69,119458,Coqueto y céntrico estudio en Bcn!,603091,Laura,Eixample,la Dreta de l'Eixample,41.3985916887,2.17452277307,Entire home/apt,60,90,1,2018-03-15,0.49,1,73
73,126836,Cozy bedroom next to Old Harbor,615805,David,Ciutat Vella,el Barri Gòtic,41.3823509824,2.1792748106,Private room,37,2,73,2018-02-02,0.88,1,171
77,133420,Barcelona city center,655334,Diego,Ciutat Vella,el Barri Gòtic,41.3801560541,2.17522276697,Entire home/apt,99,2,44,2016-07-27,0.54,1,0
84,142361,Romantic eastern holidayss in Barcelona,445671,Montse,Sants-Montjuïc,el Poble Sec,41.3720629448,2.16502099926,Entire home/apt,85,6,6,2018-03-05,0.07,1,157
103,183858,"Central, Bright & Beautiful room",180478,Carlos,Ciutat Vella,el Raval,41.3805890275,2.16882738711,Private room,55,3,116,2018-05-03,1.41,1,8
132,213581,Room Centric + Personal Dressing,1100014,Sol,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3881767062,2.17571017022,Private room,30,2,185,2018-04-25,2.42,3,270
133,214322,❤️Design in Barcelona Center❤️,1106200,Xavier,Eixample,el Fort Pienc,41.3924086418,2.17963764702,Entire home/apt,140,2,25,2018-03-01,0.31,1,92
135,217826,Double room in a Beautiful and Sunny shared Attic,95585,Daniela,Ciutat Vella,el Barri Gòtic,41.3819556274,2.17846588532,Private room,45,2,160,2018-04-17,1.98,3,346
155,260462,"COZY AND QUIET, IN THE CENTER !!!",632830,Federico,Gràcia,la Vila de Gràcia,41.4061686661,2.15084730591,Entire home/apt,65,3,234,2018-05-08,4.42,4,222
169,273224,"BARCELONA CENTEROASIS""THE GREENHEART OF BARCELONA""",1255733,Antonia,Sants-Montjuïc,el Poble Sec,41.3709834984,2.15867050034,Entire home/apt,69,4,105,2018-04-23,1.52,3,20
176,275971,Apartment near CCIB - CM229,1093718,Alexey,Sant Martí,el Besòs i el Maresme,41.41532856,2.21244653289,Entire home/apt,80,3,17,2017-06-29,0.23,10,0
