,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4,17467966,BCN - Center Double Room - 2,117517014,Claudio,Ciutat Vella,el Raval,41.3761568551,2.17651936989,Private room,30,1,1,2017-03-02,1.0,1,87
13,17489701,Cozy Flat @Raval - San Antoni,51410499,Effie,Ciutat Vella,el Raval,41.3796933171,2.16573219941,Entire home/apt,130,2,0,,,1,179
17,17542215,Piso acogedor en el centro de Barcelona,76897210,Lucía,Ciutat Vella,el Raval,41.3795970793,2.16777034297,Entire home/apt,35,7,0,,,1,14
25,12238900,"Bright, Beautiful Double in El Gotic with Balcony",8340309,Sophie,Ciutat Vella,el Raval,41.3778414021,2.17463706415,Private room,34,1,22,2017-02-16,2.05,2,155
32,17292597,Double Room - perfect location,600839,Salvatore,Ciutat Vella,el Raval,41.3811819469,2.16409078887,Private room,50,2,0,,,2,301
33,17491852,Offer-Dorm-Suite at Great Penthouse. WIFI. RAVAL,501022,Maria,Ciutat Vella,el Raval,41.3829488878,2.16590557513,Private room,60,2,0,,,2,358
71,13799907,LAS RAMBLAS! Hermosa Habitac doble,81143689,Maria Dolores,Ciutat Vella,el Raval,41.3799100903,2.17249943016,Private room,22,2,20,2016-12-01,2.83,4,119
73,16991792,Private with Shared Bathroom,88178070,Marvin,Ciutat Vella,el Raval,41.3775745215,2.17313952404,Private room,30,2,1,2017-02-19,1.0,3,365
77,9557762,Lovely Suite&Private Bathroom + Art,28972454,Laura,Ciutat Vella,el Raval,41.3824073874,2.16443579551,Private room,99,3,45,2016-11-02,3.19,3,112
82,17283916,Friendly loft room center Bcn,70312448,Татьяна,Ciutat Vella,el Raval,41.3854897331,2.16929970744,Private room,35,1,0,,,3,54
89,17153324,Apartamento centrico,111952919,Alex,Ciutat Vella,el Raval,41.3788148031,2.16739931323,Entire home/apt,80,1,2,2017-03-01,2.0,1,286
98,15179060,Cozy Accommodation Barcelona,49894730,Valentina,Ciutat Vella,el Raval,41.3771198768,2.1670579826,Entire home/apt,120,1,1,2016-10-17,0.21,4,218
102,16563363,Lovely double room in the center,36127665,Aitor,Ciutat Vella,el Raval,41.3791083987,2.16523662932,Private room,50,2,1,2017-02-10,0.57,1,345
103,17221273,Centric and perfect apartment up to 5 pax,92408306,Isa,Ciutat Vella,el Raval,41.3783840586,2.16567912183,Entire home/apt,150,2,1,2017-02-26,1.0,1,334
104,16708048,Alojamiento para 4 personas en Barcelona centro.,3804525,Nahor Alexander,Ciutat Vella,el Raval,41.3766394907,2.1672589369,Private room,65,2,0,,,3,335
106,17229464,Quiet single room in San Antonio,22731648,Abelardo,Ciutat Vella,el Raval,41.3775709025,2.16468795212,Private room,45,1,0,,,1,100
