,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
2,11697342,DOUBLE ROOM RAMBLA,3972894,Elias,Ciutat Vella,el Raval,41.3797286375,2.17443908582,Private room,45,1,44,2017-05-19,3.18,2,265,erased
7,18774119,!!!BARCELONA ¡¡¡¡SUPER ROOM CENTER PENTHOUSE,113030427,Carlos,Ciutat Vella,el Raval,41.3831974123,2.16398370635,Private room,46,1,1,2017-05-22,1.0,4,324,erased
15,18889298,"""Las Ramblas"" Renewed apartment in Citycenter",130464711,Adria,Ciutat Vella,el Raval,41.3784661504,2.17369772788,Entire home/apt,160,1,0,,,2,160,erased
16,18727805,Tafí del Valle,130241298,Tucuman,Ciutat Vella,el Raval,41.3806467804,2.17222084637,Private room,55,4,0,,,4,24,erased
18,18248428,Habitación para parejas y grupos en la Rambla,126097631,Juanma Y Sara,Ciutat Vella,el Raval,41.3853257716,2.16761595684,Private room,100,3,3,2017-05-21,3.0,1,318,erased
20,17190066,COZY FLAT IN THE RAMBLAS,115706756,Elsa,Ciutat Vella,el Raval,41.3760745015,2.17539873513,Entire home/apt,190,3,0,,,3,161,erased
37,9650911,PANORAMIC SUNSET SUITE - Private Entrance + Patio!,49892956,Marcos,Ciutat Vella,el Raval,41.3768371142,2.16678022643,Private room,75,3,22,2017-05-30,4.15,1,282,erased
49,10333021,Beautiful duplex near Ramblas,53172802,Mon,Ciutat Vella,el Raval,41.3795703275,2.16870111187,Entire home/apt,85,2,66,2017-05-19,3.83,1,269,erased
59,13598175,Well located and clean aparment near Las Ramblas!!,61566575,Eduardo,Ciutat Vella,el Raval,41.3795288345,2.1729995753,Entire home/apt,157,3,47,2017-05-21,4.1,2,83,erased
63,19034744,"Cozy & Renewed ""Las Ramblas"" Apartment",130464711,Adria,Ciutat Vella,el Raval,41.3798876085,2.17111099776,Entire home/apt,132,1,0,,,2,144,erased
75,14629608,Best place for walking the city,24112000,Chic & Cheap,Ciutat Vella,el Raval,41.3802309135,2.16347822499,Entire home/apt,80,1,18,2017-05-12,2.01,4,61,erased
87,10047535,BIG CENTRAL FLAT NEAR RAMBLAS RAVAL,6163162,Francisco,Ciutat Vella,el Raval,41.3789607977,2.1658412311,Entire home/apt,80,1,36,2017-05-14,2.08,7,271,erased
92,16064045,Flat in Barcelona City,104637352,Erick,Ciutat Vella,el Raval,41.3768818655,2.16755207055,Entire home/apt,32,1,24,2017-05-19,3.85,2,64,erased
93,5365867,GORGEOUS DESIGN FLAT IN HEART 2A,1853675,Richard,Ciutat Vella,el Raval,41.3807787206,2.1666635028,Entire home/apt,69,1,88,2017-05-22,3.16,13,118,erased
106,8049872,Cool design apartment with 2 rooms!,1524312,Marta,Ciutat Vella,el Raval,41.3757199085,2.16734118973,Entire home/apt,75,2,97,2017-05-14,4.78,2,222,erased
