,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
18,15769372,"Lovley, private double room in Sagrada Familia",57183113,Malin And Mathias,Eixample,la Sagrada Família,41.408552935,2.17801044535,Private room,30,2,51,2017-08-28,5.07,2,1,erased
33,7706946,"(Sagrada Familia)Quiet,clean,comfort for couple.",40486498,Willian,Eixample,la Sagrada Família,41.4053606238,2.17919244511,Private room,42,2,14,2017-09-05,0.55,2,262,erased
34,20813640,Marina Magic,136964257,Jose,Eixample,la Sagrada Família,41.4039914056,2.17356081728,Private room,35,2,0,,,2,357,erased
36,19697839,SINGLE ROOM IN A STYLISH FLAT,79804973,Jesús,Eixample,la Sagrada Família,41.4058588028,2.17199475056,Private room,45,1,7,2017-08-28,3.09,2,359,erased
56,1086040,Design flat Sagrada Familia (B0841),1013855,Alex,Eixample,la Sagrada Família,41.4112362933,2.17463723121,Entire home/apt,150,3,49,2017-08-28,0.95,12,293,erased
67,20023860,Double (up to 3) cozy room next to Sagrada Família,77646694,José Carlos,Eixample,la Sagrada Família,41.4068218579,2.1719670956,Private room,49,1,5,2017-09-02,4.05,1,2,erased
84,19302669,Single room in Sagrada Familia 1,126571626,Laura,Eixample,la Sagrada Família,41.4056112639,2.17173555961,Private room,45,5,4,2017-07-28,1.64,4,182,erased
97,18316933,Single room in Sagrada Familia 1,126571626,Laura,Eixample,la Sagrada Família,41.4047048548,2.17262795735,Private room,30,5,9,2017-08-02,2.16,4,346,erased
103,16089876,Private big room with private terrace and bathroom,104869903,Angela,Eixample,la Sagrada Família,41.4088073748,2.17132949467,Private room,45,2,8,2017-07-24,1.62,1,147,erased
114,592432,Sagrada Familia-Room for rent 4 DAY,2802688,Carlos,Eixample,la Sagrada Família,41.4086095606,2.17675628556,Private room,30,1,1,2012-09-10,0.02,5,254,erased
117,18513466,Cozy double bedroom near Sagrada familía,128503897,Gabriela,Eixample,la Sagrada Família,41.4048176671,2.18353527296,Private room,50,1,8,2017-09-09,4.21,1,41,erased
127,9795055,DOUBLE  ROOM!,18708334,Manu,Eixample,la Sagrada Família,41.4071210429,2.17499473828,Private room,50,2,50,2017-08-29,2.42,3,348,erased
163,19817992,SINGLE ROOM IN A STYLISH FLAT,79804973,Jesús,Eixample,la Sagrada Família,41.4070297657,2.17280955032,Private room,47,1,11,2017-08-28,5.69,2,362,erased
193,8148253,Nice bedroom by Sagrada Familia,14264794,Olya,Eixample,la Sagrada Família,41.4017206665,2.17784268856,Private room,42,3,25,2017-08-27,1.02,1,27,erased
194,1923321,Private Room for 3 people or couple,9964230,Fany,Eixample,la Sagrada Família,41.404602237,2.17532061429,Private room,55,2,40,2017-08-23,1.4,6,331,erased
205,18697685,Huge Sagrada Familia Apartment,1391607,Greg,Eixample,la Sagrada Família,41.4019981966,2.17447196356,Entire home/apt,105,3,3,2017-08-11,1.23,88,0,erased
218,18172532,SAGRADA FAMILIA APARTMENT BARCELONA RENTAL,125357620,Evy,Eixample,la Sagrada Família,41.4039186596,2.17781775283,Entire home/apt,95,4,5,2017-07-07,1.4,5,357,erased
241,20006247,SAGRADA FAMILIA  DOUBLE ROOM  PRIVATE,121348274,Ruben,Eixample,la Sagrada Família,41.4012907616,2.17682752915,Private room,33,2,9,2017-09-04,7.11,2,13,erased
252,14234857,Cosy apartment in Sagrada Familia,86551441,Ana,Eixample,la Sagrada Família,41.409691666,2.17307781421,Entire home/apt,75,2,13,2017-08-09,1.07,8,237,erased
259,18170878,Sagrada Familia Apartment,1391607,Greg,Eixample,la Sagrada Família,41.4068651369,2.18100834792,Entire home/apt,60,3,1,2017-07-07,0.44,88,165,erased
263,3359557,Duplex Sagrada Familia for 8 people,1275637,Oxis Immo,Eixample,la Sagrada Família,41.4031688883,2.17781593197,Entire home/apt,85,3,48,2017-08-26,1.33,33,4,erased
265,3619321,Stylish flat with balcony Sagrada Familia(B0842),1013855,Alex,Eixample,la Sagrada Família,41.4094959971,2.17587495877,Entire home/apt,104,3,40,2017-08-21,1.11,12,314,erased
270,14172453,SUNNY & ROMANTIC APARTMENT TERRACE SAGRADA FAMILIA,4391784,Mel & Michael,Eixample,la Sagrada Família,41.4008552954,2.17426351272,Entire home/apt,110,3,46,2017-08-25,3.49,4,233,erased
272,10827129,Cosy apartment in BCN,23900858,Antoine,Eixample,la Sagrada Família,41.4013282709,2.17209350245,Entire home/apt,100,1,1,2016-02-23,0.05,1,0,erased
275,18301018,Double room in Sagrada Familia,126571626,Laura,Eixample,la Sagrada Família,41.4055678959,2.17217814733,Private room,60,5,8,2017-07-29,2.18,4,346,erased
310,6894809,Double room near sagrada familia,36128983,Dave,Eixample,la Sagrada Família,41.4097972553,2.17470656725,Private room,45,2,13,2017-08-17,0.91,1,7,erased
317,18821573,"Excellent , Cozy Apartment  near Sagrada Familia.",131048076,Luz,Eixample,la Sagrada Família,41.404842459,2.18060793248,Entire home/apt,80,1,14,2017-08-31,3.72,1,32,erased
319,6762873,Private Bedroom and Bathroom on Sagrada Familia,9964230,Fany,Eixample,la Sagrada Família,41.404074483,2.17437127123,Private room,20,2,56,2017-08-28,2.05,6,314,erased
331,601839,Double Sunny Room in a shared flat,2802688,Carlos,Eixample,la Sagrada Família,41.4082791099,2.17749014709,Private room,35,1,0,,,5,245,erased
333,19803390,Engri,139871857,Engri,Eixample,la Sagrada Família,41.4052279401,2.17544244693,Private room,49,2,4,2017-08-26,2.03,1,11,erased
341,5646819,2bedroom SagradaFamiliaG5,7414663,Julia,Eixample,la Sagrada Família,41.4028812919,2.17368676395,Entire home/apt,139,2,8,2017-06-06,0.46,38,348,erased
358,17587250,Habitación confortable para 1-2,119087039,Carmen,Eixample,la Sagrada Família,41.4116332261,2.17511292338,Private room,50,1,8,2017-09-06,1.49,1,0,erased
361,8266693,Christmas at Holy Family + WIFI,14848038,Beatriz,Eixample,la Sagrada Família,41.4072058644,2.17853861623,Entire home/apt,40,5,0,,,2,0,erased
363,18883423,Escape Room,131587440,Leliane,Eixample,la Sagrada Família,41.4110810881,2.17556548443,Private room,25,2,6,2017-06-18,1.59,1,0,erased
375,10232968,Habitación privada Sagrada Familia,52587829,Nastasia,Eixample,la Sagrada Família,41.4053940611,2.17615913025,Private room,47,1,25,2017-08-25,3.77,1,338,erased
382,7806225,Sagrada Familia-Room-WIFI-COZY-QUIET,40486498,Willian,Eixample,la Sagrada Família,41.4066100993,2.17947434049,Private room,35,2,23,2017-09-10,0.91,2,164,erased
396,2234840,Cozy apartment close to Sagrada Familia (B0821),1013855,Alex,Eixample,la Sagrada Família,41.4097641517,2.17660353562,Entire home/apt,107,3,56,2017-08-28,1.28,12,319,erased
398,19405733,Very cozy apartment in the center of Barcelona !!,77870390,Javier,Eixample,la Sagrada Família,41.4026868644,2.18158190793,Private room,58,1,7,2017-09-10,3.56,1,1,erased
400,17439609,DELUXE SAGRADA FAMILIA IV,63036168,Yolson,Eixample,la Sagrada Família,41.4052301543,2.1741632265,Entire home/apt,125,7,5,2017-08-22,1.11,5,254,erased
402,19600816,LorennaFlat,62410099,Lorena,Eixample,la Sagrada Família,41.4011235089,2.17524765378,Private room,48,2,6,2017-08-28,5.45,1,56,erased
403,19012044,Great two bedroom apartment in Sagrada Familia,53193877,Valentina,Eixample,la Sagrada Família,41.406384674,2.17894050342,Entire home/apt,120,3,4,2017-09-07,3.33,1,0,erased
421,601637,ROOM WITH DOUBLE BED IN SHARED FLAT,2802688,Carlos,Eixample,la Sagrada Família,41.4080767582,2.17620774184,Private room,25,1,0,,,5,245,erased
439,592496,¿LOOKING FOR A PLACE TO STAY...?,2802688,Carlos,Eixample,la Sagrada Família,41.4085396419,2.17600185599,Private room,23,1,1,2012-10-04,0.02,5,245,erased
452,4456730,"Private Bedroom shared Bathroom, Sagrada Familia",9964230,Fany,Eixample,la Sagrada Família,41.4057889348,2.17414088717,Private room,20,2,44,2017-08-21,1.66,6,342,erased
470,11982731,INDIVIDUAL ROOM WITH BREAKFAST,64038886,Sandra,Eixample,Sant Antoni,41.3762760013,2.15641788147,Private room,25,1,4,2017-09-05,0.23,1,316,erased
473,3708777,nice room at city center,18918842,Diek,Eixample,Sant Antoni,41.3794894646,2.15938140923,Private room,30,4,52,2017-09-06,1.38,2,68,erased
491,19463031,Central Confortable Beds & Free Breakfast (2A),131675890,Charly,Eixample,Sant Antoni,41.3833782104,2.1622392583,Private room,32,1,17,2017-08-21,6.37,4,142,erased
500,1438055,Habitación lado plaza España,7724779,Joan,Eixample,Sant Antoni,41.3771367592,2.15581302372,Private room,45,2,49,2017-09-09,1.88,1,360,erased
527,6146128,FANTASTIC AND BRIGHT IN SANT ANTONI,23440430,Mateo,Eixample,Sant Antoni,41.383621224,2.16226409116,Private room,70,3,103,2017-08-20,3.58,1,338,erased
546,19567423,Amazing location in Barcelona,137501145,Noor,Eixample,Sant Antoni,41.3815096171,2.15777897156,Entire home/apt,170,4,8,2017-08-30,3.75,3,346,erased
557,18122203,Experience Bcn from the heart!,99178741,Juan,Eixample,Sant Antoni,41.3835463501,2.16286925209,Entire home/apt,199,1,0,,,3,365,erased
575,19107144,Apartment in the heart of Barcelona! Poble Sec --,3566026,Maxim,Eixample,Sant Antoni,41.3762329643,2.16100956547,Entire home/apt,150,1,2,2017-08-14,0.69,8,44,erased
586,20562205,FLAT IN THE CENTER OF BARCELONA,14260609,Sergi,Eixample,Sant Antoni,41.3753228599,2.16351544794,Entire home/apt,96,1,0,,,3,348,erased
590,15966152,Gayfriendly Wi-Fi Tv Balcony Breakfast Center,103696934,Andrés,Eixample,Sant Antoni,41.3799794799,2.16184553542,Private room,17,3,64,2017-08-14,6.42,1,14,erased
619,6523300,Nice double room + Terrace (center),21628277,Hamza,Eixample,Sant Antoni,41.3775536455,2.15421544554,Private room,24,1,74,2017-08-31,2.67,4,315,erased
651,11202325,New Parlament-Sant Antoni,1391607,Greg,Eixample,Sant Antoni,41.3756805187,2.16368451516,Entire home/apt,165,3,5,2017-07-30,1.74,88,0,erased
657,18389926,cozy & centric apartment - FAMILY W/ KIDS =D,259907,Lorraine,Eixample,Sant Antoni,41.3759893464,2.16436545221,Entire home/apt,80,3,2,2017-08-23,0.71,1,122,erased
658,7849007,"Supercentral, 3 bedroom apartment, fast internet.",3556337,Alejandro,Eixample,Sant Antoni,41.3829197428,2.16213394224,Entire home/apt,120,6,14,2017-08-23,1.01,2,345,erased
