,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
3,19157,"Great Place in Sagrada Familia, Bcn",73099,Urania,Eixample,la Sagrada Família,41.4079290083,2.17454040134,Private room,32,2,173,2018-07-30,1.78,2,28,erased
20,44868,Center of Barcelona,197737,Ushma,Ciutat Vella,el Raval,41.3814491059,2.16692477343,Entire home/apt,82,5,88,2018-07-28,0.91,2,309,erased
58,108215,Big Room 4 rent in BCN Downtown 1/2,559889,Zesare,Ciutat Vella,el Raval,41.381019122,2.16542013446,Private room,40,2,51,2018-07-16,0.69,4,79,erased
71,126836,Cozy bedroom next to Old Harbor,615805,David,Ciutat Vella,el Barri Gòtic,41.3823509824,2.1792748106,Private room,40,3,79,2018-08-06,0.91,2,90,erased
77,143354,Habitación con baño privado,695612,Juan,Gràcia,la Vila de Gràcia,41.4006962759,2.16111315934,Private room,45,2,0,,,1,89,erased
79,144801,Penthouse near Picasso Museum ,701493,Isabel,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3848706706,2.17997153768,Entire home/apt,80,30,45,2018-07-31,0.54,1,331,erased
100,184516,lovely huge 30mq room with pvt bathroom,784341,Paola,Ciutat Vella,el Barri Gòtic,41.3819850659,2.17357161655,Private room,48,10,32,2018-07-25,0.38,2,146,erased
136,234567,Luxury Apartment in city center,1228590,Antonio,Eixample,la Dreta de l'Eixample,41.3908844103,2.16465720344,Entire home/apt,190,2,140,2018-07-24,1.87,7,301,erased
140,241627,Shining Double Room in Barcelona,958378,Stefano,Sants-Montjuïc,el Poble Sec,41.3732156017,2.16285924324,Private room,35,1,9,2017-08-14,0.18,2,347,erased
195,293502,BIG cozy aptm next to Las RAMBLAS!!,615805,David,Ciutat Vella,el Barri Gòtic,41.3772302488,2.17921929933,Entire home/apt,120,5,111,2018-02-28,1.42,2,27,erased
200,302440,Ramblas Romantic studio,942210,Pia,Ciutat Vella,el Raval,41.3848592278,2.16840610232,Entire home/apt,40,32,18,2018-06-26,0.23,6,194,erased
219,339310,Feel the sea breeze & relax! WIFI/AirCon/Sea view,829041,Myra,Ciutat Vella,la Barceloneta,41.3791221394,2.19025836522,Entire home/apt,50,32,78,2018-05-09,1.03,1,40,erased
239,363739,small single/double room in Barcelo,1837622,Idoya,Sants-Montjuïc,la Bordeta,41.3696101904,2.13847389314,Private room,40,2,45,2018-06-17,0.68,1,3,erased
246,375631,ApartHotel CasaMargarit live Barcelona as a Local,1889192,Steve,Sants-Montjuïc,el Poble Sec,41.3715637127,2.16183296596,Entire home/apt,119,1,57,2017-10-01,0.77,1,84,erased
269,403749,Comfortable Big 2room+shared bath-well connected,1645470,Dana,Sant Martí,el Clot,41.4131264731,2.18842495587,Private room,40,2,5,2018-04-22,0.07,2,342,erased
273,412649,Cozy flat by the Magic Fountain,542867,Gabriela,Sants-Montjuïc,la Font de la Guatlla,41.3711249897,2.1486568676,Entire home/apt,67,2,144,2018-07-12,1.88,2,329,erased
282,431331,NEW APARTMENT IN GRACIA NEIGBOURHOO,400416,Cens Sl,Gràcia,la Vila de Gràcia,41.4009768673,2.15514497359,Entire home/apt,47,32,10,2017-11-02,0.27,7,330,erased
292,440996,Apartamento Céntrico en Barcelona,777327,Diego,Sants-Montjuïc,Hostafrancs,41.3757396307,2.14356774058,Entire home/apt,135,3,11,2018-07-08,0.15,1,310,erased
300,449999,Centre.Attic.Big terrace.Lift.Wifi,1267680,Victor,Eixample,la Dreta de l'Eixample,41.3891245514,2.17548689204,Entire home/apt,125,3,82,2018-05-28,1.1,6,319,erased
301,450241,"Piso grande, muy soleado junto al mar",2235888,Jose Luis,Eixample,l'Antiga Esquerra de l'Eixample,41.3902338434,2.15701766169,Entire home/apt,75,6,14,2016-09-19,0.29,1,20,erased
302,451718,Apartment well connected in BCN,2243626,Gonzalo,Sants-Montjuïc,Sants,41.3751224153,2.13399336421,Entire home/apt,500,2,2,2013-09-13,0.03,1,365,erased
305,456283,In the heart of Gracia District,2075504,Nuri,Gràcia,la Vila de Gràcia,41.4016767738,2.15625191423,Private room,57,3,74,2018-08-09,0.98,1,321,erased
316,468967,Appartment Sagrada Familia (S6),1093718,Alexey,Eixample,el Fort Pienc,41.399292972,2.17495827414,Entire home/apt,60,90,20,2017-07-31,0.27,16,90,erased
338,490742,Big sunny room with terrace,2325968,Sikerult,Sants-Montjuïc,Sants - Badal,41.3742213854,2.12846506065,Private room,31,8,12,2018-06-18,1.16,1,28,erased
342,493131,Quiet single room very centrical,2414955,Sebastien,Eixample,Sant Antoni,41.3829770726,2.16213363814,Private room,30,31,15,2018-03-01,0.2,1,13,erased
347,497740,I rent double room in Barcelona,1348524,Tomás Becket,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4059885834,2.16376516246,Private room,40,7,4,2018-07-29,0.43,2,335,erased
401,549036,Nice Sunny Double Room/WIFI/Central,2572647,Alex,Eixample,el Fort Pienc,41.3931641924,2.17987856895,Private room,37,3,138,2018-07-18,1.87,2,324,erased
406,556951,Bright single room in a nice flat,1156961,Belén,Sarrià-Sant Gervasi,el Putxet i el Farró,41.4051180393,2.14603105281,Private room,20,4,10,2015-08-22,0.14,1,0,erased
414,558941,centrally near the mountain & beach,2125106,Isaac,Eixample,Sant Antoni,41.376658967,2.1532326312,Entire home/apt,119,3,6,2017-06-18,0.12,3,15,erased
423,566869,!!YOU WILL ALWAYS LOVE THIS PLACE¡¡,2788133,Adriano,Sants-Montjuïc,el Poble Sec,41.3712485724,2.16278429534,Entire home/apt,55,2,229,2018-07-30,3.08,1,151,erased
455,593912,NICE BIG BEDROOM in the CENTER,2933319,Margherita,Ciutat Vella,el Raval,41.3823663669,2.17087684168,Private room,28,20,0,,,2,318,erased
470,611252,Small Room 4 rent in BCN Downtown,559889,Zesare,Ciutat Vella,el Raval,41.3795797752,2.16654270006,Private room,20,2,42,2018-08-13,0.57,4,55,erased
471,611298,Middle Room 4 rent in BCN downtown,559889,Zesare,Ciutat Vella,el Raval,41.3813920876,2.16637397146,Private room,23,2,24,2018-04-25,0.49,4,171,erased
491,637693,PicnicApartment-PARKING/HTUB-003038,2970067,Seva Kaur,Sant Martí,el Camp de l'Arpa del Clot,41.4116365068,2.18610284716,Entire home/apt,98,3,141,2018-07-17,1.95,2,322,erased
497,640130,Agradable Habitacion,3196093,Cirleia,Eixample,la Nova Esquerra de l'Eixample,41.3790560029,2.1491359754,Private room,38,2,4,2017-06-30,0.07,4,319,erased
498,640268,**Nice  and relax Couple Room** ,3196093,Cirleia,Eixample,la Nova Esquerra de l'Eixample,41.3808229944,2.1524587809,Private room,38,2,4,2016-05-18,0.05,4,225,erased
502,644289,1 bedroom,3196093,Cirleia,Eixample,la Nova Esquerra de l'Eixample,41.380489548,2.1499431588,Private room,26,3,16,2017-09-29,0.22,4,347,erased
521,669799,"3 BEDROOMS, PERFECT LOCATION (BORNE)",3392163,Luisa,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3847398739,2.17915513639,Private room,150,6,74,2018-07-12,1.02,1,4,erased
539,682767,"quiet, centric, sunny, comfortable",3446677,Nuria,Eixample,la Dreta de l'Eixample,41.391561352,2.17576509309,Private room,40,5,10,2018-05-07,0.15,1,239,erased
545,685639,Quiet Room. ONLY WOMEN,3497491,Alicia,Horta-Guinardó,el Guinardó,41.4245526379,2.17488678248,Private room,26,3,9,2018-07-29,0.85,1,332,erased
555,695341,Bedroom+shared bath-well connected,1645470,Dana,Sant Martí,el Clot,41.4133462389,2.18824313141,Private room,25,1,13,2018-07-24,0.96,2,343,erased
571,721375,(Ollas) Born Superior Apartment,3724467,Ana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3825057861,2.18285553626,Entire home/apt,700,3,13,2018-07-11,0.85,11,41,erased
606,740343,Authentic HOME-SHARING experience in Barcelona!,3874266,Peret,Gràcia,la Vila de Gràcia,41.4055666487,2.1553023938,Private room,38,1,123,2018-07-22,1.78,1,360,erased
626,756626,Room near Sagrada Familia,2196804,Monica,Sant Martí,el Camp de l'Arpa del Clot,41.4086943852,2.18229813093,Private room,25,2,7,2018-07-20,0.1,3,244,erased
630,758235,Cozy double ensuite room & sunny terrasse BCN,3864938,Eva,Eixample,el Fort Pienc,41.3948219964,2.17709872695,Private room,60,2,15,2018-06-21,0.22,1,362,erased
631,758525,rent a bedroom  1 pers.,3798684,Patricio,Eixample,l'Antiga Esquerra de l'Eixample,41.3906312116,2.14893978036,Private room,20,1,78,2016-09-11,1.12,2,320,erased
639,762947,Cozy Room Barcelona,4022159,Sara,Sants-Montjuïc,la Bordeta,41.3675145835,2.13460561773,Private room,29,1,160,2018-08-04,2.41,2,352,erased
701,826397,Splendid Attic with TERRACE,4086313,Magi,Sarrià-Sant Gervasi,el Putxet i el Farró,41.4051958763,2.14090292103,Entire home/apt,160,3,86,2018-08-05,1.7,1,62,erased
705,829892,Sunny Modernist with Porch,2227977,Antonio,Eixample,l'Antiga Esquerra de l'Eixample,41.3880494247,2.16185951285,Private room,29,5,9,2018-03-02,0.17,2,61,erased
713,839655,CENTRAL APARTMENT IN BARCELONA,1869452,Cristina,Eixample,Sant Antoni,41.3761192929,2.16398187077,Entire home/apt,80,2,41,2018-08-03,0.62,1,288,erased
718,841937,Barcelona Stunning Beach Studio,4396136,Marisa,Sants-Montjuïc,la Marina del Prat Vermell,41.3652473992,2.17524680127,Entire home/apt,55,64,0,,,15,144,erased
725,846088,single room in renewed flat/central,2572647,Alex,Eixample,el Fort Pienc,41.3927564058,2.17876767785,Private room,27,3,122,2018-08-09,1.82,2,312,erased
734,848946,LUXURIOUS BEACH AND CITY VILA OLIMPICA,4246958,Mgja,Sant Martí,la Vila Olímpica del Poblenou,41.3914836885,2.19395317192,Entire home/apt,179,3,105,2018-07-23,1.77,1,310,erased
