id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3436914,Attic with views,5749994,Alex,Sants-Montjuïc,Hostafrancs,41.37543253162896,2.146632770700735,Entire home/apt,30,5,2,2015-06-12,0.16,1,0
1137491,Friendly Modernist space in Gràcia,1798612,Rob,Gràcia,la Vila de Gràcia,41.40065742892976,2.152009889057534,Private room,50,2,9,2015-06-06,0.40,2,365
1431478,Poblenou rooms,2394743,Javier,Sant Martí,el Poblenou,41.39999186501419,2.200412621750691,Private room,56,1,12,2015-06-20,0.80,3,346
3352405,Double room in flat + roof-terrace,16915245,Pol,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38496075045285,2.186442243743624,Private room,45,3,10,2015-06-01,0.81,2,343
5488016,CUTE FLAT IN BCN DOWNTOWN,1241027,Paula,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.384536043625275,2.1831970195776416,Entire home/apt,140,3,0,,,4,198
1795590,Topnotch Location Superb Comfy Flat,2069340,Alejandro,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38442696030777,2.1821157940111293,Entire home/apt,62,1,67,2015-07-02,3.17,5,297
4515421,Cute Double Bedroom in Bcn Centre,17932695,Tomi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38265767371385,2.1829294665416215,Private room,47,2,16,2015-06-07,2.45,1,45
6206676,Centric flat brick,12713074,Mario,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.388239085735556,2.1794297846820814,Entire home/apt,66,2,10,2015-07-05,5.66,2,309
1185925,SunnyApartment with Terrace in Born,6024596,Julia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383264422103096,2.1848483180011606,Entire home/apt,95,5,2,2013-08-22,0.09,1,206
145411,Lovely Duplex full equipped!!!,704179,Francisco Y Mirela,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38316188961795,2.1806825251011213,Entire home/apt,60,3,91,2015-06-30,2.32,1,278
4635434,BORN SUMMER HOME WIFI BEACH CITY,166195,Woody And Nune,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38522009688617,2.1831074178210814,Entire home/apt,89,7,15,2015-07-05,3.36,2,305
114313, AMAZING  ROOM IN ARTISTIC BORN  ,522545,Sama,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38481761162852,2.181960990912738,Private room,55,2,11,2015-06-20,0.23,2,203
256982,Centric spacious nostalgic Room,1352184,Jasmin,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38406281369202,2.1792570659374064,Private room,40,3,23,2015-06-16,0.59,1,333
6439876,"BESIDE ""PASEO MARITIMO"" Terrace G4",4206410,Sonia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38256216946924,2.1811311574672203,Entire home/apt,90,3,1,2015-05-25,0.55,17,138
7289152,Bohemian Loft in Heart of Born,14242983,Bjerk,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38193878480169,2.182862007357436,Entire home/apt,80,1,0,,,1,337
5749095,BEST LOCATION - EL BORN ,10096772,Lucia & Florencia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38381718183937,2.1802105794450255,Private room,35,1,26,2015-07-08,6.84,4,322
4602186,Cozy Double room/private bathroom ,17494216,Geissa,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.384660226213484,2.182478487276316,Private room,65,2,8,2015-07-05,2.35,1,236
