,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
0,19630968,Habitaccion pequeña L'Aurora,84131315,Patricia,Ciutat Vella,el Raval,41.3797925049,2.16773641002,Private room,16,1,15,2017-10-30,3.81,2,88,erased
2,20073951,Triple room in Heart of Barcelona***** 2B,142690750,Lu,Ciutat Vella,el Raval,41.3804061646,2.16763168675,Private room,85,2,7,2017-09-11,2.02,4,365,erased
3,21403361,Boho studio,146128804,Lucia,Ciutat Vella,el Raval,41.3817722438,2.16363715187,Entire home/apt,31,1,0,,,1,19,erased
7,21496682,Habitación bien ubicada en centro de Barcelona,20233129,Gabriela,Ciutat Vella,el Raval,41.3775386433,2.16893763199,Private room,40,1,0,,,1,18,erased
10,19537569,Friendly Double Room in Perfect Location!,137232269,Lucas,Ciutat Vella,el Raval,41.3823997588,2.16935815988,Private room,50,3,11,2017-09-27,2.41,1,18,erased
12,21545049,Appartement lumineux à Barcelone centre,156334485,Jocelyne,Ciutat Vella,el Raval,41.3846015021,2.16538971044,Entire home/apt,67,1,0,,,5,67,erased
20,17227280,Sunny Centrical Apartment,24758058,Jo-Lynn,Ciutat Vella,el Raval,41.3796139064,2.1706819196,Private room,33,2,39,2017-10-19,4.59,2,279,erased
61,16510886,Spacious flat Mobile World Congress,10448928,Mathilde,Ciutat Vella,el Raval,41.3753812595,2.16816384608,Entire home/apt,300,3,2,2017-03-01,0.21,1,84,erased
70,20706341,Charming and cosy studio in Barcelona,47988632,Nouredine,Ciutat Vella,el Raval,41.3805108539,2.17333789704,Entire home/apt,80,5,1,2017-09-06,0.43,1,77,erased
82,20446113,9-people Montserrat LAS RAMBLAS Barcelona,24667363,Rubén,Ciutat Vella,el Raval,41.3768450106,2.17384368426,Entire home/apt,180,2,5,2017-10-22,2.08,1,32,erased
86,11403230,COZY STUDIO CENTRE SPECIAL OFFER,508621,Empara,Ciutat Vella,el Raval,41.3781322635,2.16954296931,Private room,75,1,32,2017-09-30,1.58,1,175,erased
89,21109266,30 Mt to ramblas quiet inside room,152217184,Pau,Ciutat Vella,el Raval,41.3788397191,2.17414806402,Private room,24,3,0,,,5,345,erased
91,21748899,"RAVAL COZY FLAT 10 MIN TO RAMBLAS, BEST LOCATION",154952520,David,Ciutat Vella,el Raval,41.3776390821,2.16558746604,Entire home/apt,67,1,0,,,7,361,erased
98,19784872,House happy Ping,139606682,Wendy,Ciutat Vella,el Raval,41.3780786762,2.17467325304,Private room,32,1,21,2017-10-23,5.12,1,6,erased
