,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2,20073951,Triple room in Heart of Barcelona***** 2B,142690750,Lu,Ciutat Vella,el Raval,41.3804061646,2.16763168675,Private room,85,2,7,2017-09-11,2.02,4,365
3,21403361,Boho studio,146128804,Lucia,Ciutat Vella,el Raval,41.3817722438,2.16363715187,Entire home/apt,31,1,0,,,1,19
7,21496682,Habitación bien ubicada en centro de Barcelona,20233129,Gabriela,Ciutat Vella,el Raval,41.3775386433,2.16893763199,Private room,40,1,0,,,1,18
8,9226891,PECULIAR CHEAP PENTHOUSE 2 TERRACES,10715954,Nico,Ciutat Vella,el Raval,41.3837131512,2.16497980287,Entire home/apt,70,3,22,2017-08-21,1.11,1,121
12,21545049,Appartement lumineux à Barcelone centre,156334485,Jocelyne,Ciutat Vella,el Raval,41.3846015021,2.16538971044,Entire home/apt,67,1,0,,,5,67
18,4913728,Enjoy Barcelona in Beautiful Room,4441820,Fabian,Ciutat Vella,el Raval,41.377704439,2.16763038354,Private room,30,1,88,2017-10-17,2.82,1,29
20,17227280,Sunny Centrical Apartment,24758058,Jo-Lynn,Ciutat Vella,el Raval,41.3796139064,2.1706819196,Private room,33,2,39,2017-10-19,4.59,2,279
23,16218757,Apartment close to Rambla Barcelona,71126555,Maria,Ciutat Vella,el Raval,41.3770103583,2.16577356737,Entire home/apt,120,14,9,2017-08-28,0.85,2,70
27,19244406,Nice double room in the center of Barcelona!!,134740923,Federico,Ciutat Vella,el Raval,41.380651718,2.16483744474,Private room,45,4,4,2017-08-15,0.99,5,365
32,18867204,"Lovely, quiet and cosy cocoon in El Raval",25192766,Jean,Ciutat Vella,el Raval,41.3803414272,2.17175574851,Private room,49,2,1,2017-09-19,0.54,1,75
44,21555225,Central Double Room + Free Breakfast (1),156735550,Jerty,Ciutat Vella,el Raval,41.3781770993,2.16934935721,Private room,9,1,0,,,3,13
46,21555440,Central 2 Beds Room & Free Breakfast (2),156735550,Jerty,Ciutat Vella,el Raval,41.3764027286,2.17038316204,Private room,11,1,0,,,3,7
47,21555512,Central 2 Beds Room & Free Breakfast(3),156735550,Jerty,Ciutat Vella,el Raval,41.3782098389,2.17104832833,Private room,9,1,0,,,3,38
