,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28,17332258,Hermoso apartamento en Sant Antoni,5443088,Ruben,Ciutat Vella,el Raval,41.3803385762,2.1649269741,Entire home/apt,165,3,0,,,5,79
40,17690086,Lovely Room Barcelona Ramblas.,42686705,Carlos,Ciutat Vella,el Raval,41.3821520191,2.1703900416,Private room,40,2,1,2017-03-19,1.0,5,171
45,17935219,Piso con terraza muy centrico ( rambla) :-),43441679,Morgane,Ciutat Vella,el Raval,41.3786960229,2.16663219443,Private room,44,1,0,,,1,4
72,4159436,"Design, authentic 5 min from rambla",21585542,Eddie & Diego,Ciutat Vella,el Raval,41.377075558,2.16665857214,Private room,58,3,112,2017-03-27,3.81,1,11
80,17874878,CITY CENTER. RAVAL Cozy room with private bathroom,40560470,Ferran,Ciutat Vella,el Raval,41.3801680484,2.16679525981,Private room,65,2,0,,,1,270
92,9227686,Room in center of BCN. El Raval,34087272,Rama,Ciutat Vella,el Raval,41.3798871776,2.16363497802,Private room,20,1,38,2017-03-21,2.38,5,329
93,17689857,PRIVATE ROOM IN THE CENTER OF BARCELONA,11789861,Angelo,Ciutat Vella,el Raval,41.3854785547,2.16836597063,Private room,40,3,0,,,2,1
99,17885659,"RAVAL 1-BEDROOM FLAT, NEXT RAMBLAS, BEST LOCATION",122330192,Adrián,Ciutat Vella,el Raval,41.3782103935,2.16768825008,Entire home/apt,59,1,0,,,3,282
107,17924282,♥MODERN 'ZEN' COMFORT IN THE HEART OF THE RAVAL ♥,5543127,Victoria & Agustin,Ciutat Vella,el Raval,41.3795689313,2.16725488047,Entire home/apt,95,2,2,2017-04-07,2.0,12,61
115,7567523,SUNNY BEDROOM IN LOVELY FLAT!!,39222012,Claudio,Ciutat Vella,el Raval,41.3807159533,2.1644754617,Private room,45,3,16,2016-11-01,0.8,4,361
118,15854784,Beautiful Room Ramblas + Terrace,11385843,Sebastien,Ciutat Vella,el Raval,41.3824738409,2.16811210591,Private room,60,3,0,,,2,88
121,1892540,ROOM IN THE HEART OF BCN - ONLY JULY/AUGUST,9385317,Andrea,Ciutat Vella,el Raval,41.3825216447,2.16888377114,Private room,39,1,7,2016-09-16,0.76,1,208
